survey,CFA1_B,CFA1_V,CFA1_R,CFA1_I,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
CFA1_AB,17.39,16.692999999999998,16.343,16.004,16.936399459838867,16.555099487304688,16.41860008239746,16.398399353027344,207.78083021,49.30804471
CFA1_AB,17.592,16.491,15.912,15.393,16.97260093688965,16.151500701904297,15.838600158691406,15.73449993133545,207.71995576,49.28468816
CFA1_AB,17.298,16.340999999999998,15.805,15.432,16.77280044555664,16.11039924621582,15.866800308227539,15.7746000289917,207.64358328,49.27639884
CFA1_AB,15.526,14.890999999999998,14.526,14.19,15.096599578857422,14.70259952545166,14.565699577331543,14.54520034790039,207.6992091,49.31067987
CFA1_AB,15.345999999999998,14.395999999999999,13.934000000000001,13.505,14.774499893188477,14.165599822998047,13.961600303649902,13.882800102233887,207.69434592,49.303235
CFA1_AB,14.427,13.697000000000001,13.37,13.066,13.952300071716309,-999.0,-999.0,13.317500114440918,199.54689825,-26.80639366
CFA1_AB,14.482999999999999,13.837,13.526,13.18,14.061400413513184,13.648500442504883,-999.0,13.464799880981445,199.5812738,-26.82682286
CFA1_AB,14.704,14.194,13.909,-99.0,14.331600189208984,14.045499801635742,13.951499938964844,13.941900253295898,144.19412562,-21.1748998
CFA1_AB,15.870999999999999,15.139000000000001,14.755,-99.0,15.354599952697754,14.886199951171875,14.720499992370605,14.666199684143066,144.15074773,-21.09902866
CFA1_AB,15.931,14.952,14.382,-99.0,15.314499855041504,14.574199676513672,14.273900032043457,14.151100158691406,144.16060377,-21.08974316
CFA1_AB,16.0,15.269,14.894,-99.0,15.489500045776367,15.028900146484375,14.8641996383667,14.805700302124023,144.15240708,-21.08240028
CFA1_AB,15.835999999999999,15.279000000000002,-99.0,-99.0,15.471099853515625,15.1427001953125,15.033100128173828,15.020600318908691,197.77800155,36.98264527
CFA1_AB,16.347,15.800999999999998,15.524000000000001,-99.0,15.998600006103516,15.667699813842773,15.557600021362305,15.54740047454834,197.7325282,36.99560488
CFA1_AB,17.463,16.191,15.454,-99.0,16.725400924682617,15.703900337219238,15.285300254821777,15.110600471496582,197.79693998,37.10329767
CFA1_AB,17.407,16.74,16.41,16.003,16.9606990814209,16.547399520874023,16.383499145507812,16.349899291992188,197.76004701,37.00226183
CFA1_AB,17.824,17.409000000000002,17.165,16.844,17.542600631713867,17.31909942626953,17.23310089111328,17.244699478149414,197.69870121,37.01572973
CFA1_AB,16.451,15.805,15.44,15.015,15.998299598693848,15.633299827575684,15.479399681091309,15.436100006103516,206.71033121,60.95891942
CFA1_AB,16.907,15.839,15.293,14.763,16.189599990844727,15.52970027923584,15.26200008392334,15.167099952697754,206.6583642,60.9506801
CFA1_AB,16.723,15.888,15.332,14.834,16.194799423217773,15.553000450134277,15.325599670410156,15.258199691772461,206.64746297,60.99498123
CFA1_AB,17.273,16.405,15.914000000000001,15.45,16.723600387573242,16.127700805664062,15.895299911499023,15.7947998046875,9.04372718,11.38183599
CFA1_AB,17.845,17.224,16.873,16.478,17.444299697875977,17.06279945373535,16.906700134277344,16.86829948425293,9.09313065,11.38991117
CFA1_AB,18.524,17.569000000000003,17.022000000000002,16.531,17.945600509643555,17.272199630737305,16.989299774169922,16.87190055847168,9.07920655,11.36688152
CFA1_AB,18.422,17.345,16.666,15.968,17.773000717163086,16.92919921875,16.481800079345703,16.257400512695312,9.0397431,11.35676505
CFA1_AB,18.697,17.767,17.116,16.649,18.051599502563477,17.3533992767334,17.085899353027344,16.974899291992188,27.15458061,11.51643203
CFA1_AB,17.991,17.125,16.555999999999997,16.131,17.38159942626953,16.805400848388672,16.563199996948242,16.465599060058594,27.1516078,11.47156026
CFA1_AB,17.885,17.180999999999997,16.707,16.349,17.344999313354492,16.91819953918457,16.74530029296875,16.680500030517578,27.14068531,11.47325124
CFA1_AB,16.173,15.615,15.276,14.895,15.769100189208984,15.421299934387207,15.308799743652344,15.300299644470215,94.05092834,57.07080363
CFA1_AB,17.618,16.858,16.427,15.966,17.07040023803711,16.590900421142578,16.394399642944336,16.34239959716797,94.08150696,57.03658386
CFA1_AB,17.08,16.369,15.955,15.503,16.560800552368164,16.11750030517578,15.930100440979004,15.871600151062012,94.10128478,57.08946181
CFA1_AB,18.39,17.774,17.408,17.0,17.953699111938477,17.5669002532959,17.426799774169922,17.38409996032715,94.09156497,57.0808994
