survey,NICKEL1MO-B,NICKEL1MO-V,NICKEL1MO-R,NICKEL1MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL1MO,17.311544,16.740403999999998,16.363374999999998,15.909472,16.943899154663086,16.509700775146484,16.367700576782227,16.343399047851562,103.32638741,50.02548792
NICKEL1MO,18.532448,17.886068,17.343128,16.824968,18.079500198364258,17.57110023498535,17.319299697875977,17.247800827026367,103.28277012,50.02470693
NICKEL1MO,16.228524000000004,15.712959,15.335731,14.906352,15.892900466918945,15.49530029296875,15.362000465393066,15.334500312805176,103.31160579,50.0191028
NICKEL1MO,17.462128,16.849948,16.416626,15.945480000000002,17.083099365234375,16.62190055847168,16.457000732421875,16.405000686645508,103.22330536,50.01877675
NICKEL1MO,16.808851999999998,16.194107,15.780668000000002,15.319756,16.415700912475586,15.963700294494629,15.771499633789062,15.71150016784668,103.29746876,50.01820659
NICKEL1MO,18.27786,17.384385,16.758714,16.083508,17.789199829101562,16.953800201416016,16.635099411010742,16.488300323486328,103.30866688,50.01503254
NICKEL1MO,17.773096,16.993336,16.490410999999998,15.993916000000002,17.35219955444336,16.761199951171875,16.50119972229004,16.408700942993164,103.2488764,50.01347127
NICKEL1MO,16.963984,16.238944000000004,15.730301,15.204287999999998,16.511600494384766,15.912500381469727,15.706000328063965,15.613100051879883,103.3407443,50.01147721
NICKEL1MO,14.26852,13.892320000000002,13.583857,13.199796,14.004599571228027,13.759099960327148,13.649299621582031,13.684200286865234,15.81254678,32.28583625
NICKEL1MO,16.155212000000002,15.608867,15.257972,14.78678,15.833100318908691,15.441100120544434,15.297599792480469,15.247400283813477,15.81609878,32.26435029
NICKEL1MO,16.727712,16.074492000000003,15.615851,15.102752,16.297800064086914,15.780500411987305,15.571999549865723,15.488699913024902,15.89354492,32.25403916
NICKEL1MO,18.483736,17.849325999999998,17.400961,16.783748000000003,18.1294002532959,17.601999282836914,17.356300354003906,17.243799209594727,15.82078449,32.24815378
NICKEL1MO,15.71744,15.13604,14.712825,14.215732000000001,15.357799530029297,14.901200294494629,14.68220043182373,14.602800369262695,15.86697698,32.24737048
NICKEL1MO,18.135524000000004,17.406209,16.957427,16.460028,17.69540023803711,17.126100540161133,16.938800811767578,16.896799087524414,15.84108559,32.21970291
NICKEL1MO,18.297588,17.475933,16.86929,16.138792,17.806699752807617,17.0664005279541,16.755399703979492,16.632299423217773,15.90914974,32.20273774
NICKEL1MO,17.9206,17.3221,16.908757,16.405952,17.555599212646484,17.10770034790039,16.92569923400879,16.865699768066406,15.85206676,32.19539612
NICKEL1MO,16.419179999999997,15.705255,15.254694,14.672332,15.992199897766113,15.45460033416748,15.249799728393555,15.173199653625488,15.82914396,32.1945079
NICKEL1MO,17.739996,17.024361,16.498992,15.969408,17.312999725341797,16.707300186157227,16.416799545288086,16.29210090637207,339.92023921,8.63441635
NICKEL1MO,15.41274,14.852715,14.449956000000002,13.96714,15.056500434875488,14.617199897766113,14.434200286865234,14.378499984741211,339.87559935,8.62301144
NICKEL1MO,18.883515999999997,18.005431,17.480013,16.941452,18.406299591064453,17.68910026550293,17.424699783325195,17.309900283813477,339.84758619,8.61564846
NICKEL1MO,17.554764,16.799799,16.241018,15.644271999999999,17.073299407958984,16.437400817871094,16.15220069885254,16.025299072265625,339.84262825,8.5866169
