survey,ASASSN1-B,ASASSN1-V,ASASSN1-r,ASASSN1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ASASSN1,18.220169890457793,17.684406206572383,17.543019461502656,17.413579510368084,17.857500076293945,17.527099609375,17.39299964904785,17.388200759887695,149.8003602,3.04423273
ASASSN1,17.827049804434647,17.075267810500456,16.84387569556921,16.646259741316083,17.333999633789062,16.838300704956055,16.634899139404297,16.562000274658203,149.39433383,2.76022744
ASASSN1,17.703023182945508,17.115984476483384,16.953214807722482,16.822687284772613,17.29599952697754,16.949199676513672,16.80769920349121,16.776399612426758,149.69450871,2.93142203
ASASSN1,19.042954898044933,18.170092388636665,17.888341610802108,17.619038944909814,18.484399795532227,17.878599166870117,17.613100051879883,17.487199783325195,149.82509896,3.06418605
ASASSN1,18.254123571378294,17.758058083415325,17.633234582616893,17.551383988655754,17.895700454711914,17.634000778198242,17.54680061340332,17.523300170898438,149.36250043,2.7628414
ASASSN1,19.552455285151147,18.54891382481279,18.21288392839933,17.934258919178077,18.95359992980957,18.22130012512207,17.92169952392578,17.820199966430664,149.71198678,2.97055895
ASASSN1,18.434550973156064,17.887499855264924,17.741404962219818,17.61915414900726,18.011499404907227,17.736600875854492,17.61440086364746,17.59040069580078,37.41350736,1.7772854
ASASSN1,18.931025375158242,18.37002306133621,18.218109720299484,18.083172633951392,18.53219985961914,18.225400924682617,18.07740020751953,18.03230094909668,37.50939701,1.71005966
ASASSN1,19.450585699577413,18.527873634471923,18.225408503971117,17.96538444309237,18.837900161743164,18.20560073852539,17.936100006103516,17.823400497436523,37.42408,1.70991226
ASASSN1,18.963213981464396,18.22814948737661,18.003715418164763,17.764948455425714,18.494600296020508,17.98539924621582,17.747800827026367,17.670799255371094,37.54790431,1.7556365
ASASSN1,19.17424729505368,18.278541788649743,17.987297551817264,17.721813667425884,18.60540008544922,17.96940040588379,17.69700050354004,17.572200775146484,37.39848445,1.76288627
ASASSN1,19.267244626388194,18.10545661201688,17.703795252786453,17.32501627129937,18.535999298095703,17.690399169921875,17.313600540161133,17.128799438476562,150.06296067,2.22445598
ASASSN1,19.370339903481305,18.25405966405943,17.87126135137305,17.54779701284319,18.67919921875,17.85919952392578,17.523500442504883,17.38170051574707,150.24588218,2.22629105
ASASSN1,18.12319555144198,17.544247093905696,17.384850469528697,17.285457305276765,17.723400115966797,17.393699645996094,17.269100189208984,17.244699478149414,149.91923007,2.20372932
ASASSN1,18.93590068100766,18.450664646102336,18.330360745918558,18.23202507470307,18.55270004272461,18.31439971923828,18.22330093383789,18.197599411010742,150.7620385,2.24930601
ASASSN1,19.655535059601533,18.18687052228977,17.658235250433677,17.05055776917422,18.786500930786133,17.6481990814209,17.025999069213867,16.749500274658203,150.6537716,2.2648192
ASASSN1,19.54633524172114,18.24193935718252,17.78122339599163,17.39542162088029,18.7362003326416,17.77359962463379,17.36709976196289,17.205299377441406,150.31880271,1.99003032
ASASSN1,19.568940063209514,18.267268264668402,17.80767956156001,17.358948198239936,18.78580093383789,17.79400062561035,17.333900451660156,17.11709976196289,150.725886,2.31894829
