survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,17.751602172851562,17.039567947387695,16.766578674316406,16.623781204223633,17.693199157714844,17.081300735473633,16.77429962158203,16.638500213623047,150.71868776825502,1.9427538725367652
DES,17.838672637939453,16.930084228515625,16.64102554321289,16.489545822143555,17.805099487304688,16.99250030517578,16.671199798583984,16.538999557495117,150.840778331239,1.9098799678928826
DES,17.50101661682129,16.818971633911133,16.625192642211914,16.5289249420166,17.45800018310547,16.86079978942871,16.638099670410156,16.55590057373047,150.15016053713154,2.2361772775196727
DES,17.469295501708984,17.14319610595703,17.058250427246094,17.03795051574707,17.428600311279297,17.16029930114746,17.062000274658203,17.056499481201172,150.4696203754351,1.7493415112999746
DES,16.9660587310791,16.636699676513672,16.58039093017578,16.589200973510742,16.91950035095215,16.638399124145508,16.582500457763672,16.582300186157227,150.18322758362268,2.7388612963335746
DES,17.825990676879883,17.263107299804688,17.10558319091797,17.04067611694336,17.779300689697266,17.2898006439209,17.119300842285156,17.05739974975586,150.17860284215908,2.7329795071316574
DES,17.063915252685547,16.6837158203125,16.592300415039062,16.569278717041016,17.02389907836914,16.693599700927734,16.590900421142578,16.58139991760254,150.0154127258229,2.780517642401797
DES,17.645465850830078,17.064634323120117,16.890575408935547,16.81134796142578,17.600000381469727,17.09309959411621,16.903400421142578,16.846500396728516,149.25328466151606,2.3153332002468705
DES,17.238563537597656,16.971710205078125,16.922348022460938,16.93505096435547,17.20669937133789,16.981599807739258,16.921499252319336,16.935300827026367,150.2939369225259,2.407043750460476
DES,17.969200134277344,17.201393127441406,16.953542709350586,16.823165893554688,17.921499252319336,17.244300842285156,16.980899810791016,16.871700286865234,150.65599676632485,1.6919927558116061
DES,17.99626350402832,17.738021850585938,17.68977928161621,17.69414710998535,17.970600128173828,17.755199432373047,17.681900024414062,17.7052001953125,149.77613979564063,2.8536367870251267
DES,17.753633499145508,16.939912796020508,16.614660263061523,16.441471099853516,17.69420051574707,16.98040008544922,16.671899795532227,16.50320053100586,150.35290285882343,2.972358992546645
DES,17.710590362548828,16.898193359375,16.660173416137695,16.538728713989258,17.660200119018555,16.963499069213867,16.688199996948242,16.572799682617188,150.2926057170227,2.959976815093986
DES,17.907567977905273,16.95317268371582,16.653242111206055,16.50429916381836,17.83769989013672,17.00819969177246,16.683000564575195,16.552200317382812,149.39644869272072,2.649111150059394
DES,17.718175888061523,17.320478439331055,17.218860626220703,17.194387435913086,17.687999725341797,17.349899291992188,17.224199295043945,17.19930076599121,149.2909236961649,2.5633222882786835
DES,17.69146156311035,17.040756225585938,16.852874755859375,16.764434814453125,17.661699295043945,17.087799072265625,16.86989974975586,16.790800094604492,149.98305499016382,1.9803490905441865
DES,17.634309768676758,17.241193771362305,17.12578773498535,17.082700729370117,17.599300384521484,17.272300720214844,17.126800537109375,17.101200103759766,150.23403768268807,2.243455582950179
