survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,16.564441680908203,15.93046760559082,15.72014045715332,15.588043212890625,16.445999145507812,15.864500045776367,15.572099685668945,15.431099891662598,87.65930717688019,17.473742227417862
DES,14.23397159576416,13.54404067993164,13.297194480895996,13.158417701721191,14.215299606323242,13.600099563598633,-999.0,13.198699951171875,87.4455883989242,17.468923565430845
DES,18.293458938598633,17.490449905395508,17.198036193847656,17.031461715698242,18.203100204467773,17.573400497436523,17.236799240112305,16.99970054626465,87.0563867176238,17.14860363317281
DES,16.179475784301758,15.7605562210083,15.618803977966309,15.523213386535645,16.169700622558594,15.80049991607666,15.638999938964844,15.577099800109863,87.05759133026011,17.271756648116533
DES,18.152273178100586,17.548248291015625,17.306352615356445,17.19902992248535,18.129100799560547,17.63610076904297,17.381500244140625,17.25659942626953,87.05736513336873,17.195336166012805
DES,15.352791786193848,14.872386932373047,14.721630096435547,14.638959884643555,15.357399940490723,14.921299934387207,14.743000030517578,14.6766996383667,87.0006108746472,17.22269329764849
DES,17.008920669555664,15.646695137023926,15.071247100830078,14.796795845031738,16.973499298095703,15.775699615478516,15.168499946594238,14.89169979095459,87.38525991995105,17.534505120931847
DES,15.494858741760254,14.98636531829834,14.8187894821167,14.744494438171387,15.495100021362305,15.048100471496582,14.85099983215332,14.779999732971191,87.63207531232449,17.44475848607233
DES,14.66930103302002,13.564513206481934,13.173881530761719,12.977277755737305,14.651700019836426,-999.0,-999.0,13.057499885559082,87.39096521410501,17.533371444257206
DES,18.472429275512695,17.10328483581543,16.60080909729004,16.354204177856445,18.399200439453125,17.231700897216797,16.70009994506836,16.4552001953125,87.6518605797757,17.553087347394094
DES,17.336181640625,16.701175689697266,16.47041893005371,16.33841896057129,17.318099975585938,16.768699645996094,16.51449966430664,16.401599884033203,87.23817354280547,17.52113707698286
DES,18.339448928833008,17.773622512817383,17.531835556030273,17.4061222076416,18.361099243164062,17.848899841308594,17.610599517822266,17.478500366210938,87.23748105424882,17.464407271630954
DES,14.564318656921387,13.986299514770508,13.784754753112793,13.684223175048828,14.55519962310791,14.064599990844727,13.81190013885498,13.726699829101562,87.5202852722207,17.523982787149304
DES,18.728984832763672,18.04937171936035,17.792781829833984,17.632917404174805,18.653200149536133,18.100500106811523,17.840099334716797,17.67959976196289,87.05553350864251,17.32108524861401
DES,17.834423065185547,16.979671478271484,16.689285278320312,16.521039962768555,17.784400939941406,17.06209945678711,16.743099212646484,16.594600677490234,87.0251286638232,17.330973905681134
