survey,CFA4natp2_B,CFA4natp2_V,CFA4natp2_r,CFA4natp2_i,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
CFA4,17.1983241,16.3048359,15.9455609,15.6147273,16.647499084472656,15.9350004196167,15.61359977722168,15.481599807739258,306.64931159,2.88380331
CFA4,18.0919654,17.0770746,16.6243881,16.2221181,17.47089958190918,16.596900939941406,16.228900909423828,16.061599731445312,306.64868317,2.85177744
CFA4,17.7216426,16.780117399999998,16.406471399999997,16.047005,17.20840072631836,16.402999877929688,16.07710075378418,15.91450023651123,306.64313713,2.98032277
CFA4,17.7580845,16.8541155,16.45686,16.159911299999997,17.215299606323242,16.456100463867188,16.19230079650879,16.058000564575195,306.64033733,2.9533881
CFA4,16.0022151,15.3445449,15.1248739,14.923722000000001,15.579099655151367,15.102499961853027,14.907600402832031,14.857500076293945,306.63808438,2.83297357
CFA4,17.655063,16.877737,16.5564425,16.2408712,17.13520050048828,16.561500549316406,16.332599639892578,16.24049949645996,306.63747723,2.93488278
CFA4,15.3891591,14.4520009,14.0414009,13.689195400000001,14.859800338745117,14.02970027923584,13.693499565124512,13.550800323486328,306.63724251,2.82398317
CFA4,14.6779583,14.1111217,13.9325107,13.7773303,14.311300277709961,13.9197998046875,13.776000022888184,13.754500389099121,306.63397109,2.87488169
CFA4,17.325876500000003,16.6315235,16.3625805,16.114454000000002,16.873899459838867,16.33919906616211,16.10140037536621,16.008399963378906,306.63278351,2.82983607
CFA4,17.823438900000003,17.0662011,16.8095761,16.5798486,17.2716007232666,16.764799118041992,16.57900047302246,16.510400772094727,306.63209108,2.90621655
CFA4,15.7493772,14.9493428,14.6362603,14.3554808,15.27340030670166,14.630000114440918,14.373600006103516,14.268500328063965,306.62865614,2.89606902
CFA4,18.1717531,17.3918069,17.1474999,16.8921437,17.60260009765625,17.083200454711914,16.873199462890625,16.789199829101562,306.62026081,2.90923969
CFA4,15.4224633,14.7246167,14.4679917,14.2597661,15.002699851989746,14.480899810791016,14.294300079345703,14.227700233459473,306.61974551,2.97246233
CFA4,18.0475207,17.4177993,17.228923299999998,16.998000299999998,17.580799102783203,17.156099319458008,16.991899490356445,16.93600082397461,306.61944399,2.83417663
CFA4,16.723426,16.042174,15.828662,15.623398899999998,16.25830078125,15.784099578857422,15.61139965057373,15.554900169372559,306.61887133,2.92290172
CFA4,15.7699253,15.1943547,15.0167702,14.8554438,15.392999649047852,14.995400428771973,14.841099739074707,14.812800407409668,306.61698173,2.8496117
CFA4,14.992883599999999,13.8504764,13.3793129,12.9371576,14.343299865722656,-999.0,-999.0,-999.0,306.61397313,2.87451073
CFA4,17.6247101,17.0980499,16.9132799,16.7734736,17.257999420166016,16.879899978637695,16.7450008392334,16.70159912109375,306.61287628,2.98986716
CFA4,16.1197474,15.5764926,15.4255971,15.289800600000001,15.751700401306152,15.383999824523926,15.27400016784668,15.2608003616333,306.61156871,2.82629647
CFA4,17.967553699999996,17.3465663,17.153584300000002,16.9963925,17.584699630737305,17.18589973449707,17.0039005279541,16.92460060119629,306.60622463,2.98314692
CFA4,17.042397299999998,16.3270827,16.0807227,15.883733999999999,16.532800674438477,16.02039909362793,15.837699890136719,15.772600173950195,306.60207654,2.91903387
CFA4,17.1282969,16.598143099999998,16.403108099999997,16.228515199999997,16.756900787353516,16.374300003051758,16.207500457763672,16.171300888061523,306.59840456,2.87385182
CFA4,17.096413100000003,16.4911469,16.321774400000002,16.1368775,16.751800537109375,16.31279945373535,16.140199661254883,16.09830093383789,306.59779747,2.8461437
CFA4,17.950417400000003,17.319822600000002,17.0980986,16.987055100000003,17.7460994720459,17.318500518798828,17.145200729370117,17.083599090576172,306.59682111,2.90065476
CFA4,15.423789,14.838611,14.664106,14.489461100000002,15.04740047454834,14.620499610900879,14.468099594116211,14.435199737548828,306.59520536,2.84325999
CFA4,17.667909499999997,16.982290499999998,16.755433999999997,16.570682699999995,17.226499557495117,16.729299545288086,16.533300399780273,16.475500106811523,306.59442316,2.86915223
CFA4,16.573652699999997,15.9788673,15.7591963,15.590809199999999,16.185300827026367,15.756500244140625,15.589699745178223,15.54539966583252,306.5932885,2.90410245
CFA4,17.474997,16.680203,16.382518,16.0914605,16.976200103759766,16.34469985961914,16.058700561523438,15.953200340270996,306.591667,2.87101694
CFA4,17.8426197,17.2391003,17.015323300000002,16.8008711,17.424299240112305,16.952299118041992,16.745800018310547,16.682199478149414,306.57896325,2.88097544
