survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
CFA3S,17.723499999999998,17.0906,16.612399999999997,16.3248,17.279300689697266,16.833799362182617,16.66119956970215,16.591299057006836,270.37880257194433,26.20405049605849
CFA3S,16.8595,16.1186,15.5884,15.1841,16.39109992980957,15.838700294494629,15.6274995803833,15.552000045776367,270.34781591696066,26.28361921244044
CFA3S,17.036099999999998,16.4029,15.934399999999998,15.5514,16.655099868774414,16.209999084472656,16.02669906616211,15.957500457763672,270.32706815959807,26.319072936952487
CFA3S,18.3441,17.6769,17.1807,16.7431,17.907899856567383,17.415700912475586,17.222299575805664,17.14349937438965,270.3253116175392,26.29624178044491
CFA3S,18.1338,17.3799,16.8351,16.3801,17.678499221801758,17.09779930114746,16.822799682617188,16.727100372314453,257.82900822337564,5.775190292591859
CFA3S,18.5588,17.9544,17.4486,17.043599999999998,18.19969940185547,17.729999542236328,17.497800827026367,17.412799835205078,257.8264209756429,5.757120982971708
CFA3S,18.3238,17.5709,17.0496,16.5866,17.86009979248047,17.305500030517578,17.03849983215332,16.941600799560547,257.80348087655136,5.799369248941911
CFA3S,16.4873,15.5444,14.8806,14.3371,15.938400268554688,15.182499885559082,14.809300422668457,14.651100158691406,257.80050861259264,5.789916334877387
CFA3S,18.0838,17.0664,16.3106,15.734600000000002,17.50160026550293,16.628400802612305,16.228300094604492,16.041099548339844,257.79621084648267,5.930404515912074
CFA3S,17.6813,16.7549,16.1036,15.5636,17.125,16.378999710083008,16.029199600219727,15.873000144958496,257.79260990395375,5.76965435765604
CFA3S,15.0223,14.2194,13.6646,13.2206,14.550800323486328,13.93690013885498,13.668899536132812,13.576700210571289,257.7730883766664,5.925570072263591
CFA3S,17.6313,16.8189,16.2241,15.7021,17.141399383544922,16.491100311279297,16.172199249267578,16.017200469970703,257.7726706162185,5.839369961034827
CFA3S,15.8838,15.2624,14.8036,14.3911,15.496999740600586,15.03320026397705,14.821399688720703,14.746500015258789,257.76553129533335,5.797475043260124
CFA3S,17.3093,16.3089,15.6041,15.074600000000002,16.739200592041016,15.882100105285645,15.52649974822998,15.378800392150879,257.75488355012897,5.802559977210138
CFA3S,17.6118,16.8189,16.2416,15.7911,17.121299743652344,16.505599975585938,16.226299285888672,16.10700035095215,257.74732010604106,5.840694802759631
CFA3S,18.1203,17.4499,16.9561,16.5521,17.704099655151367,17.221099853515625,16.992300033569336,16.920000076293945,257.7433284681341,5.928944907211601
CFA3S,18.2871,17.3725,16.6637,16.1544,17.736600875854492,16.944499969482422,16.647899627685547,16.52790069580078,24.673017283342833,41.67081450050138
CFA3S,15.7761,15.0515,14.5607,14.143400000000002,15.324899673461914,14.809200286865234,14.606800079345703,14.548700332641602,24.670309837549095,41.721601576928855
CFA3S,15.6321,14.9265,14.4297,14.0234,15.1875,14.676199913024902,14.495200157165527,14.44260025024414,24.666254985170898,41.61244887790182
CFA3S,16.8761,15.9475,15.2847,14.7674,16.314800262451172,15.548999786376953,15.255499839782715,15.149499893188477,24.657558108923677,41.728408677072416
CFA3S,16.3721,15.4285,14.7267,14.1914,15.837300300598145,15.021400451660156,14.7052001953125,14.56659984588623,24.640606442730252,41.6124348695673
CFA3S,17.3971,16.8205,16.386699999999998,16.019399999999997,17.027000427246094,16.614099502563477,16.46489906311035,16.43630027770996,24.63824212243876,41.69177794110398
CFA3S,18.3381,17.5155,16.9617,16.4804,17.84600067138672,17.215999603271484,16.980300903320312,16.87820053100586,24.612896395894488,41.58211141724561
CFA3S,17.4551,16.8715,16.4497,16.0694,17.08679962158203,16.668699264526367,16.51729965209961,16.467899322509766,24.590734649127878,41.57647115315683
CFA3S,16.766099999999998,16.2715,15.8977,15.5724,16.432100296020508,16.111799240112305,16.01110076904297,15.994999885559082,24.59031347001257,41.601751733080725
CFA3S,16.4431,15.6075,15.0307,14.5524,15.931599617004395,15.283599853515625,15.026599884033203,14.924200057983398,24.504418625057873,41.64582092274686
CFA3S,18.5421,17.5305,16.8117,16.2584,17.94300079345703,17.085100173950195,16.760499954223633,16.621700286865234,24.490660591748906,41.63513765912002
CFA3S,17.206100000000003,16.7585,16.4157,16.084400000000002,16.916500091552734,16.619699478149414,16.53019905090332,16.518699645996094,24.485493392803924,41.64766979495961
CFA3S,15.1741,14.6825,14.3247,13.9974,14.852399826049805,14.534099578857422,14.430299758911133,14.429900169372559,24.477256581207516,41.68570114924311
CFA3S,18.8371,18.2705,17.7857,17.3994,18.484800338745117,18.044700622558594,17.88330078125,17.829099655151367,24.47565406871835,41.74838247422713
CFA3S,17.955099999999998,17.2125,16.7377,16.4084,17.48819923400879,16.963699340820312,16.792999267578125,16.726499557495117,24.457817257235856,41.58982979909794
CFA3S,18.0631,17.5285,17.146700000000003,16.7774,17.713899612426758,17.373199462890625,17.258399963378906,17.22640037536621,24.45623931265473,41.736729475213856
CFA3S,17.6051,16.9795,16.541700000000002,16.1704,17.221500396728516,16.7903995513916,16.618799209594727,16.57040023803711,24.454517472377695,41.68714356762469
CFA3S,18.1497,17.1223,16.3984,15.8275,17.55270004272461,16.6830997467041,16.33799934387207,16.203800201416016,21.443948302371986,34.11251838125679
CFA3S,17.5157,17.0613,16.6864,16.3695,17.19540023803711,16.912900924682617,16.81450080871582,16.795400619506836,21.413992053974297,33.96327842163376
CFA3S,15.1637,14.3673,13.9114,13.3885,14.679900169372559,14.079500198364258,13.857600212097168,13.790800094604492,21.403283394432286,34.034899042026126
CFA3S,17.1407,16.6083,16.2134,15.8465,16.799800872802734,16.44659996032715,16.311899185180664,16.26689910888672,21.38980158769621,33.976217637668825
CFA3S,18.1437,17.4513,16.9664,16.5105,17.739900588989258,17.217100143432617,17.02910041809082,16.9512996673584,21.389256182390394,34.116031719029294
CFA3S,15.7737,15.1313,14.6924,14.2965,15.35319995880127,14.910499572753906,14.7524995803833,14.710800170898438,21.38669577557593,34.009398905769416
CFA3S,15.9667,15.3843,14.9774,14.5955,15.600299835205078,15.203900337219238,15.0556001663208,15.031499862670898,21.38521398034042,34.018401551618666
CFA3S,18.4637,17.7563,17.214399999999998,16.7575,18.021499633789062,17.472000122070312,17.2278995513916,17.17009925842285,21.354395098144515,34.05603719876172
CFA3S,16.0927,15.6033,15.2384,14.902500000000002,15.788299560546875,15.47439956665039,15.357500076293945,15.343799591064453,21.339222459905983,34.11227252875833
CFA3S,16.0417,15.3603,14.8764,14.4465,15.610400199890137,15.145400047302246,14.925999641418457,14.876199722290039,21.3308121975312,34.08942189341588
CFA3S,16.1477,15.3483,14.7714,14.3015,15.750300407409668,14.970499992370605,15.003000259399414,14.703700065612793,21.317831629525646,34.108557570186065
CFA3S,15.625699999999998,14.9363,14.4444,13.9835,15.202099800109863,14.702799797058105,14.466699600219727,14.373700141906738,21.280051082347423,34.05338722402194
CFA3S,17.4547,16.5583,15.9294,15.4545,16.920799255371094,16.191600799560547,15.917099952697754,15.81350040435791,21.275187300658093,34.093852641650045
CFA3S,17.639699999999998,17.0813,16.656399999999998,16.2795,17.21940040588379,16.84670066833496,16.70709991455078,16.648500442504883,21.26144356652606,33.96225767870369
CFA3S,17.563200000000002,17.0637,16.6946,16.3462,17.234600067138672,16.921300888061523,16.8080997467041,16.79330062866211,74.33874182050896,-4.807798508960027
CFA3S,18.1102,17.5507,16.822599999999998,16.0402,18.579999923706055,18.161500930786133,18.011499404907227,18.00189971923828,74.3375178917111,-4.803384500115407
CFA3S,16.727999999999998,16.1957,15.8097,15.4709,16.391399383544922,16.06100082397461,15.921799659729004,15.902999877929688,74.33132081179762,-4.829976222897577
CFA3S,17.9042,17.2522,16.822,16.427999999999997,17.49410057067871,17.05470085144043,16.90839958190918,16.863100051879883,74.32826659235478,-4.840585317889484
CFA3S,15.2416,14.7549,14.3984,14.0824,14.927800178527832,14.61989974975586,14.528300285339355,14.528200149536133,74.32346235766107,-4.786402059596581
CFA3S,16.3105,15.5495,14.997,14.5363,15.837300300598145,15.272000312805176,15.00879955291748,14.919400215148926,74.32250352871577,-4.746345951176306
CFA3S,15.3478,14.7825,14.374,14.025,14.985699653625488,14.600199699401855,14.467399597167969,14.449799537658691,74.31649627877368,-4.772857044611791
CFA3S,16.595200000000002,15.7199,15.1054,14.6297,16.071699142456055,15.379300117492676,15.106599807739258,15.00510025024414,74.30391235249297,-4.7045925302612215
CFA3S,14.8578,14.2835,13.883,13.5437,14.468600273132324,14.10200023651123,13.977399826049805,13.961899757385254,74.29347144765347,-4.739792006889524
CFA3S,15.2025,14.5815,14.141,13.7727,14.795999526977539,14.360400199890137,14.214799880981445,14.185700416564941,74.2893535893079,-4.79923593351663
CFA3S,17.2636,16.3639,15.752,15.2831,16.712099075317383,16.009899139404297,15.747699737548828,15.649200439453125,74.2691147331888,-4.681201242411443
CFA3S,16.2079,15.4889,14.998399999999998,14.5837,15.748800277709961,15.236599922180176,15.036399841308594,14.973400115966797,74.26749135073194,-4.779954468971457
CFA3S,17.134800000000002,16.3455,15.7823,15.317700000000002,16.63629913330078,16.031299591064453,15.784299850463867,15.686300277709961,74.26454340847364,-4.721177583571506
CFA3S,18.1669,17.3812,16.8577,16.412,17.660900115966797,17.109899520874023,16.882699966430664,16.794300079345703,74.25339909368122,-4.778171968672864
CFA3S,15.8732,15.2382,14.803,14.4527,15.434900283813477,15.022199630737305,14.874500274658203,14.847000122070312,74.24633498717404,-4.744643511044638
CFA3S,16.0405,15.5562,15.1963,14.9174,15.662099838256836,15.343099594116211,15.236300468444824,15.21780014038086,74.23274942791743,-4.746934690567526
CFA3S,17.093700000000002,16.5898,16.2023,15.8731,16.759599685668945,16.427000045776367,16.294700622558594,16.280099868774414,74.23189239953035,-4.841218869779615
CFA3S,15.9006,15.2829,14.8554,14.5044,15.495200157165527,15.074999809265137,14.933600425720215,14.913800239562988,74.22915136115145,-4.835810261720263
CFA3S,15.0112,14.4292,14.033,13.704,14.626199722290039,14.253999710083008,14.130599975585938,14.114500045776367,74.20772254501988,-4.715064650054458
CFA3S,15.8462,15.3269,14.931,14.5871,15.522899627685547,15.148699760437012,15.002699851989746,14.972999572753906,74.1967914036984,-4.810807511504057
