survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,17.9253,16.8017,16.3133,17.880699157714844,16.834999084472656,16.346099853515625,16.127899169921875,249.34203160615408,75.46098759333245
ZTFD,17.6209,16.9717,16.7436,17.628000259399414,16.960399627685547,16.719100952148438,16.615800857543945,225.50900984471483,36.52642818350558
ZTFD,16.3641,15.9812,15.8668,16.394500732421875,15.968199729919434,15.81089973449707,15.775400161743164,242.32105113791383,37.779540009282016
ZTFD,18.5728,17.8739,17.5605,18.569799423217773,17.862899780273438,17.554100036621094,17.422300338745117,254.61088592048688,60.282800279446484
ZTFD,18.7848,17.8932,17.5339,18.754600524902344,17.89539909362793,17.532400131225586,17.363300323486328,231.63014959644985,61.56823562398604
ZTFD,16.7534,16.25,16.0437,16.771699905395508,16.230499267578125,16.003999710083008,15.92389965057373,247.84690495238954,57.97445365820956
ZTFD,17.2047,16.7638,16.5817,17.212099075317383,16.734800338745117,16.549699783325195,16.477800369262695,262.9803555090139,77.7832356641934
ZTFD,18.1398,17.6845,17.5065,18.167400360107422,17.694799423217773,17.51020050048828,17.44770050048828,244.93020565375969,70.32586544956249
ZTFD,18.4837,17.39,16.8807,18.488800048828125,17.442800521850586,16.954999923706055,16.727399826049805,255.6599827952166,47.46887306912785
ZTFD,17.0166,16.7165,16.5948,17.042800903320312,16.6835994720459,16.561599731445312,16.534900665283203,252.18106123277397,44.25056149230252
ZTFD,18.9254,17.9277,17.4998,18.898099899291992,17.944000244140625,17.527999877929688,17.349700927734375,252.26097913035855,63.46777565446423
ZTFD,16.2583,15.6693,15.4551,16.274799346923828,15.663999557495117,15.420999526977539,15.324199676513672,262.61710713601394,56.92999525267289
ZTFD,16.6256,16.0193,15.8007,16.63050079345703,16.002399444580078,15.767399787902832,15.687700271606445,236.25893034774776,27.037885908444263
ZTFD,16.6038,16.1932,16.0304,16.624500274658203,16.18280029296875,16.01110076904297,15.962400436401367,264.7880281425715,23.200301537211562
ZTFD,15.4707,15.1808,15.0751,15.507800102233887,15.152299880981445,15.028300285339355,15.01609992980957,256.69907645772105,70.19470499340643
ZTFD,15.9856,15.4045,15.1918,15.988200187683105,15.398599624633789,15.167499542236328,15.083800315856934,264.7689681816644,69.91143086496699
ZTFD,16.6775,16.1389,15.9318,16.677099227905273,16.12339973449707,15.900500297546387,15.815400123596191,239.84293764258217,67.55110409187986
ZTFD,16.8309,15.8654,15.4739,16.814599990844727,15.887299537658691,15.477700233459473,15.296699523925781,242.17898205364173,59.564081458018876
ZTFD,18.4278,17.2279,16.6236,18.359699249267578,17.2367000579834,16.635499954223633,16.37220001220703,230.2859435319526,52.0485832841507
ZTFD,17.5313,16.9837,16.7909,17.53459930419922,16.970199584960938,16.766599655151367,16.70009994506836,251.43209551369526,67.67359199699897
ZTFD,18.1938,17.2135,16.8414,18.168399810791016,17.218900680541992,16.836599349975586,16.667800903320312,263.3600568000071,41.45041751711878
ZTFD,18.2476,17.2227,16.762999999999998,18.29560089111328,17.28459930419922,16.834800720214844,16.609800338745117,254.1549078745486,77.98432231462061
ZTFD,17.2348,16.6351,16.3819,17.227399826049805,16.623899459838867,16.362600326538086,16.26259994506836,217.67408215773773,76.9397109388771
ZTFD,17.9751,17.4559,17.27,17.98240089416504,17.431400299072266,17.220800399780273,17.132999420166016,231.18902583435997,56.619997702865
ZTFD,16.7453,16.4605,16.3383,16.778600692749023,16.42329978942871,16.305500030517578,16.276399612426758,257.48389430488265,48.0017306498328
ZTFD,18.7274,17.3957,16.6313,18.6653995513916,17.456100463867188,16.71619987487793,16.391300201416016,257.0720316820693,49.795797301564164
ZTFD,15.8709,15.5543,15.4572,15.898099899291992,15.534099578857422,15.420299530029297,15.412799835205078,257.1038957407057,63.71793185707594
ZTFD,16.4508,15.9057,15.7138,16.476299285888672,15.897600173950195,15.682700157165527,15.608599662780762,227.8210340791694,45.97888083492951
ZTFD,18.1241,17.5322,17.2988,18.109699249267578,17.51849937438965,17.282400131225586,17.186399459838867,263.8519579186744,17.457096262147207
ZTFD,18.9532,17.6079,16.9547,18.848600387573242,17.659299850463867,17.0049991607666,16.714000701904297,262.9769507931216,36.557962822804086
ZTFD,16.6966,16.3114,16.1532,16.710500717163086,16.290300369262695,16.12150001525879,16.073200225830078,249.79598239592454,27.12638147215246
ZTFD,17.2632,16.961,16.8461,17.282800674438477,16.92639923095703,16.793399810791016,16.77120018005371,258.2080201424263,45.87812504867617
ZTFD,16.3921,16.1108,16.0033,16.415800094604492,16.096099853515625,15.964400291442871,15.937600135803223,259.4171456968666,62.46733732232862
ZTFD,17.9352,17.2237,16.9316,17.91550064086914,17.222999572753906,16.926300048828125,16.82040023803711,259.50686153749945,74.6386383601674
ZTFD,16.6673,16.3316,16.206,16.697399139404297,16.311899185180664,16.17770004272461,16.13290023803711,235.40403402748237,76.84086055364278
ZTFD,17.7678,17.4951,17.3282,17.834999084472656,17.46419906616211,17.30190086364746,17.252099990844727,245.79904485098544,56.968802028250444
ZTFD,16.2906,15.9096,15.7731,16.311500549316406,15.883999824523926,15.741600036621094,15.721599578857422,264.09302969543126,39.74698860020537
ZTFD,17.7527,17.2409,17.0355,17.745100021362305,17.214399337768555,17.013599395751953,16.947999954223633,259.7809124848621,39.69931708051289
