survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
SDSS_AB,17.883782,17.33073,17.149998999999998,17.069054,17.805200576782227,17.345699310302734,17.162099838256836,17.10110092163086,308.51652035,0.33781184
SDSS_AB,18.638282,17.729129999999998,17.381798999999997,17.166254000000002,18.498899459838867,17.708200454711914,17.36709976196289,17.188800811767578,308.51653136,1.10792087
SDSS_AB,18.218482,17.611829999999998,17.387698999999998,17.265754,18.119400024414062,17.610700607299805,17.381900787353516,17.288400650024414,308.51664043,0.3704461
SDSS_AB,17.651582,17.165129999999998,16.975299,16.890154000000003,17.586700439453125,17.16160011291504,16.98349952697754,16.926000595092773,308.51715453,0.27105363
SDSS_AB,16.105982,15.536129999999998,15.358899,15.271454,16.017000198364258,15.536499977111816,15.351699829101562,15.297800064086914,308.51736454,0.36785789
SDSS_AB,16.720982,16.14923,15.956899,15.847254000000001,16.637399673461914,16.14929962158203,15.9576997756958,15.881500244140625,308.51804633,-0.08371667
SDSS_AB,16.818982000000002,16.13893,15.933198999999998,15.827154,16.720199584960938,16.149700164794922,15.932700157165527,15.86400032043457,308.51808687,0.36314144
SDSS_AB,17.460082,16.83413,16.614099,16.498454000000002,17.382699966430664,16.83609962463379,16.6200008392334,16.530000686645508,308.51814027,1.231589
SDSS_AB,17.012482000000002,16.48793,16.321399,16.230554,16.92840003967285,16.49489974975586,16.319799423217773,16.265600204467773,308.51841762,-0.07688947
SDSS_AB,18.827282,17.558429999999998,17.007599,16.658454000000003,18.67099952697754,17.55299949645996,17.02519989013672,16.756500244140625,308.5187081,-0.55167567
SDSS_AB,18.961482,18.06723,17.749499,17.549154,18.8435001373291,18.073400497436523,17.755699157714844,17.60300064086914,308.51879083,1.12265795
SDSS_AB,18.739382,18.09763,17.880098999999998,17.754754000000002,18.65999984741211,18.121999740600586,17.883899688720703,17.78380012512207,308.51884068,-0.09297443
SDSS_AB,18.729882,18.35013,18.192899,18.121854000000003,18.69099998474121,18.343000411987305,18.199399948120117,18.167600631713867,308.51931289,0.69652739
SDSS_AB,18.530282,17.912329999999997,17.662799,17.528454,18.452699661254883,17.90290069580078,17.67099952697754,17.57270050048828,308.51931316,1.15378835
SDSS_AB,17.059982,16.48283,16.298199,16.190554000000002,16.97089958190918,16.493000030517578,16.28219985961914,16.215099334716797,308.5199573,-0.11312415
