survey,Foundation_g,Foundation_r,Foundation_i,Foundation_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
Foundation_AB,17.907800674438477,17.502399444580078,17.316699981689453,17.248199462890625,17.896099090576172,17.496700286865234,17.318099975585938,17.247299194335938,37.10866613,-3.85254479
Foundation_AB,17.86669921875,17.3302001953125,17.09440040588379,17.01020050048828,17.86669921875,17.33919906616211,17.10110092163086,17.022300720214844,37.19679574,-4.07030869
Foundation_AB,17.88170051574707,17.249799728393555,16.958099365234375,16.837299346923828,17.886999130249023,17.253599166870117,16.947500228881836,16.837099075317383,37.31226759,-4.01772392
Foundation_AB,18.975099563598633,17.7455997467041,16.94729995727539,16.587900161743164,18.965499877929688,17.751300811767578,16.94700050354004,16.58989906311035,37.31181303,-4.02680547
Foundation_AB,18.673500061035156,17.583900451660156,17.082199096679688,16.871599197387695,18.66950035095215,17.590200424194336,17.0802001953125,16.866600036621094,37.31512428,-3.93493773
Foundation_AB,18.775999069213867,17.712200164794922,17.236400604248047,17.04990005493164,18.782800674438477,17.724899291992188,17.243499755859375,17.040300369262695,37.19460857,-3.96082656
Foundation_AB,18.186100006103516,17.550399780273438,17.298599243164062,17.19729995727539,18.189699172973633,17.537799835205078,17.286100387573242,17.194499969482422,37.31024662,-3.96799802
Foundation_AB,18.736000061035156,17.97330093383789,17.66699981689453,17.551000595092773,18.729400634765625,17.963699340820312,17.66160011291504,17.534400939941406,37.2109942,-4.02802303
Foundation_AB,17.99850082397461,17.996700286865234,17.72089958190918,17.65559959411621,17.98110008239746,18.061199188232422,17.76129913330078,17.65559959411621,37.11751,-4.01233728
Foundation_AB,18.045000076293945,17.879899978637695,17.837400436401367,17.877300262451172,18.022199630737305,17.875900268554688,17.826099395751953,17.8794002532959,37.35973761,-3.97960089
Foundation_AB,18.813600540161133,18.292699813842773,18.07159996032715,18.01449966430664,18.800100326538086,18.2716007232666,18.058799743652344,17.992399215698242,37.21617057,-4.02350743
Foundation_AB,18.543800354003906,18.17009925842285,18.009700775146484,17.982500076293945,18.519800186157227,18.16659927368164,18.013200759887695,17.999399185180664,37.3519623,-3.95953092
Foundation_AB,17.395000457763672,17.396900177001953,17.461299896240234,17.516399383544922,17.382699966430664,17.400800704956055,17.472299575805664,17.516000747680664,37.15812401,-4.06422988
Foundation_AB,18.783700942993164,17.983200073242188,17.654800415039062,17.54680061340332,18.788299560546875,17.986600875854492,17.660900115966797,17.550600051879883,37.26209853,-3.96467628
Foundation_AB,17.974599838256836,17.42009925842285,17.19300079345703,17.115100860595703,17.94179916381836,17.420900344848633,17.18199920654297,17.115400314331055,37.38133918,-4.00822223
Foundation_AB,18.091400146484375,17.36520004272461,17.073999404907227,16.954599380493164,18.08049964904785,17.359399795532227,17.06760025024414,16.961000442504883,37.34788071,-4.1225263
Foundation_AB,17.505399703979492,17.282899856567383,17.194299697875977,17.193700790405273,17.489099502563477,17.27280044555664,17.200899124145508,17.199600219726562,37.36072346,-4.18773785
Foundation_AB,18.998300552368164,17.83989906311035,17.006000518798828,16.62350082397461,19.040300369262695,17.82990074157715,16.998699188232422,16.628700256347656,37.39513681,-4.26200155
Foundation_AB,18.74370002746582,17.858400344848633,17.437400817871094,17.257200241088867,18.729299545288086,17.85919952392578,17.43160057067871,17.259199142456055,37.35749729,-4.15293984
Foundation_AB,18.888099670410156,17.833900451660156,17.375099182128906,17.155500411987305,18.88330078125,17.84000015258789,17.36989974975586,17.160499572753906,37.43612819,-4.27175335
