survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
SNLS,17.448038,16.809673999999998,16.572154,16.465275,17.466299057006836,16.83839988708496,16.58989906311035,16.4955997467041,36.24822317555766,-4.771720192103257
SNLS,17.315284,16.569936,16.291112,16.155112,17.327600479125977,16.590200424194336,16.305700302124023,16.186899185180664,36.482457347695096,-4.770799791641939
SNLS,18.709845,17.968516,17.677034,17.536718,18.70989990234375,17.996200561523438,17.701400756835938,17.564199447631836,36.32237911392239,-4.769862608233375
SNLS,18.872842000000002,18.196715,17.923964,17.796081,18.897499084472656,18.22450065612793,17.94379997253418,17.840700149536133,36.720730981107494,-4.767509160594433
SNLS,18.732519,18.424826,18.324816000000002,18.293446,18.72170066833496,18.436199188232422,18.319400787353516,18.333099365234375,36.114607644367425,-4.7669209525957355
SNLS,17.725812,17.473118,17.394427,17.375882999999998,17.721099853515625,17.475000381469727,17.387800216674805,17.389799118041992,36.36206712170397,-4.755619883771276
SNLS,17.888046,17.366107999999997,17.162041000000002,17.068278,17.866600036621094,17.36989974975586,17.161300659179688,17.095399856567383,36.09454671346425,-4.738212077278708
SNLS,18.045625,17.399217999999998,17.159782999999997,17.046782999999998,18.062999725341797,17.416500091552734,17.1658992767334,17.07229995727539,36.34323522463485,-4.733021535404404
SNLS,18.244813,17.280573999999998,16.895657999999997,16.716724,18.27829933166504,17.305999755859375,16.923500061035156,16.762399673461914,36.71705810358649,-4.731267306638717
SNLS,17.30643,16.971171,16.845001,16.802966,17.312700271606445,16.986099243164062,16.84749984741211,16.824800491333008,36.21794455099962,-4.726779657336428
SNLS,18.241970000000002,17.768828,17.606927,17.545507,18.234899520874023,17.768400192260742,17.6156005859375,17.546499252319336,36.78208758705447,-4.723126699756847
SNLS,18.78725,18.323241,18.142822,18.065504,18.769800186157227,18.342500686645508,18.13990020751953,18.096900939941406,36.92841045902756,-4.723074112638877
SNLS,17.512139,16.932407,16.685671,16.565758,17.51409912109375,16.94729995727539,16.70009994506836,16.599899291992188,36.874780995239355,-4.72071998423724
SNLS,17.579136,16.778416,16.463209,16.305443,17.59630012512207,16.80769920349121,16.476499557495117,16.350799560546875,36.07383994851012,-4.715767161033135
SNLS,18.492313,17.738101,17.449779,17.321906,18.52989959716797,17.761600494384766,17.47279930114746,17.356000900268555,36.67712948988868,-4.7146148737885465
SNLS,17.452569,16.910107999999997,16.73188,16.65415,17.487499237060547,16.925800323486328,16.736000061035156,16.678300857543945,36.06541003807961,-4.709155879174856
SNLS,18.343009,17.309285,16.862745,16.649787,18.367000579833984,17.337099075317383,16.885400772094727,16.691999435424805,36.21842297904937,-4.7077675059097635
SNLS,18.439208999999998,17.787459,17.531432000000002,17.403192,18.44580078125,17.80270004272461,17.54199981689453,17.438400268554688,36.31465166232058,-4.70962854359253
SNLS,18.276229999999998,17.906057,17.780413,17.737563,18.27120018005371,17.905099868774414,17.784700393676758,17.76110076904297,36.983119840111655,-4.709181167681025
SNLS,17.785131,17.076654,16.794499,16.658775,17.80139923095703,17.09309959411621,16.80620002746582,16.688199996948242,36.33651706814421,-4.705977982205125
SNLS,18.651978,17.898684,17.607292,17.468697,18.6471004486084,17.923900604248047,17.636999130249023,17.492799758911133,36.4028338488556,-4.704418566194956
SNLS,17.023621,16.608819,16.476201,16.433756,17.026100158691406,16.62339973449707,16.48349952697754,16.449600219726562,36.68690826278777,-4.69891114792498
SNLS,18.554463000000002,18.244557999999998,18.139636,18.115809,18.55389976501465,18.253400802612305,18.153099060058594,18.14259910583496,36.71867552130855,-4.699659948597201
SNLS,18.066264999999998,17.040381,16.610778,16.414769,18.10059928894043,17.067899703979492,16.633499145507812,16.462600708007812,36.33393247994806,-4.699464492793491
SNLS,18.501834,17.912794,17.68731,17.577871,18.507400512695312,17.9330997467041,17.70490074157715,17.603099822998047,36.28793454144047,-4.69847141251047
SNLS,18.725094,18.313999,18.148411,18.094213,18.738399505615234,18.315200805664062,18.157400131225586,18.12190055847168,36.78512409675459,-4.6988174218547485
SNLS,17.044697,16.813104,16.749188,16.737829,17.047399520874023,16.817100524902344,16.739099502563477,16.751699447631836,36.09842444799009,-4.685203290376604
SNLS,17.300567,16.630635,16.38296,16.270191,17.3174991607666,16.638700485229492,16.40019989013672,16.30900001525879,36.80109884968236,-4.680816749283978
SNLS,17.329984,16.945144,16.838926,16.805564,17.339799880981445,16.947799682617188,16.83769989013672,16.8351993560791,36.95581752075388,-4.678105566134283
SNLS,18.154948,17.579787,17.364032,17.267313,18.16010093688965,17.59779930114746,17.365400314331055,17.270599365234375,36.369876752358756,-4.675892256884502
SNLS,17.7095,17.119785,16.881560999999998,16.77228,17.723499298095703,17.13920021057129,16.894100189208984,16.78820037841797,36.35205124156595,-4.670640881967202
SNLS,18.212203,17.251953,16.893432,16.72004,18.26609992980957,17.279699325561523,16.914199829101562,16.7544002532959,36.91947259201429,-4.668126497307423
SNLS,18.320389000000002,17.867484,17.714119,17.656236,18.351200103759766,17.87700080871582,17.72170066833496,17.693300247192383,36.32614398107773,-4.665037636754808
SNLS,17.75014,17.26763,17.073303,16.993744,17.760400772094727,17.274900436401367,17.09749984741211,17.021099090576172,36.83107855594217,-4.659482419804895
