survey,KAIT1MO-B,KAIT1MO-V,KAIT1MO-R,KAIT1MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT1MO,15.69692,15.113927999999998,14.604704,14.271329999999999,15.324899673461914,14.890700340270996,14.759900093078613,14.714300155639648,126.90915394,21.49853082
KAIT1MO,15.100655,14.616877,14.180382999999999,13.876933000000001,14.747400283813477,14.426899909973145,14.31149959564209,14.3125,126.96827235,21.492732
KAIT1MO,16.59272,15.869248,15.255318999999998,14.835975999999999,16.112199783325195,15.555700302124023,15.350199699401855,15.288700103759766,126.92003517,21.45581715
KAIT1MO,16.238955,15.526897,14.955834999999999,14.613928,15.810400009155273,15.26159954071045,15.102999687194824,15.072699546813965,126.87115555,21.45220191
KAIT1MO,14.945835,14.500689,14.100813,13.819767,14.657400131225586,14.366800308227539,14.276900291442871,14.28969955444336,126.90568147,21.52198505
KAIT1MO,17.621969999999997,16.854598,16.251129,15.794272,17.181699752807617,16.518800735473633,16.33180046081543,16.28459930419922,126.93043711,21.49776176
KAIT1MO,16.88511,16.303873999999997,15.781713000000002,15.406709,16.52440071105957,16.079599380493164,15.921199798583984,15.865699768066406,241.85897704,7.99275505
KAIT1MO,16.843405,15.876727,15.130133,14.588575,16.25029945373535,15.472399711608887,15.130999565124512,14.962599754333496,241.83130081,7.97700185
KAIT1MO,16.84117,16.214278,15.68717,15.337129000000001,16.445600509643555,15.97700023651123,15.84220027923584,15.80090045928955,241.84941673,7.97319317
KAIT1MO,17.423385,16.881659,16.399686,16.105660999999998,17.1117000579834,16.6781005859375,16.534299850463867,16.487899780273438,241.85028803,7.97006715
KAIT1MO,15.366874999999999,14.774224999999998,14.306039,14.021294000000001,14.99590015411377,14.575499534606934,14.432600021362305,14.401800155639648,241.77268805,7.95915491
KAIT1MO,17.76543,17.233362,16.723342,16.414821,17.45479965209961,17.01609992980957,16.833999633789062,16.77079963684082,241.80255078,7.95747855
KAIT1MO,17.556055,16.826437000000002,16.302075000000002,15.848668,17.184499740600586,16.624000549316406,16.35919952392578,16.237699508666992,241.83494066,7.94055504
KAIT1MO,16.288964999999997,15.715631,15.236229,14.936519,15.937600135803223,15.52810001373291,15.386699676513672,15.344300270080566,241.79290875,7.931476
KAIT1MO,18.007285,17.483119,16.870595,16.38529,17.706899642944336,17.225299835205078,17.039400100708008,16.96150016784668,241.85311722,7.9419967
KAIT1MO,17.916565,17.237871,16.657206,16.257384,17.542400360107422,17.000600814819336,16.803699493408203,16.720800399780273,241.78096636,7.93847499
KAIT1MO,18.557665,17.685811,16.839386,16.299901000000002,18.017200469970703,17.205799102783203,16.883899688720703,16.757400512695312,163.70114034,61.34016908
KAIT1MO,18.16439,17.077426,16.086209,15.455707,17.51930046081543,16.49519920349121,16.038400650024414,15.845800399780273,163.72655611,61.32950551
KAIT1MO,17.006985,16.184299000000003,15.479925000000001,14.965906,16.51409912109375,15.815699577331543,15.508399963378906,15.392399787902832,163.68622552,61.32041298
KAIT1MO,14.42455,13.80117,13.298971,12.899496000000001,14.051600456237793,13.608099937438965,-999.0,13.363100051879883,163.62089884,61.31073791
KAIT1MO,17.735525000000003,17.028735,16.506255999999997,16.025964,17.29560089111328,16.785400390625,16.54990005493164,16.467500686645508,163.61379498,61.30394071
KAIT1MO,16.142355,15.711257,15.32008,14.972933,15.84939956665039,15.561300277709961,15.4975004196167,15.510600090026855,140.52593249,51.03978085
KAIT1MO,17.254045,16.561303,15.938870999999999,15.507556,16.812999725341797,16.254899978637695,16.018699645996094,15.926199913024902,140.42430869,51.02565193
KAIT1MO,14.195855,13.501357,12.952093,12.562152999999999,13.75160026550293,-999.0,-999.0,13.228300094604492,140.44681483,50.98031594
KAIT1MO,15.214120000000001,14.771607999999999,14.325754000000002,14.020081000000001,14.89900016784668,14.556599617004395,14.440099716186523,14.411800384521484,188.03654354,14.47897053
KAIT1MO,14.42154,13.659436,13.080929999999999,12.671028999999999,13.891799926757812,13.333499908447266,-999.0,13.026200294494629,188.02174515,14.39297958
KAIT1MO,12.61228,11.930952,11.436419,11.133525,11.763500213623047,13.446100234985352,13.180700302124023,11.86139965057373,187.98738618,14.48134384
KAIT1MO,15.649205,14.893246999999999,14.336188,13.872899,15.196599960327148,14.626099586486816,14.40530014038086,14.305999755859375,211.63514106,-5.40070597
KAIT1MO,17.333175,16.863445,16.476985000000003,16.115365,17.033899307250977,16.735599517822266,16.62350082397461,16.604999542236328,211.61225353,-5.45105804
KAIT1MO,15.23661,15.094374,14.980167,14.793332999999999,15.076399803161621,15.128299713134766,15.213299751281738,15.279399871826172,211.62249279,-5.48175451
KAIT1MO,17.676765,16.787351,16.050219000000002,15.57119,17.1919002532959,16.409500122070312,16.117799758911133,15.998200416564941,211.61748826,-5.41422924
KAIT1MO,17.681824999999996,16.395554999999998,15.268299,14.309319,16.998899459838867,15.787400245666504,15.065400123596191,14.725600242614746,211.58979091,-5.42872318
KAIT1MO,15.487124999999999,14.674975,13.999269,13.449409000000001,15.060500144958496,14.369600296020508,14.083700180053711,13.94629955291748,263.84920343,60.8783025
KAIT1MO,17.501540000000002,16.915036,16.439953000000003,16.031632000000002,17.21820068359375,16.77120018005371,16.58370018005371,16.526599884033203,263.8914804,60.86356371
KAIT1MO,16.32305,15.787469999999999,15.319858000000002,14.915271,16.05419921875,15.643099784851074,15.482600212097168,15.439399719238281,263.98803453,60.85890259
KAIT1MO,18.106885,16.950559,15.911150000000001,15.2014,17.514699935913086,16.388900756835938,15.86299991607666,15.624899864196777,263.88973619,60.84020989
KAIT1MO,18.37248,18.007232,17.588555,17.248441999999997,18.194700241088867,17.892099380493164,17.778200149536133,17.75550079345703,263.80888851,60.83674824
KAIT1MO,15.75694,15.100196,14.556817,14.182502000000001,15.38290023803711,14.876399993896484,14.697400093078613,14.64330005645752,263.8339812,60.83566198
KAIT1MO,18.7028,17.68432,16.868816000000002,16.371012999999998,18.13719940185547,17.295400619506836,16.96339988708496,16.817399978637695,263.8039768,60.82382341
KAIT1MO,17.373040000000003,16.347535999999998,15.419621000000001,14.833736,16.82379913330078,15.844799995422363,15.451600074768066,15.275699615478516,263.81675858,60.80568781
KAIT1MO,15.571549999999998,15.123769999999999,14.724994,14.405282,15.282500267028809,14.977499961853027,14.877599716186523,14.855199813842773,263.83499343,60.79358351
KAIT1MO,16.382634999999997,15.797009000000001,15.307781,14.959685,16.029300689697266,15.59630012512207,15.464900016784668,15.426199913024902,263.8359062,60.79135098
KAIT1MO,18.513075,17.885305,17.297939000000003,17.064891999999997,18.11210060119629,17.610700607299805,17.429399490356445,17.394500732421875,263.87390875,60.78989998
KAIT1MO,17.832065,17.241170999999998,16.712808,16.357632,17.5132999420166,17.0762996673584,16.889299392700195,16.83769989013672,263.80379939,60.78732372
KAIT1MO,18.446315000000002,17.811521000000003,17.203862,16.804538,18.057899475097656,17.545400619506836,17.34910011291504,17.271499633789062,227.88057146,13.52557131
KAIT1MO,15.679405,15.063927,14.560789999999999,14.246034000000002,15.300299644470215,14.890700340270996,14.743000030517578,14.706299781799316,227.84309097,13.50590785
KAIT1MO,15.986835000000003,15.366089,14.855704,14.463425,15.605400085449219,15.15779972076416,14.986599922180176,14.929100036621094,227.86456308,13.49689765
KAIT1MO,17.37349,16.444566000000002,15.663703000000002,15.141509999999998,16.803600311279297,16.046100616455078,15.744199752807617,15.593799591064453,227.87157688,13.475832
KAIT1MO,13.144935,12.506629,12.045306,11.676253,-999.0,-999.0,-999.0,-999.0,227.86265203,13.47040831
KAIT1MO,14.184595,13.570872999999999,13.072513999999998,12.726258999999999,13.788800239562988,13.430299758911133,-999.0,13.170900344848633,22.89666861,14.23312276
KAIT1MO,18.531475,17.306665000000002,16.212005,15.500779,17.874099731445312,16.74449920654297,16.1742000579834,15.925000190734863,22.85231017,14.3215021
KAIT1MO,18.59088,17.804192,17.158794,16.819312999999998,18.108699798583984,17.506099700927734,17.25819969177246,17.153600692749023,22.87310361,14.31533882
KAIT1MO,18.473235,17.782249,17.279151999999996,16.692141999999997,18.058500289916992,17.550600051879883,17.36549949645996,17.311899185180664,22.86575009,14.3100637
