survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
CFA3K,16.5948,15.7656,15.494,15.2577,16.08009910583496,15.49470043182373,15.286100387573242,15.197600364685059,340.4492677444183,20.051353386248937
CFA3K,15.667800000000002,15.0256,14.834,14.661700000000002,15.286600112915039,14.85509967803955,14.714699745178223,14.666399955749512,340.44882035274895,20.087087622492085
CFA3K,17.8762,16.9943,,,17.356599807739258,16.64590072631836,16.306699752807617,16.157699584960938,308.96355418700705,64.77255621899033
CFA3K,13.6738,12.9044,12.6383,12.4015,-999.0,-999.0,-999.0,-999.0,144.4532506289545,23.239185061314878
CFA3K,13.7788,13.3874,13.2963,13.2375,13.526599884033203,13.312600135803223,-999.0,13.303600311279297,144.44694419598537,23.13108611128815
CFA3K,14.0448,12.7524,12.2483,11.8015,-999.0,-999.0,-999.0,-999.0,144.4395920311351,23.13760511903627
CFA3K,17.986800000000002,17.2374,16.9393,16.6695,17.543399810791016,16.94610023498535,16.692899703979492,16.572999954223633,144.437517380235,23.227918924876
CFA3K,15.8858,15.2554,15.0703,14.9025,15.474800109863281,15.058699607849121,14.911100387573242,14.882499694824219,144.41809332239507,23.14925540784877
CFA3K,17.0318,16.1474,15.8063,15.5185,16.504199981689453,15.802399635314941,15.541299819946289,15.436599731445312,144.41467723283762,23.132260770307873
CFA3K,15.9058,15.3014,15.1263,14.9635,15.501999855041504,15.116100311279297,14.953499794006348,14.937700271606445,144.38878553487663,23.11353623739278
CFA3K,15.9058,15.3014,15.1263,14.9635,15.502900123596191,15.113100051879883,14.976400375366211,14.948699951171875,144.38876041358145,23.11352946327704
CFA3K,16.5498,15.9684,15.7873,15.6515,16.177799224853516,15.796099662780762,15.663999557495117,15.64229965209961,144.3618538787995,23.238919751459537
CFA3K,14.1178,13.3804,13.1373,12.9455,13.638199806213379,-999.0,-999.0,-999.0,144.36088701298695,23.18695466498992
CFA3K,15.3218,14.6514,14.4293,14.2505,14.856300354003906,14.411299705505371,14.232600212097168,14.186800003051758,144.34011921047477,23.124224120686154
CFA3K,17.0808,16.3044,16.052300000000002,15.8355,16.570600509643555,16.024499893188477,15.819600105285645,15.756199836730957,144.29081211335767,23.171487793348888
CFA3K,15.8088,15.3524,15.2413,15.1405,15.462400436401367,15.207200050354004,15.128000259399414,15.141400337219238,144.2894296071015,23.176417161872006
CFA3K,16.6228,15.7194,15.3473,15.0605,16.08099937438965,15.372699737548828,15.091500282287598,14.975700378417969,144.28852094138446,23.242662414855964
CFA3K,16.2081,15.7231,15.596,15.4815,15.916099548339844,15.757100105285645,15.537199974060059,15.675399780273438,139.11662608694454,-16.23419778927716
CFA3K,15.7495,15.2736,15.1403,15.0213,15.452099800109863,15.14739990234375,15.02910041809082,15.027000427246094,139.08000727028465,-16.232168284397467
CFA3K,14.8895,14.4701,14.3688,14.2893,14.66670036315918,14.355299949645996,14.30150032043457,14.326499938964844,139.07599871612473,-16.281961915963482
CFA3K,16.253,15.5346,15.2888,15.0738,15.794300079345703,15.287500381469727,15.0625,14.99839973449707,139.07414262599428,-16.377713464503938
CFA3K,15.5155,14.7306,14.452800000000002,14.2388,15.01990032196045,14.4483003616333,14.22819995880127,14.165499687194824,139.0729251876989,-16.345452844104408
