survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTF,17.120089922737375,16.680490598840493,16.496758257145554,99.0,99.0,99.0,17.09630012512207,16.719900131225586,16.561899185180664,16.524900436401367,333.5146076641868,-11.932172039855777
ZTF,16.586159977446606,16.117741335589294,99.0,99.0,99.0,99.0,16.56130027770996,16.15489959716797,15.971199989318848,15.927599906921387,330.7647440441598,36.93150022376894
ZTF,15.784583774458252,15.330569690116048,99.0,99.0,99.0,99.0,15.758600234985352,15.359700202941895,15.208800315856934,15.17549991607666,349.88827878417766,-4.653187517337712
ZTF,16.92799819640204,16.36803825109266,16.143806421647383,99.0,99.0,99.0,16.89240074157715,16.41320037841797,16.205699920654297,16.122499465942383,322.4907719270511,22.513096099826452
ZTF,99.0,99.0,99.0,16.02084168227585,15.585632247349212,15.421234518521153,15.98330020904541,15.613800048828125,15.469200134277344,15.42300033569336,254.84666069456122,11.373512193015161
ZTF,17.436445508391937,16.988971744799148,16.808287308456748,99.0,99.0,99.0,17.38990020751953,17.02199935913086,16.860599517822266,16.8356990814209,263.17028105499,78.41803888948141
ZTF,17.436445508391937,16.988971744799148,16.808287308456748,99.0,99.0,99.0,18.138099670410156,-999.0,16.843799591064453,-999.0,263.170283123255,78.41803840963799
ZTF,17.07251045084754,16.028211312898094,99.0,99.0,99.0,99.0,17.0216007232666,16.104400634765625,15.715399742126465,15.540800094604492,142.6662465595027,-14.74680530330102
ZTF,99.0,99.0,99.0,16.361100632765588,15.933077161673125,15.762112210725222,16.34819984436035,15.972900390625,15.814000129699707,15.77750015258789,230.0347897353686,20.438554324312335
ZTF,99.0,99.0,99.0,14.595492886569062,14.121629031764767,99.0,14.560799598693848,14.138799667358398,13.987600326538086,13.93239974975586,44.356468675543,46.81726557339308
ZTF,17.355882355040094,16.517495055182785,99.0,99.0,99.0,99.0,17.31369972229004,16.574199676513672,16.281099319458008,16.161699295043945,308.5152620534082,-27.261249512802024
ZTF,99.0,99.0,99.0,17.637803400937972,99.0,99.0,17.609600067138672,17.04789924621582,16.83169937133789,16.728599548339844,283.30139165622694,31.08852319387265
