survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,16.7932,16.4671,16.3496,16.794200897216797,16.43470001220703,16.307899475097656,16.29129981994629,246.28595065726088,33.60928727181097
ZTFD,18.6434,17.8771,17.6023,18.596099853515625,17.86370086669922,17.569499969482422,17.452999114990234,264.65191899206343,42.24147272453057
ZTFD,17.4848,17.1358,16.9892,17.507400512695312,17.10700035095215,16.950899124145508,16.911300659179688,247.2889036375113,34.488404936767914
ZTFD,18.5108,17.4817,16.9722,18.542600631713867,17.492399215698242,17.007400512695312,16.783599853515625,246.27995012337266,58.712452123931335
ZTFD,16.6621,16.412,16.316,16.711999893188477,16.375900268554688,16.271400451660156,16.260900497436523,227.08403388917918,31.856127059946523
ZTFD,15.4832,15.0061,14.86,15.49779987335205,14.980500221252441,14.817899703979492,14.771499633789062,225.98708044589034,18.742700302536164
ZTFD,17.1632,16.7404,16.5851,17.15920066833496,16.718000411987305,16.540700912475586,16.50480079650879,249.3471924734841,77.32147969837213
ZTFD,18.9722,17.7876,17.2336,18.912099838256836,17.80389976501465,17.257600784301758,17.00189971923828,260.89997868776584,77.6522440449347
ZTFD,15.9112,15.4261,15.2536,15.910599708557129,15.405900001525879,15.215499877929688,15.168700218200684,253.03495288922545,68.61640528955775
ZTFD,16.1638,16.0884,16.0514,16.202899932861328,16.030500411987305,15.98900032043457,16.020099639892578,227.36792777384238,25.720033082449323
ZTFD,15.4938,15.197000000000001,15.0936,15.52560043334961,15.169500350952148,15.048299789428711,15.035900115966797,246.06790059456733,44.377066197958214
ZTFD,17.5426,16.3013,15.6983,17.506999969482422,16.344999313354492,15.744400024414062,15.484399795532227,242.88993801,56.39970095
ZTFD,18.0327,17.4969,17.2768,18.04050064086914,17.49340057373047,17.260499954223633,17.172100067138672,237.00893147634574,39.10304102514673
ZTFD,17.3816,16.9486,16.8044,17.3882999420166,16.926000595092773,16.75629997253418,16.70330047607422,225.0190648764331,70.48045178537927
ZTFD,17.0665,16.5155,16.2979,17.08169937133789,16.50670051574707,16.266799926757812,16.19379997253418,254.78412730182137,70.35639711070851
ZTFD,18.2192,16.8774,15.929,18.156600952148438,16.94890022277832,16.040599822998047,15.62279987335205,223.1890023697511,68.74413874202128
ZTFD,17.8056,16.9921,16.6596,17.775999069213867,16.986099243164062,16.661500930786133,16.552400588989258,253.64001635799943,76.22375996701936
ZTFD,16.0216,15.77,15.6784,16.046300888061523,15.740099906921387,15.621399879455566,15.615900039672852,236.00589537088126,46.129570362291865
ZTFD,17.8762,16.6733,16.0215,17.854400634765625,16.70560073852539,16.067699432373047,15.786999702453613,213.97993657292298,37.395133978700485
ZTFD,16.9343,16.5834,16.4507,16.949600219726562,16.54990005493164,16.391300201416016,16.34980010986328,230.1389781271594,23.6821370670523
ZTFD,17.0133,16.6356,16.4911,17.029300689697266,16.613800048828125,16.454599380493164,16.413999557495117,256.88594976834366,74.85329167589336
ZTFD,17.3961,16.718,16.4642,17.42020034790039,16.708799362182617,16.452899932861328,16.34280014038086,264.0180023391877,36.01270407487252
ZTFD,17.9253,16.8017,16.3133,17.911500930786133,16.837900161743164,16.351299285888672,16.13089942932129,249.34203160615408,75.46098759333245
ZTFD,17.6209,16.9717,16.7436,17.637100219726562,16.95170021057129,16.711200714111328,16.61240005493164,225.50900984471483,36.52642818350558
ZTFD,16.3641,15.9812,15.8668,16.38050079345703,15.961000442504883,15.807700157165527,15.777400016784668,242.32105113791383,37.779540009282016
ZTFD,18.5728,17.8739,17.5605,18.563600540161133,17.86840057373047,17.55430030822754,17.420400619506836,254.61088592048688,60.282800279446484
ZTFD,18.7848,17.8932,17.5339,18.771699905395508,17.898799896240234,17.537399291992188,17.37339973449707,231.63014959644985,61.56823562398604
ZTFD,16.7534,16.25,16.0437,16.770200729370117,16.227500915527344,16.01420021057129,15.931400299072266,247.84690495238954,57.97445365820956
ZTFD,17.2047,16.7638,16.5817,17.21809959411621,16.7367000579834,16.551799774169922,16.479700088500977,262.9803555090139,77.7832356641934
ZTFD,18.1398,17.6845,17.5065,18.176700592041016,17.69029998779297,17.508699417114258,17.4507999420166,244.93020565375969,70.32586544956249
