survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,15.5965,15.2096,15.0776,15.614899635314941,15.180299758911133,15.03969955444336,15.009499549865723,252.81701695620163,29.241117830127216
ZTFD,17.8019,17.3341,17.1213,17.8435001373291,17.326799392700195,17.118499755859375,17.04949951171875,246.28592565147756,49.48734513145849
ZTFD,17.7226,16.423,15.7278,17.693099975585938,16.47249984741211,15.786199569702148,15.483099937438965,231.82295436916104,25.978492608318923
ZTFD,16.5858,16.1409,15.9921,16.595600128173828,16.107099533081055,15.9576997756958,15.913299560546875,217.27577181119503,75.515579454677
ZTFD,15.5364,15.1957,15.0636,15.556900024414062,15.160699844360352,15.02340030670166,14.991299629211426,237.30494630915373,26.58747707748592
ZTFD,18.9968,17.6285,16.9348,18.86639976501465,17.676599502563477,17.03849983215332,16.764999389648438,253.08689227050198,57.61831331521947
ZTFD,15.6868,15.3606,15.243,15.704500198364258,15.324799537658691,15.20359992980957,15.185099601745605,240.1850159470174,77.77638211586311
ZTFD,16.989,16.5854,16.4335,16.99850082397461,16.563100814819336,16.394699096679688,16.355499267578125,260.23608701132963,32.57042432145703
ZTFD,16.2917,15.7492,15.5616,16.297100067138672,15.73390007019043,15.535099983215332,15.478300094604492,240.13374656981173,75.62402256298545
ZTFD,17.7501,17.3723,17.2148,17.753799438476562,17.349599838256836,17.187599182128906,17.130599975585938,258.3630206252048,30.90321181908102
ZTFD,17.0017,16.4555,16.2292,17.008699417114258,16.442800521850586,16.210500717163086,16.124000549316406,253.15499236138632,40.37074343569614
ZTFD,16.0041,15.245,14.9505,15.997699737548828,15.23960018157959,14.934700012207031,14.800700187683105,259.2978986447897,50.74168787997879
ZTFD,18.5694,17.9329,17.6047,18.564899444580078,17.857200622558594,17.587900161743164,17.468799591064453,224.3280930106504,70.7381503889297
ZTFD,15.4723,14.9918,14.8421,15.483499526977539,14.978099822998047,14.795000076293945,14.74940013885498,212.6971332593659,61.2144814095971
ZTFD,18.3109,17.6313,17.3918,18.320600509643555,17.662700653076172,17.41349983215332,17.308700561523438,261.99405233266106,46.89434910617267
ZTFD,16.4785,15.325999999999999,14.8211,16.453100204467773,15.360300064086914,14.846400260925293,14.627699851989746,245.73203802671895,54.013083795255746
ZTFD,18.2785,17.8153,17.2713,18.853099822998047,17.77120018005371,17.301599502563477,17.10099983215332,243.79832551566994,75.28989048528668
ZTFD,17.4145,16.4005,16.0181,17.417699813842773,16.417699813842773,16.020700454711914,15.854499816894531,244.07603766382965,50.37414941134476
ZTFD,16.417,16.0498,15.9177,16.440200805664062,16.012699127197266,15.859000205993652,15.828100204467773,234.38594735248188,38.2372107829238
ZTFD,18.975,17.9913,17.6114,18.881900787353516,17.98590087890625,17.610700607299805,17.477500915527344,249.80604719610616,32.585272308129184
ZTFD,16.3048,16.0719,15.9524,16.33989906311035,16.034400939941406,15.918800354003906,15.893199920654297,253.48103675726037,57.75970850583342
ZTFD,17.6102,17.2526,17.1079,17.626699447631836,17.220300674438477,17.063100814819336,17.030500411987305,238.04513083330815,75.1734601340586
ZTFD,16.2891,16.0207,15.9292,16.284400939941406,15.983599662780762,15.873700141906738,15.86460018157959,240.69797377,55.83327516
ZTFD,16.9958,16.5712,16.4246,17.009599685668945,16.555500030517578,16.387500762939453,16.337200164794922,225.7338285843766,61.73611396122136
ZTFD,16.8676,16.585,16.4748,16.889400482177734,16.55500030517578,16.422399520874023,16.408000946044922,243.92200364308962,30.623331213478092
ZTFD,16.1291,15.655,15.4574,16.1387996673584,15.634699821472168,15.428000450134277,15.353099822998047,252.85397834347876,55.47644531208148
ZTFD,18.7799,17.4572,16.612000000000002,18.704099655151367,17.511699676513672,16.682100296020508,16.32430076599121,253.30094444559447,57.04114564714513
ZTFD,16.712,16.4363,16.3425,16.729700088500977,16.3976993560791,16.28179931640625,16.272300720214844,219.14610444630168,47.32888742434389
ZTFD,16.6274,16.0189,15.7994,16.6294002532959,16.002700805664062,15.777199745178223,15.693300247192383,236.25893034774776,27.037885908444263
ZTFD,15.5906,15.2704,15.1743,15.615799903869629,15.243399620056152,15.12600040435791,15.10830020904541,234.4920615026494,35.6562619471239
ZTFD,18.2614,17.1129,16.6141,18.24340057373047,17.13789939880371,16.63680076599121,16.438400268554688,256.7199801014733,68.54497197549199
ZTFD,18.062,16.9554,16.5118,18.013900756835938,16.96780014038086,16.52869987487793,16.332500457763672,244.3569391500175,25.094591277609
ZTFD,17.0092,16.721,16.6095,17.0310001373291,16.69700050354004,16.572399139404297,16.56220054626465,239.6810488081827,34.22173134171271
ZTFD,18.3372,17.1406,16.6378,18.279800415039062,17.180099487304688,16.683799743652344,16.463600158691406,231.4470616667593,21.5412784220311
ZTFD,15.4009,15.0097,14.8707,15.424500465393066,14.981300354003906,14.839599609375,14.797499656677246,227.78911527796342,63.02069418653041
ZTFD,15.2976,14.999,14.8791,15.325799942016602,14.975899696350098,14.834799766540527,14.827300071716309,254.9958200287832,70.83894609947717
ZTFD,17.1319,16.3635,16.0674,17.121599197387695,16.357900619506836,16.061500549316406,15.926400184631348,252.3950854703114,18.29539592553127
ZTFD,16.9243,16.2858,16.0468,16.927400588989258,16.287500381469727,16.028499603271484,15.915200233459473,234.49193983772278,30.485265138149447
