survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
swift,17.2260967254639,16.6215188879716,16.819099426269528,16.412200927734375,16.24799919128418,16.187599182128903,253.27140958333302,2.42437333333333
swift,16.3988537788391,15.617128673352699,19.805599212646484,-999.0,-999.0,-999.0,253.30295125,2.396205
swift,16.5461168289185,15.6027768285651,15.920900344848633,15.22070026397705,14.947699546813965,14.817500114440918,253.23246958333303,2.42688333333333
swift,16.094986343383802,15.481188272175,15.684300422668455,15.28499984741211,15.124600410461426,15.08769989013672,253.24517125,2.3533961111111097
swift,14.415672302246099,13.6590747833252,13.947400093078613,13.461899757385256,-999.0,13.216400146484375,253.31425625,2.39941166666667
swift,16.982755565643302,16.3449731124075,16.534099578857422,16.109199523925778,15.946100234985352,15.882800102233887,253.262197916667,2.43162444444444
swift,15.4101437568665,14.462319424277899,14.79990005493164,14.082900047302244,13.785300254821776,13.62950038909912,253.18766791666698,2.4222799999999998
swift,17.529784679412803,16.8435471183375,17.066499710083008,16.615800857543945,16.438499450683597,16.378599166870114,253.232749583333,2.3920222222222205
swift,16.932913017272902,16.2772647456119,16.495500564575195,16.04159927368164,15.868000030517578,15.8056001663208,253.22563125,2.4054086111111097
swift,17.9602384567261,17.0627313915052,17.359699249267578,16.690000534057614,16.451200485229492,16.353099822998047,253.243915,2.36761944444444
swift,17.7117403030396,16.8599987030029,17.135299682617188,16.563400268554688,16.372699737548828,16.302799224853516,253.22256125,2.3850497222222202
swift,17.7313334465027,16.968230598851303,17.24690055847168,16.700700759887695,16.482200622558597,16.379600524902347,253.294157916667,2.36496972222222
swift,12.8170995992773,12.2524401081933,-999.0,-999.0,-999.0,-999.0,53.81155,-24.905905999999998
swift,18.153631659115103,17.1439746750726,17.54159927368164,16.70949935913086,16.347700119018555,16.198600769042972,53.738825,-24.891064
swift,18.244852290434,17.4567914009094,17.747299194335938,17.164199829101562,16.949199676513672,16.882499694824222,53.778325,-24.971889
