survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,17.805679321289062,17.08960723876953,16.866596221923828,16.74344253540039,17.771799087524414,17.136699676513672,16.878999710083008,16.79010009765625,42.980351317640746,0.9943441392195386
DES,18.74094581604004,17.28665542602539,16.620521545410156,16.290769577026367,18.695600509643555,17.417600631713867,16.713600158691406,16.39859962463379,43.045546812354374,0.9937640037459783
DES,17.031538009643555,16.280738830566406,16.045927047729492,15.913877487182617,16.98859977722168,16.323999404907227,16.06329917907715,15.967000007629395,43.03387155416739,0.9929836596483352
DES,18.601638793945312,17.26250648498535,16.715490341186523,16.439373016357422,18.548599243164062,17.36050033569336,16.77869987487793,16.52669906616211,42.995742989865576,0.9983839208515761
DES,16.37061309814453,15.741776466369629,15.557978630065918,15.463706970214844,16.339399337768555,15.788299560546875,15.569700241088867,15.499199867248535,42.50562900119834,0.7102618776967918
DES,15.835484504699707,15.359192848205566,15.217865943908691,15.15431022644043,15.810700416564941,15.386500358581543,15.20989990234375,15.177200317382812,42.5195357091434,0.7374223299028959
DES,16.793188095092773,15.988632202148438,15.73021411895752,15.587150573730469,16.750499725341797,16.036300659179688,15.750800132751465,15.638199806213379,42.81952404665543,0.7724491375947018
DES,15.861968994140625,15.004229545593262,14.73448657989502,14.579702377319336,15.794500350952148,15.04539966583252,14.749500274658203,14.63539981842041,42.362367499554225,0.5852512978658428
DES,17.296735763549805,16.14927864074707,15.760428428649902,15.545071601867676,17.226699829101562,16.226699829101562,15.807900428771973,15.629899978637695,42.80518923922326,0.6727490634103009
DES,15.880454063415527,15.26978874206543,15.094614028930664,15.003316879272461,15.849300384521484,15.310500144958496,15.104499816894531,15.038399696350098,42.8780436272233,0.7775781253692727
DES,17.105281829833984,16.51700782775879,16.32728385925293,16.23019790649414,17.051000595092773,16.549100875854492,16.34149932861328,16.26810073852539,42.187602697510606,0.8076077767926825
DES,18.983421325683594,17.53318977355957,16.605484008789062,16.19277572631836,18.8843994140625,17.67490005493164,16.739200592041016,16.311500549316406,42.012876498075336,0.940426089043835
DES,16.956199645996094,16.36233139038086,16.190290451049805,16.100990295410156,16.922399520874023,16.393600463867188,16.197799682617188,16.12689971923828,41.87415567932497,0.9491532141616347
