survey,NICKEL2-B,NICKEL2-V,NICKEL2-R,NICKEL2-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL2,18.579727,17.8905,17.451813,16.941374,18.074100494384766,17.6117000579834,17.420900344848633,17.356000900268555,328.08315701,3.40712279
NICKEL2,14.736716,13.874636,13.327534,12.688414,13.857000350952148,13.105600357055664,-999.0,13.11340045928955,210.80691285,54.26199032
NICKEL2,16.134802,14.905042,14.03637,13.192981,14.918399810791016,14.239299774169922,13.781999588012695,13.575200080871582,210.84318422,54.26006183
NICKEL2,15.637484,14.963564,14.536898,14.031532,15.132599830627441,14.706000328063965,14.508700370788574,14.452500343322754,330.57546875,-18.88112849
NICKEL2,16.870903,15.707384,14.932332,14.230168,16.100099563598633,15.15429973602295,14.767600059509277,14.602899551391602,330.56137888,-18.89528583
NICKEL2,16.29749,15.674482,15.275541,14.807931,15.788599967956543,15.394000053405762,15.24530029296875,15.194199562072754,334.59245774,40.57273829
NICKEL2,16.923899,15.917467,15.286908,14.651748,16.222000122070312,15.45740032196045,15.171199798583984,15.058699607849121,334.59887642,40.59240195
NICKEL2,17.443844,16.349224,15.664896,14.964174,16.69260025024414,15.855999946594238,15.503399848937988,15.345800399780273,334.57689076,40.6065375
NICKEL2,16.891207,16.162424,15.699945,15.194118,16.352100372314453,15.850500106811523,15.655500411987305,15.592300415039062,334.55790324,40.57550739
NICKEL2,17.133627,16.473244,16.051886,15.553577,16.6382999420166,16.193099975585938,16.01059913635254,15.947799682617188,334.57760652,40.58672867
NICKEL2,17.352097,16.596575,16.117989,15.574141,16.80069923400879,16.272199630737305,16.059999465942383,15.970000267028809,334.55796146,40.53421518
NICKEL2,17.083673,15.747464,14.914881,14.035511,16.18280029296875,15.110099792480469,14.612700462341309,14.322699546813965,325.8368013,43.54958422
NICKEL2,16.550007,15.65201,15.087313,14.45806,15.907500267028809,15.250300407409668,14.95479965209961,14.823699951171875,325.87107587,43.56958399
NICKEL2,17.122278,15.955504,15.227041,14.410074,16.302499771118164,15.384599685668945,14.919899940490723,14.675700187683105,325.87964751,43.58752441
NICKEL2,16.884735,15.947041,15.358264,14.695034,16.211000442504883,15.522199630737305,15.199399948120117,15.05049991607666,325.83025116,43.54412717
NICKEL2,17.05212,16.249504,15.742505,15.155595,16.4552001953125,15.897600173950195,15.644700050354004,15.50790023803711,325.86557037,43.56163161
NICKEL2,17.466967,16.607565,16.066246,15.4374695,16.852500915527344,16.2273006439209,15.9350004196167,15.809900283813477,325.85391473,43.54373877
NICKEL2,16.329687,15.762155,15.396432,14.965433,15.888699531555176,15.53969955444336,15.41469955444336,15.385100364685059,20.20372087,4.7874524
NICKEL2,17.42356,16.54808,15.997027,15.4272995,16.800199508666992,16.15920066833496,15.927300453186035,15.84119987487793,20.19588365,4.79107369
NICKEL2,17.718374,16.972479,16.499695,15.993297,17.172399520874023,16.66200065612793,16.478200912475586,16.42060089111328,38.32010587,9.60020544
NICKEL2,18.174652,17.438385,16.971397,16.461731,17.62339973449707,17.108400344848633,16.928600311279297,16.867000579833984,38.34953266,9.54588383
NICKEL2,15.386555,14.795558,14.415794,13.982555,14.931099891662598,14.559300422668457,14.429900169372559,14.400899887084961,36.38366143,41.85001381
NICKEL2,16.746286,15.961869,15.465857,14.931814,16.174999237060547,15.628999710083008,15.406800270080566,15.337200164794922,36.379804,41.80955718
NICKEL2,16.894974,16.255949,15.8474045,15.389756,16.408599853515625,16.00320053100586,15.844900131225586,15.812999725341797,36.38164775,41.86429613
NICKEL2,17.46346,16.80842,16.390265,15.934227,16.979900360107422,16.535600662231445,16.396900177001953,16.372299194335938,36.39074406,41.82739767
NICKEL2,17.055962,16.437223,16.040844,15.593476,16.57509994506836,16.196500778198242,16.048599243164062,16.013399124145508,55.53392159,-4.73031608
NICKEL2,18.689045,17.1417,16.17843,14.9408045,17.66010093688965,16.405399322509766,15.58430004119873,15.208200454711914,55.5875437,-4.71041622
NICKEL2,18.000523,17.110033,16.549887,15.957874,17.38159942626953,16.724899291992188,16.457000732421875,16.35540008544922,55.57788409,-4.68825566
NICKEL2,18.910849,17.834524,17.161366,16.446665,18.166400909423828,17.327699661254883,16.990699768066406,16.847000122070312,37.98031817,1.28938743
NICKEL2,18.729492,18.010334,17.553644,17.066473,18.22920036315918,17.732999801635742,17.55069923400879,17.504199981689453,37.9597577,1.23074529
NICKEL2,15.980648,15.197303,14.701937,14.174257,15.408599853515625,14.859199523925781,14.657500267028809,14.597900390625,58.57253458,-19.20398083
NICKEL2,17.172924,16.490108,16.055273,15.568412,16.670299530029297,16.2096004486084,16.04450035095215,15.988300323486328,58.5944494,-19.15680187
NICKEL2,17.32256,16.638676,16.203197,15.724586,16.813800811767578,16.362699508666992,16.185300827026367,16.125499725341797,58.6219692,-19.14842837
NICKEL2,17.894264,16.659561,15.889435,15.072525,17.059799194335938,16.091299057006836,15.64050006866455,15.415599822998047,44.61021236,6.63282296
NICKEL2,17.25248,16.521559,16.057789,15.500603,16.708099365234375,16.215499877929688,15.985899925231934,15.89900016784668,44.54786147,6.60659701
