survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTF_AB,18.2114,17.546,17.2834,18.1754,17.5337,17.2701,17.1471,235.819,23.9465,0.1896175,0.12780281690140846,0.09256873822975517,0.18860000000000002,0.1345915492957747,0.09957062146892656,0.0789064039408867
ZTF_AB,17.5324,16.8924,16.6052,17.5141,16.8691,16.5801,16.4324,233.694,25.7947,0.1529975,0.10344225352112676,0.07486817325800377,0.1522,0.10887323943661974,0.07996045197740113,0.06400492610837438
ZTF_AB,16.9974,16.6081,16.4469,17.0109,16.5776,16.4085,16.3596,233.521,19.6381,0.22241,0.14916338028169013,0.10803578154425611,0.2212,0.1573098591549296,0.11631073446327683,0.09250738916256157
ZTF_AB,16.9151,16.4129,16.2389,16.9266,16.3888,16.2048,16.1427,262.341,54.6243,0.1353425,0.09126197183098592,0.06586817325800376,0.1346,0.09601408450704227,0.07096045197740113,0.05600492610837438
ZTF_AB,16.2914,15.5711,15.2596,16.2713,15.5676,15.2513,15.1192,235.585,74.1309,0.12086,0.08108169014084507,0.0586346516007533,0.1202,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTF_AB,16.4382,16.0388,15.9054,16.4481,16.0197,15.8656,15.8205,228.893,23.0031,0.14117,0.09526197183098592,0.06886817325800376,0.1404,0.10001408450704227,0.07396045197740113,0.059004926108374385
ZTF_AB,17.2389,16.7944,16.616,17.2509,16.7746,16.5894,16.5364,250.914,28.9945,0.1083775,0.07290140845070422,0.05240112994350282,0.1078,0.07629577464788734,0.05622033898305085,0.04510344827586207
ZTF_AB,17.578,17.0763,16.9115,17.5722,17.0625,16.8764,16.8089,233.571,65.3335,0.08606749999999999,0.05772112676056338,0.04216760828625236,0.0856,0.06043661971830987,0.045350282485875706,0.03580295566502463
ZTF_AB,16.7078,16.2476,16.1046,16.7154,16.2257,16.0582,16.0216,216.632,78.7506,0.1073775,0.07208169014084506,0.05240112994350282,0.1068,0.0761549295774648,0.05622033898305085,0.04440394088669951
ZTF_AB,17.173,16.858,16.7321,17.1826,16.8294,16.6872,16.6549,247.51,37.6418,0.030965,0.021180281690140846,0.015467043314500942,0.0308,0.021859154929577466,0.016740112994350284,0.012901477832512316
ZTF_AB,18.4366,17.8011,17.5282,18.4511,17.7946,17.5014,17.396,239.709,64.3811,0.06293,0.04172112676056338,0.03070056497175141,0.0626,0.04443661971830987,0.032610169491525426,0.026201970443349754
ZTF_AB,16.0159,15.6597,15.5189,16.0338,15.6356,15.4804,15.4405,243.675,55.0875,0.024137500000000003,0.016180281690140845,0.01223352165725047,0.024,0.01685915492957747,0.01287005649717514,0.010300492610837438
ZTF_AB,17.8286,17.2817,17.0589,17.8327,17.2654,17.0317,16.9512,253.175,65.1976,0.092895,0.06272112676056338,0.04516760828625235,0.0924,0.06543661971830987,0.04835028248587571,0.038802955665024626
ZTF_AB,17.3461,17.1106,17.0126,17.3808,17.0926,16.9845,16.9634,244.069,32.8046,0.072585,0.04872112676056338,0.03516760828625236,0.0722,0.051436619718309866,0.03835028248587571,0.030502463054187193
ZTF_AB,17.2699,16.8908,16.7474,17.2773,16.8636,16.7112,16.6594,260.131,50.8479,0.114205,0.07708169014084507,0.055634651600753295,0.11359999999999999,0.0811549295774648,0.06009039548022599,0.047403940886699504
ZTF_AB,17.1769,16.6438,16.4593,17.1742,16.6321,16.4239,16.3436,221.156,37.3712,0.024137500000000003,0.016180281690140845,0.01223352165725047,0.024,0.01685915492957747,0.01287005649717514,0.010300492610837438
ZTF_AB,16.708,16.4238,16.3048,16.7207,16.389,16.2656,16.2427,240.992,33.8669,0.091895,0.06190140845070423,0.04516760828625235,0.0914,0.06529577464788734,0.04835028248587571,0.03810344827586207
ZTF_AB,16.9559,16.5724,16.4337,16.9718,16.5435,16.386,16.3475,253.647,56.0579,0.053275,0.03554084507042254,0.025700564971751414,0.053,0.037577464788732404,0.027610169491525425,0.022201970443349754
ZTF_AB,18.3442,17.7462,17.5032,18.3256,17.72,17.4755,17.4078,262.355,77.0248,0.13734249999999998,0.09226197183098592,0.06686817325800376,0.1366,0.09701408450704227,0.07196045197740113,0.05700492610837438
ZTF_AB,17.1631,16.7401,16.5511,17.1869,16.7386,16.5441,16.4814,245.187,78.2021,0.14034249999999998,0.09426197183098592,0.06886817325800376,0.1396,0.09901408450704227,0.07396045197740113,0.058004926108374384
