survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
D3YR,16.75223923,16.39841461,16.29738808,16.25971985,16.719999313354492,16.422800064086914,16.298900604248047,16.2726993560791,42.68332652,-0.15853903
D3YR,17.48008728,16.58899879,16.31665421,16.16091728,17.42449951171875,16.65719985961914,16.35219955444336,16.218399047851562,42.68847525,-0.18962909
D3YR,18.98368835,17.44804955,16.36108208,15.87565041,18.912599563598633,17.604700088500977,16.506200790405273,15.996800422668457,42.72667795,-0.13820032
D3YR,18.7618618,17.3502903,16.53689575,16.13721275,18.67650032043457,17.492000579833984,16.676000595092773,16.27589988708496,42.6586628,-0.23543719
D3YR,18.99548531,18.12246323,17.8709774,17.73573685,19.053300857543945,18.20050048828125,17.914400100708008,17.80660057067871,41.40641206,-0.08888644
D3YR,17.9224472,17.2485466,17.01785851,16.89350891,17.886699676513672,17.308500289916992,17.052099227905273,16.939199447631836,41.40145165,-0.11002301
D3YR,18.24032593,18.29273796,18.2771759,18.38056946,18.94890022277832,19.126699447631836,18.371400833129883,19.148099899291992,41.39028328,-0.12917886
D3YR,18.23220825,17.99238968,18.02546501,18.09152603,18.330400466918945,18.063100814819336,17.98900032043457,18.259700775146484,41.57119865,-0.10075282
D3YR,18.53245163,17.90756607,17.70924568,17.60399628,18.450000762939453,17.940500259399414,17.721799850463867,17.645700454711914,43.20924161,-0.06250817
D3YR,17.87090683,17.23443604,17.02727127,16.92678452,17.82029914855957,17.286100387573242,17.055599212646484,16.959400177001953,41.55955831,-0.93690354
D3YR,18.83580017,17.34864807,16.48766518,16.09637642,18.738000869750977,17.49489974975586,16.60689926147461,16.209999084472656,43.27727796,0.88522291
D3YR,18.72623062,18.2672863,18.13667297,18.07009888,18.65760040283203,18.310699462890625,18.12980079650879,18.086999893188477,43.30266826,0.86982762
D3YR,18.81069183,18.07254791,17.84547806,17.72194481,18.757999420166016,18.122699737548828,17.873300552368164,17.76650047302246,43.19406359,0.82738933
D3YR,18.23701859,17.57343102,17.37199402,17.26811981,18.187000274658203,17.638399124145508,17.39299964904785,17.309999465942383,42.88800376,0.90674064
D3YR,17.8765831,16.83273697,16.37325668,16.15348816,17.873199462890625,16.890600204467773,16.438400268554688,16.258699417114258,41.00015626,0.43727021
D3YR,18.36593437,17.95940781,17.82426643,17.78079987,18.333799362182617,17.9783992767334,17.83799934387207,17.80500030517578,41.02776419,0.48042058
D3YR,18.67201614,17.87014008,17.60429192,17.46119118,18.645999908447266,17.936199188232422,17.63789939880371,17.52120018005371,42.14248579,-1.14630718
