survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFS,18.4768,17.2868,16.7233,18.44300079345703,17.288799285888672,16.751399993896484,16.516799926757812,243.26516633893115,72.66959630417193
ZTFS,17.8069,17.0262,16.7408,17.800899505615234,17.016799926757812,16.728300094604492,16.60540008544922,217.29404143139104,79.32203058668057
ZTFS,17.5052,16.6484,16.4377,17.399599075317383,16.573400497436523,16.251100540161133,16.132699966430664,233.22601870309848,58.40920078227066
ZTFS,17.5201,16.7569,16.4609,17.506399154663086,16.759700775146484,16.469100952148438,16.344100952148438,241.62200652057783,64.7291252828311
ZTFS,18.031,17.033,16.6208,18.013900756835938,17.043100357055664,16.6427001953125,16.44029998779297,241.86997259356968,21.493879167680333
ZTFS,18.7345,17.7127,17.2911,18.694799423217773,17.725799560546875,17.276899337768555,17.068500518798828,257.06490825870543,65.4011140043932
ZTFS,18.6352,17.9334,17.519000000000002,18.634000778198242,17.910600662231445,17.58329963684082,17.466100692749023,239.8639724413289,33.92863836634628
ZTFS,16.4578,15.9412,15.7426,16.47610092163086,15.925100326538086,15.71150016784668,15.631099700927734,213.2589884408955,51.31425970866737
ZTFS,16.8857,16.3843,16.1971,16.90290069580078,16.372499465942383,16.172100067138672,16.094900131225586,255.33897312526835,22.685187050960856
ZTFS,16.0975,15.7336,15.5848,16.11590003967285,15.709600448608398,15.571000099182129,15.543299674987793,261.6088440313673,60.56308271928093
ZTFS,17.4417,17.0669,16.9182,17.466400146484375,17.035999298095703,16.877899169921875,16.834699630737305,234.7630813678399,58.68402117003282
ZTFS,17.0392,16.6056,16.4404,17.065399169921875,16.60919952392578,16.425199508666992,16.380199432373047,253.381917833038,59.428214424517215
ZTFS,17.6887,17.0569,16.775,17.701400756835938,17.028900146484375,16.761899948120117,16.63629913330078,241.9669957991506,26.609623831356952
