,B,V,g,i,m,n,o,r,shifts
58,-0.07416569324833086,2.1969066553278553,0.8134892168199599,0.1212678125181666,4.128669403978207,4.128669403978207,4.128669403978207,0.569976399903277,8
59,-0.04449941594899851,2.2726620572357126,0.8986495300827679,0.2425356250363332,4.16654710493214,4.16654710493214,4.16654710493214,0.569976399903277,9
60,-0.015041420939904685,2.2726620572357126,1.0109807213431141,0.2425356250363332,4.204424805886064,4.204424805886064,4.204424805886064,0.7124704998790964,10
61,0.015041420939904685,2.34841745914357,1.1233119126034603,0.2425356250363332,4.280180207793921,4.280180207793921,4.280180207793921,0.7124704998790964,11
62,0.04512426281971406,2.34841745914357,1.2356431038638065,0.2425356250363332,4.280180207793921,4.280180207793921,4.280180207793921,0.7124704998790964,12
63,0.07627589768011357,2.4241728610514266,1.2918086994939795,0.2425356250363332,4.3559356097017785,4.3559356097017785,4.3559356097017785,0.8549645998549156,13
64,0.106786256752159,2.4241728610514266,1.3479742951241527,0.2425356250363332,4.3559356097017785,4.3559356097017785,4.3559356097017785,0.8549645998549156,14
65,0.13729661582420444,2.499928262959284,1.4603054863844989,0.35792999176313606,4.431691011609636,4.431691011609636,4.431691011609636,0.8549645998549156,15
66,0.16780697489624816,2.5378059639132124,1.6274669424134698,0.35792999176313606,4.431691011609636,4.431691011609636,4.431691011609636,0.997458699830735,16
67,0.2166445612065607,2.575683664867141,1.7437145811572892,0.35792999176313606,4.469568712563568,4.469568712563568,4.469568712563568,0.997458699830735,17
68,0.26306839575082197,2.6135613658210652,1.8018384005291987,0.35792999176313606,4.507446413517492,4.507446413517492,4.507446413517492,0.997458699830735,18
69,0.29401761878033067,2.6135613658210652,1.9180860392730181,0.35792999176313606,4.545324114471425,4.545324114471425,4.545324114471425,1.1399527998065542,19
70,0.3249668418098393,2.6893167677289225,1.976209858644928,0.4175849903903255,4.583201815425349,4.583201815425349,4.583201815425349,1.1399527998065542,20
71,0.36109820715185087,2.6893167677289225,2.092457497388747,0.4772399890175149,4.621079516379282,4.621079516379282,4.621079516379282,1.1399527998065542,21
72,0.3924980512520119,2.7650721696367793,2.2087051361325667,0.4772399890175149,4.658957217333207,4.658957217333207,4.658957217333207,1.2824468997823737,22
73,0.42389789535217304,2.7650721696367793,2.343282895691828,0.4772399890175149,4.69683491828714,4.69683491828714,4.69683491828714,1.2824468997823737,23
74,0.45529773945233415,2.8408275715446365,2.4634512493170493,0.4772399890175149,4.772590320194997,4.772590320194997,4.772590320194997,1.2824468997823737,24
75,0.4938710656048025,2.8408275715446365,2.5235354261296603,0.5368949876447043,4.772590320194997,4.772590320194997,4.772590320194997,1.2824468997823737,25
76,0.5257337149986608,2.9165829734524937,2.6437037797548815,0.5965499862718937,4.848345722102853,4.848345722102853,4.848345722102853,1.424940999758193,26
77,0.5575963643925191,2.9165829734524937,2.7037879565674925,0.5965499862718937,4.848345722102853,4.848345722102853,4.848345722102853,1.424940999758193,27
78,0.6053903384833067,2.9923383753603505,2.8239563101927145,0.5965499862718937,4.92410112401071,4.92410112401071,4.92410112401071,1.424940999758193,28
79,0.6467616667635534,2.9923383753603505,2.9441246638179366,0.5965499862718937,4.92410112401071,4.92410112401071,4.92410112401071,1.5674350997340118,29
80,0.6790997501017312,3.0680937772682078,3.1008683647302107,0.6562049848990831,4.999856525918568,4.999856525918568,4.999856525918568,1.5674350997340118,30
81,0.711437833439909,3.1059714782221404,3.224903099319419,0.6562049848990831,4.999856525918568,4.999856525918568,4.999856525918568,1.5674350997340118,31
82,0.7437759167780867,3.143849179176065,3.2869204666140237,0.7158599835262726,5.075611927826425,5.075611927826425,5.075611927826425,1.7099291997098314,32
83,0.8042519012657995,3.1817268801299976,3.4109552012032323,0.7158599835262726,5.075611927826425,5.075611927826425,5.075611927826425,1.7099291997098314,33
84,0.8370785094807301,3.219604581083922,3.534989935792441,0.7158599835262726,5.151367329734278,5.151367329734278,5.151367329734278,1.7099291997098314,34
85,0.8699051176956608,3.257482282037855,3.597007303087045,0.7755149821534615,5.151367329734278,5.151367329734278,5.151367329734278,1.8524232996856507,35
86,0.9165393783696323,3.295359982991779,3.7210420376762534,0.7755149821534615,5.227122731642135,5.227122731642135,5.227122731642135,1.8524232996856507,36
87,0.9645788568769371,3.3332376839457116,3.8971470464996334,0.7755149821534615,5.2650004325960635,5.2650004325960635,5.2650004325960635,1.8524232996856507,37
88,0.9984237290480578,3.3711153848996362,4.024922359499621,0.835169980780651,5.302878133549992,5.302878133549992,5.302878133549992,1.9949173996614702,38
89,1.0491910373047388,3.408993085853569,4.0888100159996155,0.835169980780651,5.340755834503921,5.340755834503921,5.340755834503921,1.9949173996614702,39
90,1.0830359094758595,3.408993085853569,4.216585328999604,0.8778086039709792,5.3786335354578485,5.3786335354578485,5.3786335354578485,1.9949173996614702,40
