,B,I,R,V,shifts
81,-3.75,0.4166666666666667,-0.25,-2.625,31
82,-3.6666666666666665,0.4166666666666667,-0.25,-2.625,32
83,-3.583333333333333,0.5,-0.125,-2.5,33
84,-3.5,0.5,-0.125,-2.375,34
85,-3.4166666666666665,0.5,-0.125,-2.375,35
86,-3.25,0.5,-0.125,-2.25,36
87,-3.1666666666666665,0.5,-0.0,-2.25,37
88,-3.083333333333333,0.5833333333333334,0.0,-2.125,38
89,-2.9999999999999996,0.5833333333333334,0.0,-2.125,39
90,-2.916666666666667,0.5833333333333334,0.25,-2.0,40
91,-2.8333333333333335,0.5833333333333334,0.25,-1.875,41
92,-2.75,0.5833333333333334,0.25,-1.875,42
93,-2.5833333333333335,0.6666666666666666,0.25,-1.75,43
94,-2.5,0.6666666666666666,0.375,-1.75,44
95,-2.4166666666666665,0.6666666666666666,0.375,-1.625,45
96,-2.3333333333333335,0.6666666666666666,0.375,-1.5,46
97,-2.25,0.6666666666666666,0.375,-1.5,47
98,-2.1666666666666665,0.6666666666666666,0.5,-1.375,48
99,-2.0833333333333335,0.7499999999999999,0.5,-1.375,49
100,-2.0,0.7499999999999999,0.5,-1.25,50
