,g,i,r,z,shifts
34,-5.142857142857142,-0.8,0.16666666666666666,-1.2,-16
35,-5.0,-0.8,0.16666666666666666,-1.15,-15
36,-4.857142857142858,-0.8,0.3333333333333333,-1.15,-14
37,-4.714285714285714,-0.8,0.3333333333333333,-1.0999999999999999,-13
38,-4.714285714285714,-0.6,0.3333333333333333,-1.0999999999999999,-12
39,-4.571428571428571,-0.6,0.5,-1.05,-11
40,-4.428571428571429,-0.6,0.5,-1.05,-10
41,-4.285714285714286,-0.6,0.5,-1.05,-9
42,-4.142857142857143,-0.6,0.5,-1.0,-8
43,-4.142857142857143,-0.6,0.6666666666666666,-0.95,-7
44,-4.0,-0.6,0.6666666666666666,-0.95,-6
45,-3.857142857142857,-0.6,0.6666666666666666,-0.95,-5
46,-3.714285714285714,-0.4,0.8333333333333334,-0.8999999999999999,-4
47,-3.5714285714285716,-0.4,0.8333333333333334,-0.8999999999999999,-3
48,-3.4285714285714284,-0.4,1.0,-0.8500000000000001,-2
49,-3.4285714285714284,-0.4,1.0,-0.8500000000000001,-1
50,-3.2857142857142856,-0.4,1.0,-0.8,0
51,-3.142857142857143,-0.4,1.1666666666666667,-0.8,1
52,-3.0,-0.4,1.1666666666666667,-0.75,2
53,-2.857142857142857,-0.2,1.1666666666666667,-0.75,3
54,-2.857142857142857,-0.2,1.3333333333333333,-0.7,4
55,-2.714285714285714,-0.2,1.3333333333333333,-0.7,5
56,-2.571428571428571,-0.2,1.3333333333333333,-0.6499999999999999,6
57,-2.428571428571429,-0.2,1.4999999999999998,-0.6499999999999999,7
58,-2.2857142857142856,-0.2,1.4999999999999998,-0.6,8
59,-2.2857142857142856,-0.2,1.4999999999999998,-0.6,9
60,-2.142857142857143,-0.2,1.6666666666666667,-0.6,10
61,-2.0,-0.0,1.6666666666666667,-0.5499999999999999,11
62,-1.857142857142857,-0.0,1.6666666666666667,-0.5499999999999999,12
63,-1.7142857142857142,-0.0,1.8333333333333333,-0.5,13
64,-1.7142857142857142,0.0,1.8333333333333333,-0.5,14
65,-1.5714285714285714,0.0,1.8333333333333333,-0.44999999999999996,15
66,-1.4285714285714286,0.0,1.8333333333333333,-0.44999999999999996,16
67,-1.2857142857142856,0.0,2.0,-0.4,17
68,-1.1428571428571428,0.2,2.0,-0.4,18
69,-1.1428571428571428,0.2,2.1666666666666665,-0.35,19
70,-1.0,0.2,2.1666666666666665,-0.35,20
71,-0.8571428571428571,0.2,2.1666666666666665,-0.3,21
72,-0.7142857142857143,0.2,2.1666666666666665,-0.3,22
73,-0.5714285714285714,0.2,2.3333333333333335,-0.25,23
74,-0.5714285714285714,0.2,2.3333333333333335,-0.25,24
75,-0.42857142857142855,0.4,2.3333333333333335,-0.2,25
76,-0.2857142857142857,0.4,2.5,-0.2,26
77,-0.14285714285714285,0.4,2.5,-0.15,27
78,-0.0,0.4,2.5,-0.15,28
79,0.0,0.4,2.6666666666666665,-0.1,29
80,0.14285714285714285,0.4,2.6666666666666665,-0.1,30
81,0.2857142857142857,0.4,2.6666666666666665,-0.1,31
82,0.42857142857142855,0.6,2.8333333333333335,-0.05,32
83,0.5714285714285714,0.6,2.8333333333333335,-0.05,33
84,0.5714285714285714,0.6,2.8333333333333335,-0.0,34
85,0.7142857142857143,0.6,2.9999999999999996,0.0,35
86,0.8571428571428571,0.6,2.9999999999999996,0.05,36
87,1.0,0.6,2.9999999999999996,0.05,37
88,1.1428571428571428,0.6,3.1666666666666665,0.1,38
89,1.1428571428571428,0.8,3.1666666666666665,0.1,39
90,1.2857142857142856,0.8,3.1666666666666665,0.15,40
91,1.4285714285714286,0.8,3.3333333333333335,0.15,41
92,1.5714285714285714,0.8,3.3333333333333335,0.2,42
93,1.7142857142857142,0.8,3.3333333333333335,0.19047619047619047,43
94,1.7142857142857142,0.8,3.5,0.23809523809523808,44
95,1.857142857142857,1.0,3.5,0.23809523809523808,45
96,2.0,1.0,3.5,0.2857142857142857,46
97,2.142857142857143,1.0,3.6666666666666665,0.2857142857142857,47
98,2.142857142857143,1.0,3.6666666666666665,0.2857142857142857,48
99,2.2857142857142856,1.0,3.6666666666666665,0.3333333333333333,49
100,2.428571428571429,1.0,3.833333333333333,0.3333333333333333,50
