,g,i,r,z,shifts
66,3.8758511609996353,2.42535625036333,1.5,0.43664800308626384,16
67,4.173993557999608,2.42535625036333,1.7499999999999998,0.43664800308626384,17
68,4.472135954999579,2.6678918753996625,2.0,0.5614045753966248,18
69,4.770278351999551,2.6678918753996625,2.0,0.6237828615518052,19
70,4.770278351999551,2.910427500435996,2.25,0.6861611477069858,20
71,5.068420748999523,2.910427500435996,2.5,0.7485394338621664,21
72,5.366563145999495,2.910427500435996,2.5,0.810917720017347,22
73,5.664705542999466,3.152963125472329,2.75,0.8682431421244592,23
74,5.4083269131959835,3.152963125472329,3.0,0.9302605094190635,24
75,5.547001962252291,3.152963125472329,3.0,0.9922778767136676,25
76,5.824352060364906,3.395498750508662,3.0,1.054295244008272,26
77,6.10170215847752,3.395498750508662,3.4999999999999996,1.1163126113028758,27
78,6.240377207533827,3.638034375544995,3.4999999999999996,1.1783299785974801,28
79,6.379052256590135,3.638034375544995,3.4999999999999996,1.2403473458920844,29
80,6.656402354702749,3.638034375544995,4.0,1.3023647131866887,30
81,6.933752452815364,3.3541019662496847,4.0,1.364382080481293,31
82,7.072427501871672,3.577708763999664,4.0,1.4263994477758972,32
83,7.349777599984286,3.801315561749643,4.249999999999999,1.4884168150705015,33
84,6.913991516376384,3.801315561749643,4.5,1.5504341823651058,34
85,7.170065276242176,3.801315561749643,4.365641250653994,1.5971673037682732,35
86,7.298102156175071,3.801315561749643,4.608176875690327,1.6585968154516684,36
87,7.554175916040862,4.024922359499622,4.85071250072666,1.720026327135063,37
88,7.682212795973758,4.2485291572496005,4.85071250072666,1.7814558388184583,38
89,7.93828655583955,4.2485291572496005,5.093248125762993,1.8428853505018534,39
90,8.066323435772446,4.2485291572496005,5.335783750799325,1.9043148621852481,40
91,8.322397195638239,4.2485291572496005,5.335783750799325,1.9657443738686433,41
92,8.57847095550403,4.2485291572496005,5.578319375835659,2.0271738855520383,42
93,8.01387685344754,4.695742752749559,5.820855000871992,2.088603397235434,43
94,8.131727983645298,4.695742752749559,5.820855000871992,2.150032908918829,44
95,7.701031252562293,4.695742752749559,6.063390625908324,2.211462420602224,45
96,7.91796171038095,4.695742752749559,6.063390625908324,2.24345453158608,46
97,7.91796171038095,4.695742752749559,6.305926250944657,2.3040884378451634,47
