,B,V,i,r,shifts
42,0.058823529411764705,-3.5,-3.466666666666667,-2.142857142857143,-8
43,0.11764705882352941,-3.5,-3.466666666666667,-2.142857142857143,-7
44,0.14705882352941177,-3.4285714285714284,-3.466666666666667,-2.142857142857143,-6
45,0.20588235294117646,-3.4285714285714284,-3.466666666666667,-2.0714285714285716,-5
46,0.2647058823529411,-3.357142857142857,-3.466666666666667,-2.0714285714285716,-4
47,0.29411764705882354,-3.357142857142857,-3.4,-2.0714285714285716,-3
48,0.3529411764705882,-3.2857142857142856,-3.4,-2.0714285714285716,-2
49,0.38235294117647056,-3.2857142857142856,-3.4,-2.0,-1
50,0.4411764705882352,-3.214285714285714,-3.4,-2.0,0
51,0.5,-3.142857142857143,-3.4,-2.0,1
52,0.5294117647058822,-3.142857142857143,-3.4,-1.8,2
53,0.5882352941176471,-3.142857142857143,-3.4,-1.8,3
54,0.6176470588235294,-2.8666666666666667,-3.3333333333333335,-1.8,4
55,0.676470588235294,-2.8666666666666667,-3.3333333333333335,-1.8,5
56,0.7058823529411764,-2.8000000000000003,-3.3333333333333335,-1.7333333333333334,6
57,0.7647058823529411,-2.8000000000000003,-3.3333333333333335,-1.7333333333333334,7
58,0.8235294117647058,-2.7333333333333334,-3.3333333333333335,-1.7333333333333334,8
59,0.8529411764705882,-2.7333333333333334,-3.3333333333333335,-1.7333333333333334,9
60,0.9117647058823529,-2.666666666666667,-3.3333333333333335,-1.6666666666666667,10
61,0.9411764705882353,-2.6,-3.266666666666667,-1.6666666666666667,11
62,1.0,-2.6,-3.266666666666667,-1.6666666666666667,12
63,1.0294117647058825,-2.6,-3.266666666666667,-1.6,13
64,1.088235294117647,-2.533333333333333,-3.266666666666667,-1.6,14
65,1.1470588235294117,-2.533333333333333,-3.266666666666667,-1.6,15
66,1.1764705882352942,-2.466666666666667,-3.266666666666667,-1.6,16
67,1.2352941176470589,-2.466666666666667,-3.266666666666667,-1.5333333333333334,17
68,1.264705882352941,-2.4,-3.2,-1.5333333333333334,18
69,1.2857142857142856,-2.4,-3.2,-1.5333333333333334,19
70,1.314285714285714,-2.3333333333333335,-3.2,-1.5333333333333334,20
71,1.3714285714285712,-2.266666666666667,-3.2,-1.4666666666666666,21
72,1.4,-2.266666666666667,-3.2,-1.4666666666666666,22
73,1.4571428571428569,-2.2,-3.2,-1.4666666666666666,23
74,1.4857142857142855,-2.2,-3.1333333333333333,-1.4666666666666666,24
75,1.514285714285714,-2.1333333333333333,-3.1333333333333333,-1.4000000000000001,25
76,1.5714285714285714,-2.1333333333333333,-3.1333333333333333,-1.4000000000000001,26
77,1.5999999999999999,-2.066666666666667,-3.1333333333333333,-1.4000000000000001,27
78,1.657142857142857,-2.066666666666667,-3.1333333333333333,-1.3333333333333335,28
79,1.6857142857142855,-2.0,-3.1333333333333333,-1.3333333333333335,29
80,1.7428571428571427,-2.0,-3.1333333333333333,-1.3333333333333335,30
81,1.7999999999999998,-1.9333333333333336,-3.066666666666667,-1.3333333333333335,31
82,1.8285714285714285,-1.9333333333333336,-3.066666666666667,-1.2666666666666666,32
83,1.857142857142857,-1.8666666666666667,-3.066666666666667,-1.2666666666666666,33
84,1.9142857142857141,-1.8666666666666667,-3.066666666666667,-1.2666666666666666,34
85,1.9428571428571428,-1.8,-3.066666666666667,-1.2666666666666666,35
86,2.0,-1.8,-3.066666666666667,-1.2,36
87,2.028571428571428,-1.7333333333333334,-3.066666666666667,-1.2,37
88,2.0857142857142854,-1.7333333333333334,-3.0,-1.2,38
89,2.114285714285714,-1.6666666666666667,-3.0,-1.2,39
90,2.142857142857143,-1.6666666666666667,-3.0,-1.1333333333333335,40
91,2.1999999999999997,-1.6,-3.0,-1.1333333333333335,41
92,2.228571428571428,-1.6,-3.0,-1.1333333333333335,42
93,2.2857142857142856,-1.5333333333333334,-3.0,-1.1333333333333335,43
