,B,V,g,i,m,n,o,r,shifts
75,6.0625,-2.5,1.7857142857142858,1.0,-0.0,-0.0,-0.0,2.1999999999999997,25
76,6.125,-2.4,1.857142857142857,1.0,0.0,0.0,0.0,2.1999999999999997,26
77,6.25,-2.4,1.9285714285714286,1.0999999999999999,0.1,0.1,0.1,2.3,27
78,6.3125,-2.4,2.0,1.0999999999999999,0.1,0.1,0.1,2.3,28
79,6.437499999999999,-2.3,2.0714285714285716,1.0999999999999999,0.2,0.2,0.2,2.3,29
80,6.5,-2.3,2.142857142857143,1.0999999999999999,0.3,0.3,0.3,2.3,30
81,6.5625,-2.1999999999999997,2.2142857142857144,1.0999999999999999,0.3,0.3,0.3,2.4,31
82,6.6875,-2.1999999999999997,2.2857142857142856,1.0999999999999999,0.4,0.4,0.4,2.4,32
83,6.75,-2.1,2.357142857142857,1.2,0.4,0.4,0.4,2.4,33
84,6.875,-2.1,2.428571428571429,1.2,0.5,0.5,0.5,2.4,34
85,6.9375,-2.0,2.5,1.2,0.5,0.5,0.5,2.5,35
86,7.0625,-2.0,2.571428571428571,1.2,0.6,0.6,0.6,2.5,36
87,7.125,-1.9,2.642857142857143,1.2,0.6,0.6,0.6,2.5,37
88,7.1875,-1.9,2.714285714285714,1.2,0.7,0.7,0.7,2.5,38
89,7.3125,-1.7999999999999998,2.7857142857142856,1.2999999999999998,0.7,0.7,0.7,2.5999999999999996,39
90,7.374999999999999,-1.7999999999999998,2.857142857142857,1.2999999999999998,0.8,0.8,0.8,2.5999999999999996,40
91,7.5,-1.7000000000000002,2.928571428571429,1.2999999999999998,0.8,0.8,0.8,2.5999999999999996,41
92,7.5625,-1.7000000000000002,3.0,1.2999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999,2.6999999999999997,42
93,7.6875,-1.6,3.071428571428571,1.2999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999,2.6999999999999997,43
94,7.75,-1.6,3.142857142857143,1.2999999999999998,1.0,1.0,1.0,2.6999999999999997,44
95,7.8125,-1.5,3.214285714285714,1.2999999999999998,1.0,1.0,1.0,2.6999999999999997,45
96,7.9375,-1.5,3.2857142857142856,1.4,1.0999999999999999,1.0999999999999999,1.0999999999999999,2.8,46
97,8.0,-1.4,3.357142857142857,1.4,1.2,1.2,1.2,2.8,47
98,8.125,-1.4,3.4285714285714284,1.4,1.2,1.2,1.2,2.8,48
99,8.1875,-1.2999999999999998,3.5,1.4,1.2999999999999998,1.2999999999999998,1.2999999999999998,2.8,49
100,8.25,-1.2999999999999998,3.5714285714285716,1.4,1.2999999999999998,1.2999999999999998,1.2999999999999998,2.9,50
