,g,i,r,z,shifts
59,3.4729725684978363,-0.5547001962252286,0.5303300858899112,-1.6585968154516695,9
60,3.7210420376762534,-0.5547001962252286,0.5303300858899112,-1.4731391274719754,10
61,3.845076772265462,-0.5547001962252286,0.7071067811865469,-1.3565602054661328,11
62,3.9691115068546705,-0.5547001962252286,0.883883476483184,-1.3565602054661328,12
63,4.217180976033088,-0.27735009811261385,0.883883476483184,-1.2435135216772883,13
64,4.341215710622296,-0.27735009811261385,1.060660171779821,-1.2435135216772883,14
65,4.589285179800713,-0.27735009811261385,1.060660171779821,-1.130466837888444,15
66,4.713319914389922,-0.27735009811261385,1.2374368670764582,-1.130466837888444,16
67,4.47213595499958,-0.27735009811261385,1.4142135623730951,-1.0174201540995997,17
68,4.583939353874569,-0.13867504905630643,1.4142135623730951,-0.9761870601839536,18
69,4.807546151624548,0.0,1.5909902576697321,-0.8677218312746254,19
70,4.919349550499536,0.0,1.5909902576697321,-0.7592566023652972,20
71,5.031152949374525,0.0,1.5617376188860608,-0.7592566023652972,21
72,5.254759747124504,0.0,1.5617376188860608,-0.650791373455969,22
73,5.478366544874484,0.12403473458920856,1.717911380774667,-0.650791373455969,23
74,5.478366544874484,0.24806946917841713,1.8740851426632732,-0.542326144546641,24
75,5.701973342624464,0.22360679774997919,1.8740851426632732,-0.542326144546641,25
76,5.925580140374443,0.22360679774997919,2.0302589045518795,-0.4338609156373127,26
77,6.149186938124422,0.22360679774997919,2.186432666440486,-0.41646336503628323,27
78,6.149186938124422,0.3354101966249688,2.186432666440486,-0.3123475237772124,28
79,6.372793735874401,0.44721359549995837,2.3426064283290917,-0.3123475237772124,29
80,6.59640053362438,0.44721359549995837,2.3426064283290917,-0.20823168251814161,30
81,6.092076990801713,0.44721359549995837,2.498780190217698,-0.1561737618886062,31
82,6.193611607315075,0.44721359549995837,2.6549539521063044,-0.10411584125907081,32
83,6.3966808403418,0.44721359549995837,2.6549539521063044,-0.052057920629535404,33
84,6.498215456855161,0.6708203932499376,2.8111277139949102,0.0,34
85,6.701284689881885,0.6708203932499376,2.8111277139949102,0.052057920629535404,35
86,6.802819306395247,0.6708203932499376,2.9673014758835143,0.10000000000000009,36
87,6.9043539229086095,0.6708203932499376,2.9673014758835143,0.15000000000000013,37
88,7.107423155935333,0.6708203932499376,3.1234752377721207,0.20000000000000018,38
89,7.310492388962057,0.6708203932499376,3.279648999660727,0.2500000000000002,39
90,7.412027005475419,0.894427190999916,3.279648999660727,0.3500000000000003,40
91,7.513561621988781,0.894427190999916,3.435822761549333,0.3500000000000003,41
92,7.056422850727974,0.8122769321068951,3.591996523437939,0.4500000000000004,42
93,7.2421181889050255,0.8122769321068951,3.591996523437939,0.4500000000000004,43
94,7.334965857993551,0.8122769321068951,3.591996523437939,0.5286262644654345,44
95,7.427813527082077,0.8122769321068951,3.904344047215152,0.5286262644654345,45
96,7.61350886525913,0.9138115486202572,3.904344047215152,0.6247401307318757,46
97,7.799204203436181,1.015346165133619,3.904344047215152,0.6247401307318757,47
98,7.892051872524705,1.015346165133619,4.2166915709923645,0.7208539969983184,48
99,7.984899541613231,1.015346165133619,4.2166915709923645,0.7208539969983184,49
100,8.170594879790283,1.015346165133619,4.2166915709923645,0.816967863264761,50
