survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_ZTF-g,GAIA_ZTF-r,GAIA_ZTF-i,GAIA_ZTF-G,GAIA_ZTF-R,GAIA_ZTF-I
ZTF,99,99,99,15.5878,15.1332,14.9584,15.5735,15.1614,15.0128,14.991,44.1157,38.5064,0.279963,0.184628,0.133814,0.280637,0.183958,0.133729,0.2722,0.193028,0.143051,0.113709,143209194791869696,15.5958,15.1394,15.0043,15.6091,15.1372,15.0041
ZTF,17.4138,16.902,16.7116,99,99,99,17.3758,16.9331,16.7493,16.7116,134.293,29.9466,0.0860437,0.0570366,0.0412712,0.0862562,0.0568451,0.0412429,0.0836,0.0594366,0.0443503,0.034803,705551771117918976,17.4214,16.9114,16.7468,17.4352,16.9086,16.7465
ZTF,99,99,99,17.0004,16.3647,16.1502,16.9664,16.4198,16.2041,16.1417,223.642,25.3891,0.101875,0.0672958,0.0485254,0.102125,0.0670563,0.0484915,0.099,0.0702958,0.0522203,0.0411034,1266603211554323200,17.019,16.379,16.1876,17.0371,16.3759,16.1873
ZTF,16.0207,15.4528,15.2733,99,99,99,15.9838,15.4958,15.3199,15.2732,322.452,23.1395,0.271075,0.178628,0.129814,0.271725,0.177958,0.129729,0.2636,0.187028,0.139051,0.110409,1797291531015931648,16.0196,15.4526,15.2989,16.0361,15.4497,15.2986
ZTF,99,99,99,16.7302,16.296,99,16.7162,16.3289,16.2051,16.1728,310.235,-3.11755,0.198862,0.131592,0.0947966,0.199338,0.131113,0.0947345,0.1934,0.137592,0.101571,0.0809064,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.045,16.2317,99,17.028,16.3023,16.0439,15.9174,104.868,32.8913,0.311681,0.206146,0.148576,0.312419,0.20538,0.148475,0.3032,0.215746,0.159661,0.126611,890929122323544064,17.0851,16.2577,15.9901,17.1058,16.2535,15.9897
ZTF,99,99,99,16.1307,15.6617,15.4718,16.105,15.6964,15.5291,15.464,347.376,46.3854,0.605531,0.400775,0.289644,0.606969,0.399338,0.289452,0.589,0.418775,0.310582,0.24632,1935418473828732672,16.1296,15.6618,15.4978,16.1419,15.659,15.4975
ZTF,99,99,99,17.4733,17.1467,17.0366,17.4448,17.1716,17.068,17.0545,187.919,25.0437,0.0454937,0.0305183,0.0217627,0.0456063,0.0304225,0.0217458,0.0442,0.0317183,0.0236102,0.0189015,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,15.9024,15.5675,15.4576,15.8683,15.5823,15.4908,15.4842,281.455,46.9635,0.181087,0.119592,0.0865424,0.181512,0.119113,0.0864859,0.1762,0.125592,0.0927006,0.0736059,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,16.8193,16.337,99,16.783,16.3618,16.2021,16.154,309.754,-3.29926,0.2513,0.166369,0.120559,0.2519,0.165746,0.12048,0.2444,0.174169,0.129181,0.102108,4224645903839187712,16.823,16.3351,16.1878,16.8371,16.3326,16.1875
ZTF,17.5334,99,99,99,99,99,17.493,16.941,16.7576,16.6829,273.173,14.1634,0.466994,0.308961,0.22261,0.468106,0.307859,0.222463,0.4542,0.322761,0.238621,0.189616,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.4828,16.8262,16.5999,17.4267,16.8775,16.6752,16.5695,352.735,12.4066,0.139481,0.0918141,0.0667797,0.139819,0.0914789,0.0667401,0.1356,0.0960141,0.0710904,0.0567044,-999,-999,-999,-999,-999,-999,-999
ZTF,17.6471,17.1281,16.9368,99,99,99,17.6104,17.154,16.9884,16.9325,334.356,35.3465,0.371063,0.245924,0.177339,0.371937,0.245014,0.17722,0.361,0.257324,0.190271,0.150813,1906324605883508736,17.6416,17.1363,16.9776,17.6561,17.1334,16.9773
ZTF,17.9673,17.5726,17.4352,99,99,99,17.9396,17.6117,17.4629,17.4426,171.269,43.0919,0.0553812,0.0365183,0.0267627,0.0555187,0.0364225,0.0267458,0.0538,0.0377183,0.0286102,0.022202,771785419565145216,17.953,17.6078,17.4762,17.9666,17.6061,17.4761
ZTF,99,99,99,17.1833,16.7641,99,17.1534,16.7882,16.6687,16.6347,310.506,-3.38281,0.229525,0.15211,0.110051,0.230075,0.151535,0.109983,0.2232,0.15931,0.117441,0.0938079,-999,-999,-999,-999,-999,-999,-999
ZTF,16.8442,16.1707,15.8979,99,99,99,16.8029,16.2031,15.9334,15.8377,41.6638,37.2964,0.20975,0.138851,0.100051,0.21025,0.138324,0.0999831,0.204,0.145451,0.107441,0.0852069,141643043556819968,16.8633,16.1671,15.9462,16.8813,16.1629,15.9459
ZTF,17.7079,17.1689,99,99,99,99,17.6692,17.2159,17.0219,16.959,219.27,-19.2859,0.353231,0.233665,0.168831,0.354069,0.232803,0.168723,0.3436,0.244465,0.180531,0.143512,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,15.2007,14.7459,14.5987,15.1858,14.785,14.6491,14.6312,250.866,34.2144,0.0712687,0.0470366,0.0340169,0.0714312,0.0468451,0.0339944,0.0694,0.0494366,0.0364802,0.0295025,1326533570295359488,15.2238,14.7507,14.6424,15.2379,14.7485,14.6423
ZTF,99,99,99,15.4672,14.9125,99,15.4466,14.9814,14.828,14.7491,132.339,11.3245,0.0999312,0.0662958,0.0475254,0.100169,0.0660563,0.0474915,0.0972,0.0692958,0.0512203,0.0411034,598892030756391424,15.507,14.9607,14.7882,15.522,14.9579,14.7879
ZTF,17.4082,16.9591,16.793,99,99,99,17.3759,16.9824,16.8365,16.8057,134.207,29.7159,0.0841,0.0552958,0.0402712,0.0843,0.0550563,0.0402429,0.0818,0.0582958,0.0433503,0.033803,-999,-999,-999,-999,-999,-999,-999
ZTF,15.667,15.0673,14.8635,99,99,99,15.6417,15.113,14.9205,14.8456,8.10673,21.5713,0.156369,0.104073,0.0750339,0.156731,0.10369,0.0749887,0.1522,0.108873,0.0799605,0.0640049,2796698126936348288,15.6716,15.0744,14.8941,15.6882,15.0713,14.8938
ZTF,99,99,99,15.9434,15.2683,99,15.913,15.3165,15.0801,14.9835,322.656,-23.1119,0.138538,0.0918141,0.0660339,0.138862,0.0914789,0.0659887,0.1348,0.0960141,0.0709605,0.0567044,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,15.7871,15.2062,99,15.7731,15.2467,15.0133,14.9404,98.6982,62.2586,0.478881,0.31722,0.228864,0.480019,0.31607,0.228712,0.4658,0.33162,0.245492,0.194916,1007136678061594112,15.8067,15.2105,15.0031,15.8222,15.2071,15.0028
ZTF,99,99,99,16.6745,99,99,16.6968,16.1046,15.8737,15.7854,274.756,19.7259,0.561037,0.371515,0.268136,0.562362,0.370127,0.267955,0.5458,0.388915,0.287842,0.228419,4526946146179368448,16.6984,16.0748,15.8461,16.7159,16.071,15.8458
ZTF,99,99,99,17.0731,16.3205,99,17.0218,16.3768,16.1156,16.0093,116.583,33.2032,0.1712,0.113332,0.0815424,0.1716,0.112901,0.0814859,0.1666,0.118732,0.0877006,0.0696059,882026582831151232,17.085,16.3407,16.0869,17.1054,16.3369,16.0865
ZTF,99,99,99,16.4915,15.9863,99,16.4419,16.0205,15.8721,15.8224,33.595,38.7531,0.193919,0.127592,0.0927966,0.194381,0.127113,0.0927345,0.1886,0.133592,0.0995706,0.0789064,332332238516328064,16.491,15.9934,15.8541,16.5054,15.9909,15.8538
ZTF,17.2111,16.8204,16.6646,99,99,99,17.1937,16.8413,16.7181,16.7,227.221,45.3661,0.0761562,0.0500366,0.0360169,0.0763438,0.0498451,0.0359944,0.074,0.0524366,0.0384802,0.030803,1586096757733053184,17.2222,16.836,16.7094,17.2328,16.8338,16.7092
ZTF,99,99,99,17.1061,16.5657,99,17.0833,16.6024,16.4179,16.365,104.468,32.6042,0.353231,0.233665,0.169085,0.354069,0.232803,0.168972,0.3436,0.244465,0.181401,0.144212,-999,-999,-999,-999,-999,-999,-999
