survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,18.9602,18.5303,18.3611,18.2928,18.9703,18.5333,18.3629,18.3409,36.6158,-4.89046,0.08252,0.0578958,0.0424275,0.0335616,0.0828,0.0584366,0.0433503,0.034803,18.5543,18.0482,18.906,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.287,16.8861,16.7454,16.6926,17.3006,16.8869,16.7559,16.7203,36.756,-4.88518,0.0787375,0.0558958,0.040742,0.0315616,0.079,0.0564366,0.0414802,0.032803,16.9219,16.416,17.2616,0,0,0,17.3021,16.8956,16.7511,16.7118,2489171424796289408
SNLS_AB,18.2647,17.9044,17.7738,17.725,18.25,17.907,17.7741,17.7323,36.1218,-4.88456,0.0893025,0.0636197,0.0464275,0.0365616,0.0896,0.0642958,0.0473503,0.037803,17.9204,17.4454,18.2445,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.7736,17.0838,16.7956,16.6471,17.7837,17.1135,16.8157,16.6794,36.6543,-4.87202,0.0777375,0.0548958,0.0404275,0.031468,0.078,0.0554366,0.0413503,0.0325025,17.1319,16.456,17.659,0,0,0,17.7649,17.0869,16.8042,16.6615,2488797247245504128
SNLS_AB,17.6913,17.2304,17.0659,17.0032,17.6923,17.2366,17.0713,17.013,36.5788,-4.8635,0.08352,0.0588958,0.0434275,0.0335616,0.0838,0.0594366,0.0443503,0.034803,17.2719,16.7376,17.6481,0,0,0,17.7162,17.2362,17.085,17.0269,2488800369686580480
SNLS_AB,17.6127,17.2909,17.1895,17.1717,17.619,17.2922,17.1992,17.1964,36.8492,-4.86142,0.0853025,0.0606197,0.0444275,0.0345616,0.0856,0.0612958,0.0453503,0.035803,17.3116,16.8621,17.6093,0,0,0,17.6348,17.3084,17.1934,17.1855,2489161559256110720
SNLS_AB,17.6306,17.3151,17.2157,17.1886,17.6338,17.3223,17.2139,17.1929,36.2318,-4.84545,0.0893025,0.0628958,0.0464275,0.0365616,0.0896,0.0634366,0.0473503,0.037803,17.3339,16.8565,17.6304,0,0,0,17.6464,17.3427,17.2111,17.1803,2489548144967805056
SNLS_AB,17.3387,16.8328,16.6648,16.5983,17.3414,16.8556,16.6736,16.6073,36.1896,-4.83468,0.0883025,0.0626197,0.0454275,0.0356552,0.0886,0.0632958,0.0463503,0.0371034,16.8841,16.3234,17.2896,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.9034,17.5254,17.4068,17.3678,17.9005,17.5402,17.4014,17.3762,36.5164,-4.83414,0.0833025,0.0588958,0.042742,0.0335616,0.0836,0.0594366,0.0434802,0.034803,17.5519,17.0692,17.8804,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.8555,17.2269,16.9916,16.8878,17.8757,17.2438,17.0091,16.9098,36.8107,-4.80639,0.0863025,0.0606197,0.0444275,0.0345616,0.0866,0.0612958,0.0453503,0.035803,17.2917,16.6738,17.809,0,0,0,17.8794,17.2461,17.0151,16.9209,2489173761258497024
