survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,18.0808,17.6409,17.2207,16.8758,17.73,17.4274,17.2856,17.2506,270.384,26.2257,0.353083,0.274672,0.207455,0.150625,0.317453,0.225606,0.166661,0.132611,-999,-999,-999,-999,-999
CFA3S,17.2441,16.6236,16.1427,15.7345,16.8389,16.3612,16.1673,16.0993,270.381,26.1932,0.355702,0.276796,0.209441,0.151625,0.320266,0.226746,0.167661,0.133611,-999,-999,-999,-999,-999
CFA3S,17.7235,17.0906,16.6124,16.3248,17.2793,16.8338,16.6612,16.5913,270.379,26.2041,0.355702,0.276796,0.209441,0.151625,0.320266,0.226746,0.167661,0.133611,-999,-999,-999,-999,-999
CFA3S,16.8595,16.1186,15.5884,15.1841,16.3911,15.8387,15.6275,15.552,270.348,26.2836,0.348083,0.271549,0.204469,0.148625,0.313639,0.222606,0.164661,0.130611,-999,-999,-999,-999,-999
CFA3S,17.0361,16.4029,15.9344,15.5514,16.6551,16.21,16.0267,15.9575,270.327,26.3191,0.328846,0.256178,0.193497,0.140625,0.296198,0.209887,0.155791,0.12331,4582870365583056768,16.9758,16.4399,16.1562,15.9885
CFA3S,18.3441,17.6769,17.1807,16.7431,17.9079,17.4157,17.2223,17.1435,270.325,26.2962,0.339465,0.264425,0.199483,0.14475,0.305825,0.216746,0.160661,0.127611,-999,-999,-999,-999,-999
CFA3S,18.1338,17.3799,16.8351,16.3801,17.6785,17.0978,16.8228,16.7271,257.829,5.77519,0.546744,0.42588,0.321161,0.2335,0.49212,0.349338,0.258362,0.205517,-999,-999,-999,-999,-999
CFA3S,18.5588,17.9544,17.4486,17.0436,18.1997,17.73,17.4978,17.4128,257.826,5.75712,0.546744,0.42588,0.321161,0.2335,0.49212,0.349338,0.258362,0.205517,-999,-999,-999,-999,-999
CFA3S,18.3238,17.5709,17.0496,16.5866,17.8601,17.3055,17.0385,16.9416,257.803,5.79937,0.544744,0.424756,0.320161,0.2325,0.490306,0.348338,0.257362,0.204517,-999,-999,-999,-999,-999
CFA3S,17.6813,16.7549,16.1036,15.5636,17.125,16.379,16.0292,15.873,257.793,5.76965,0.540744,0.421756,0.318161,0.231375,0.487306,0.345479,0.255492,0.203217,-999,-999,-999,-999,-999
CFA3S,17.6313,16.8189,16.2241,15.7021,17.1414,16.4911,16.1722,16.0172,257.773,5.83937,0.557362,0.434127,0.328133,0.238375,0.501748,0.356338,0.263362,0.209517,-999,-999,-999,-999,-999
CFA3S,17.3093,16.3089,15.6041,15.0746,16.7392,15.8821,15.5265,15.3788,257.755,5.80256,0.537125,0.418632,0.316161,0.229375,0.483492,0.342479,0.253492,0.201217,4393615861499671936,17.2177,16.3374,15.7807,15.4592
CFA3S,17.6118,16.8189,16.2416,15.7911,17.1213,16.5056,16.2263,16.107,257.747,5.84069,0.556362,0.434004,0.327147,0.2375,0.500934,0.355338,0.263232,0.209517,-999,-999,-999,-999,-999
CFA3S,18.1203,17.4499,16.9561,16.5521,17.7041,17.2211,16.9923,16.92,257.743,5.92894,0.552744,0.431004,0.325147,0.236375,0.497934,0.353338,0.261362,0.207517,-999,-999,-999,-999,-999
CFA3S,18.2871,17.3725,16.6637,16.1544,17.7366,16.9445,16.6479,16.5279,24.673,41.6708,0.212897,0.165703,0.125665,0.09075,0.191922,0.135592,0.100571,0.0799064,348074423230172032,18.2239,17.3804,16.8639,16.6066
CFA3S,16.8761,15.9475,15.2847,14.7674,16.3148,15.549,15.2555,15.1495,24.6576,41.7284,0.212897,0.165703,0.125665,0.09075,0.191922,0.135592,0.100571,0.0799064,348077760422109696,16.7606,15.9702,15.473,15.21
CFA3S,17.3971,16.8205,16.3867,16.0194,17.027,16.6141,16.4649,16.4363,24.6382,41.6918,0.213897,0.166579,0.125678,0.09175,0.192109,0.136592,0.101571,0.0802069,348077412527451776,17.2956,16.8206,16.5771,16.4448
CFA3S,18.3381,17.5155,16.9617,16.4804,17.846,17.216,16.9803,16.8782,24.6129,41.5821,0.214897,0.167579,0.126665,0.09175,0.193109,0.137592,0.101571,0.0809064,-999,-999,-999,-999,-999
CFA3S,17.4551,16.8715,16.4497,16.0694,17.0868,16.6687,16.5173,16.4679,24.5907,41.5765,0.217897,0.169826,0.128665,0.092875,0.196736,0.139592,0.103441,0.0822069,348072228504260224,17.3867,16.8825,16.6452,16.4945
CFA3S,16.7661,16.2715,15.8977,15.5724,16.4321,16.1118,16.0111,15.995,24.5903,41.6018,0.219897,0.171703,0.129665,0.09375,0.197923,0.140592,0.104441,0.0829064,348075286520970112,16.6677,16.2662,16.0899,15.9985
CFA3S,16.4431,15.6075,15.0307,14.5524,15.9316,15.2836,15.0266,14.9242,24.5044,41.6458,0.224897,0.17495,0.132651,0.09575,0.20255,0.143592,0.106441,0.0842069,348076523471396224,16.3512,15.6165,15.215,14.9799
CFA3S,17.2061,16.7585,16.4157,16.0844,16.9165,16.6197,16.5302,16.5187,24.4855,41.6477,0.222897,0.173826,0.130665,0.094875,0.200736,0.142451,0.105441,0.0835074,348076209936535808,17.1227,16.7704,16.6074,16.5248
CFA3S,18.8371,18.2705,17.7857,17.3994,18.4848,18.0447,17.8833,17.8291,24.4757,41.7484,0.219897,0.171703,0.129665,0.09375,0.197923,0.140592,0.104441,0.0829064,-999,-999,-999,-999,-999
CFA3S,17.9551,17.2125,16.7377,16.4084,17.4882,16.9637,16.793,16.7265,24.4578,41.5898,0.232516,0.181074,0.136651,0.09975,0.209364,0.148451,0.110441,0.0875074,-999,-999,-999,-999,-999
CFA3S,18.0631,17.5285,17.1467,16.7774,17.7139,17.3732,17.2584,17.2264,24.4562,41.7367,0.218897,0.170703,0.128665,0.09375,0.196923,0.139592,0.103571,0.0822069,-999,-999,-999,-999,-999
CFA3S,17.6051,16.9795,16.5417,16.1704,17.2215,16.7904,16.6188,16.5704,24.4545,41.6871,0.218897,0.170703,0.128665,0.09375,0.196923,0.139592,0.103571,0.0822069,348123802471384704,17.5246,17.0113,16.7476,16.5997
CFA3S,17.5157,17.0613,16.6864,16.3695,17.1954,16.9129,16.8145,16.7954,21.414,33.9633,0.18566,0.144084,0.10872,0.078875,0.166854,0.118732,0.0877006,0.0696059,317293973167709952,17.4307,17.0497,16.8908,16.8097
CFA3S,17.1407,16.6083,16.2134,15.8465,16.7998,16.4466,16.3119,16.2669,21.3898,33.9762,0.19266,0.150207,0.113692,0.08275,0.173668,0.122732,0.0908305,0.0726059,317294252340843392,17.0677,16.6215,16.4102,16.2888
CFA3S,18.1437,17.4513,16.9664,16.5105,17.7399,17.2171,17.0291,16.9513,21.3893,34.116,0.19066,0.148084,0.111706,0.080875,0.170854,0.121732,0.0897006,0.0716059,-999,-999,-999,-999,-999
CFA3S,15.7737,15.1313,14.6924,14.2965,15.3532,14.9105,14.7525,14.7108,21.3867,34.0094,0.18866,0.147084,0.11072,0.08075,0.169854,0.120732,0.0897006,0.0706059,317297241638079872,15.6711,15.1276,14.8666,14.7298
CFA3S,15.9667,15.3843,14.9774,14.5955,15.6003,15.2039,15.0556,15.0315,21.3852,34.0184,0.18866,0.147084,0.11072,0.08075,0.169854,0.120732,0.0897006,0.0706059,317297310357555712,15.8858,15.3977,15.1608,15.0429
CFA3S,18.4637,17.7563,17.2144,16.7575,18.0215,17.472,17.2279,17.1701,21.3544,34.056,0.19066,0.148207,0.111706,0.08175,0.171668,0.121732,0.0898305,0.0716059,-999,-999,-999,-999,-999
CFA3S,16.0927,15.6033,15.2384,14.9025,15.7883,15.4744,15.3575,15.3438,21.3392,34.1123,0.19066,0.148207,0.111706,0.08175,0.171668,0.121732,0.0898305,0.0716059,317299200143159296,16.0048,15.621,15.441,15.3506
CFA3S,16.0417,15.3603,14.8764,14.4465,15.6104,15.1454,14.926,14.8762,21.3308,34.0894,0.191279,0.149084,0.112706,0.08175,0.171854,0.121732,0.0907006,0.0716059,317299062704207488,15.9672,15.389,15.1047,14.9515
