survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFD-g_AV,ZTFD-r_AV,ZTFD-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFD,16.712,16.4363,16.3425,16.7297,16.3977,16.2818,16.2723,219.146,47.3289,0.0634,0.0417774647887324,0.030016949152542376,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ZTFD,16.6274,16.0189,15.7994,16.6294,16.0027,15.7772,15.6933,236.259,27.0379,0.10995,0.07255492957746479,0.05252542372881356,0.1068,0.0761549295774648,0.05622033898305085,0.04510344827586207
ZTFD,15.5906,15.2704,15.1743,15.6158,15.2434,15.126,15.1083,234.492,35.6563,0.06935000000000001,0.046036619718309864,0.03301694915254237,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
ZTFD,17.0092,16.721,16.6095,17.031,16.697,16.5724,16.5622,239.681,34.2217,0.0862,0.05703661971830986,0.04127118644067797,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
ZTFD,15.4009,15.0097,14.8707,15.4245,14.9813,14.8396,14.7975,227.789,63.0207,0.0446,0.02951830985915493,0.021508474576271187,0.0434,0.030718309859154934,0.022740112994350282,0.017901477832512315
ZTFD,15.2976,14.999,14.8791,15.3258,14.9759,14.8348,14.8273,254.996,70.8389,0.1238,0.0815549295774648,0.058779661016949154,0.1202,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTFD,17.1319,16.3635,16.0674,17.1216,16.3579,16.0615,15.9264,252.395,18.2954,0.32195,0.21314647887323945,0.15357627118644068,0.3128,0.22274647887323948,0.16466101694915256,0.13061083743842364
ZTFD,16.9243,16.2858,16.0468,16.9274,16.2875,16.0285,15.9152,234.492,30.4853,0.09015,0.05929577464788733,0.04327118644067797,0.0876,0.06229577464788734,0.04635028248587571,0.03680295566502463
ZTFD,17.6735,17.2123,17.0182,17.6693,17.1936,17.0275,16.9874,241.561,57.3539,0.059449999999999996,0.0397774647887324,0.02876271186440678,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTFD,15.8855,15.5555,15.4183,15.8958,15.5268,15.3781,15.3306,252.813,59.8827,0.1278,0.0845549295774648,0.06077966101694915,0.1242,0.0881549295774648,0.065090395480226,0.05170443349753695
ZTFD,17.4681,16.9425,16.7479,17.4777,16.9212,16.7064,16.6301,264.007,54.9758,0.16545,0.10933239436619718,0.07928813559322034,0.1608,0.11473239436619721,0.08483050847457627,0.06730541871921182
ZTFD,17.697,17.007,16.7376,17.6896,17.0114,16.7521,16.6573,233.828,37.4495,0.059449999999999996,0.0397774647887324,0.02876271186440678,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTFD,17.3455,16.7912,16.5918,17.3464,16.7686,16.5563,16.4789,240.909,53.9123,0.03865,0.02551830985915493,0.018508474576271184,0.0376,0.026718309859154934,0.019740112994350283,0.015901477832512313
ZTFD,15.9465,15.6759,15.5732,15.9554,15.6412,15.5403,15.5101,241.691,39.527,0.03465,0.02251830985915493,0.016508474576271186,0.033600000000000005,0.023718309859154935,0.01774011299435028,0.013901477832512315
ZTFD,16.811,16.4461,16.3173,16.83,16.4285,16.2708,16.2389,257.459,30.0588,0.18325,0.12133239436619718,0.08754237288135594,0.178,0.1267323943661972,0.09370056497175142,0.07460591133004926
ZTFD,16.9844,16.4855,16.2943,16.9949,16.4739,16.2615,16.1859,231.653,26.9908,0.14265,0.09381408450704226,0.06803389830508474,0.1386,0.09801408450704227,0.07296045197740113,0.058004926108374384
ZTFD,17.671,17.1327,16.9205,17.6673,17.1109,16.8976,16.8107,248.799,19.0052,0.2011,0.13359154929577466,0.09605084745762711,0.19540000000000002,0.13959154929577466,0.1034406779661017,0.08220689655172414
ZTFD,17.602,17.1785,16.845,17.6034,17.0828,16.8421,16.7377,255.5,32.4294,0.08120000000000001,0.053295774647887324,0.03901694915254237,0.07880000000000001,0.056295774647887334,0.04148022598870057,0.03280295566502463
ZTFD,15.5693,15.2046,15.0743,15.5811,15.1762,15.0302,14.9932,247.371,52.6419,0.09215,0.06103661971830986,0.04427118644067796,0.0896,0.06343661971830987,0.04735028248587571,0.03780295566502463
ZTFD,17.7078,17.1711,16.9421,17.7055,17.1413,16.9257,16.8448,260.332,61.3756,0.08120000000000001,0.053295774647887324,0.03901694915254237,0.07880000000000001,0.056295774647887334,0.04148022598870057,0.03280295566502463
ZTFD,17.4329,17.1183,16.9841,17.4933,17.0796,16.9349,16.8917,242.345,55.6775,0.02675,0.01751830985915493,0.013254237288135592,0.026,0.018718309859154934,0.013870056497175142,0.010600985221674877
