survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,16.8435,16.1623,15.9144,16.8405,16.1571,15.8901,15.7756,253.716,53.2985,0.22785,0.1508507042253521,0.1090508474576271,0.2214,0.1574507042253521,0.1164406779661016,0.092807881773399,99,99,99,99,99,99
ZTF,15.6948,15.3824,15.2643,15.7162,15.3525,15.2241,15.1991,248.038,73.7595,0.09905,0.0652957746478873,0.0472711864406779,0.0962,0.0682957746478873,0.0503502824858757,0.040103448275862,99,99,99,99,99,99
ZTF,17.4297,16.8907,16.6361,17.4348,16.8732,16.6371,16.5519,253.342,39.9176,0.0603999999999999,0.0397774647887324,0.0287627118644067,0.0586,0.0415774647887324,0.0306101694915254,0.0242019704433497,99,99,99,99,99,99
ZTF,16.1898,15.8827,15.7952,16.2077,15.856,15.7397,15.7349,230.222,59.0908,0.02775,0.0185183098591549,0.0135084745762711,0.027,0.0197183098591549,0.0147401129943502,0.0116009852216748,99,99,99,99,99,99
ZTF,15.755,15.5242,15.4354,15.7822,15.4894,15.3838,15.3725,226.385,16.7447,0.0802,0.0530366197183098,0.0380169491525423,0.0778,0.0554366197183098,0.0404802259887005,0.0325024630541871,99,99,99,99,99,99
ZTF,16.8894,16.2897,16.0717,16.886,16.2604,16.0308,15.9435,222.776,65.6677,0.04655,0.0307774647887323,0.0225084745762711,0.0452,0.0325774647887324,0.0237401129943502,0.0189014778325123,99,99,99,99,99,99
ZTF,16.7185,16.4181,16.2986,16.7107,16.3967,16.2441,16.2066,249.691,79.7308,0.16545,0.1093323943661971,0.0792881355932203,0.1608,0.1147323943661972,0.0848305084745762,0.0673054187192118,99,99,99,99,99,99
ZTF,16.3798,16.0636,15.9394,16.4118,16.0399,15.9054,15.8772,236.727,39.6839,0.0436,0.0287774647887323,0.0207627118644067,0.0424,0.0305774647887324,0.0226101694915254,0.0179014778325123,99,99,99,99,99,99
ZTF,17.7853,17.1717,16.9628,17.7879,17.1347,16.9175,16.8359,217.408,78.5191,0.09905,0.0652957746478873,0.0475254237288135,0.0962,0.0682957746478873,0.0512203389830508,0.040103448275862,99,99,99,99,99,99
ZTF,16.6203,16.0979,15.9308,16.6255,16.078,15.8918,15.8197,223.491,30.1093,0.0624,0.0407774647887324,0.0297627118644067,0.0606,0.0425774647887324,0.0316101694915254,0.0252019704433497,99,99,99,99,99,99
ZTF,16.9781,16.5352,16.3779,16.9823,16.5022,16.3372,16.2889,244.167,72.6328,0.10105,0.0665549295774648,0.0482711864406779,0.0982,0.0701549295774648,0.0513502824858757,0.041103448275862,99,99,99,99,99,99
ZTF,17.6875,17.1924,17.0172,17.6934,17.1624,16.9491,16.8719,228.961,71.4957,0.0742999999999999,0.0490366197183098,0.0350169491525423,0.0722,0.0514366197183098,0.0374802259887005,0.0305024630541871,99,99,99,99,99,99
ZTF,16.6155,16.1917,16.0483,16.6178,16.1591,15.9943,15.9683,264.135,39.8879,0.1308,0.0868140845070422,0.0627796610169491,0.1272,0.0910140845070422,0.067090395480226,0.0537044334975369,99,99,99,99,99,99
ZTF,17.3547,16.9472,16.7879,17.3616,16.9217,16.7488,16.6859,227.977,43.4974,0.0535,0.0355183098591549,0.0257627118644067,0.052,0.0367183098591549,0.0276101694915254,0.0219014778325123,99,99,99,99,99,99
ZTF,16.8019,16.3887,16.2352,16.7927,16.3558,16.193,16.1222,224.676,74.4076,0.0752999999999999,0.0500366197183098,0.0360169491525423,0.0732,0.0524366197183098,0.0384802259887005,0.0305024630541871,99,99,99,99,99,99
ZTF,16.8133,16.4473,16.3132,16.8049,16.4424,16.2998,16.2706,264.454,54.1311,0.1238,0.0815549295774648,0.0587796610169491,0.1202,0.0851549295774648,0.0630903954802259,0.0504039408866995,99,99,99,99,99,99
ZTF,16.3283,16.0241,15.9113,16.3461,15.9988,15.8693,15.8447,240.441,50.9124,0.0644,0.0427774647887324,0.0310169491525423,0.0626,0.0445774647887324,0.0334802259887005,0.0262019704433497,99,99,99,99,99,99
ZTF,15.7979,15.2653,15.0737,15.8058,15.2519,15.0441,14.9712,223.164,43.1916,0.0634,0.0420366197183098,0.0307627118644067,0.0616,0.0444366197183098,0.0326101694915254,0.0262019704433497,99,99,99,99,99,99
