survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,18.5805,18.061,17.9051,17.834,18.5326,18.1039,17.9238,17.8739,43.368,0.279341,0.27064625000000003,0.18135211267605633,0.13239359698681732,0.10256203731122297,0.26812875,0.19002816901408454,0.14092090395480225,0.11170935960591133
D3YR,17.3181,16.8177,16.6661,16.5931,17.2789,16.8545,16.6823,16.6104,43.6586,-0.312371,0.22503375,0.15087323943661973,0.11038229755178908,0.08517323067811666,0.22299125,0.1583098591549296,0.11731073446327683,0.092807881773399
D3YR,17.6183,16.8294,16.5983,16.4772,17.5772,16.8835,16.6302,16.5142,43.6711,-0.329634,0.226895,0.15263380281690142,0.11138229755178908,0.08609683150725496,0.224805,0.15945070422535215,0.11831073446327683,0.09380788177339901
D3YR,18.6018,17.7713,17.5197,17.3842,18.4653,17.8557,17.5472,17.4242,41.4814,-1.87454,0.145115,0.09767605633802817,0.07103389830508475,0.055166419899318926,0.143785,0.10201408450704226,0.07583050847457627,0.060004926108374386
D3YR,18.8274,18.2639,18.0714,17.9787,18.8049,18.3083,18.1045,18.0206,41.4581,-1.89968,0.14025374999999998,0.09367605633802817,0.06869679849340866,0.053166419899318924,0.13897125,0.09801408450704227,0.07296045197740113,0.058004926108374384
D3YR,17.8276,17.0614,16.8411,16.7217,17.7866,17.126,16.8659,16.7635,42.1618,-0.140803,0.14325374999999999,0.09667605633802817,0.07069679849340867,0.054166419899318925,0.14197125,0.10101408450704226,0.07496045197740113,0.059004926108374385
D3YR,17.6116,17.2442,17.1581,17.1369,17.579,17.2659,17.1677,17.1568,41.2487,-1.77202,0.10608624999999999,0.07119718309859156,0.0520225988700565,0.040624814924489196,0.10508875,0.07429577464788734,0.05522033898305085,0.04410344827586207
D3YR,17.517,16.9517,16.7939,16.7217,17.4898,16.9972,16.8214,16.7624,41.4004,-1.0125,0.09836375,0.06619718309859156,0.0480225988700565,0.036777613266212615,0.09746125,0.06929577464788735,0.051220338983050846,0.04010344827586207
D3YR,17.4487,16.9054,16.7646,16.7013,17.417,16.9604,16.7778,16.7285,41.4632,-1.0211,0.09636375,0.06419718309859156,0.0470225988700565,0.036777613266212615,0.09546125,0.06729577464788734,0.050220338983050845,0.03980295566502463
D3YR,18.3247,17.9768,17.8842,17.8456,18.2822,18.0076,17.8895,17.8638,42.7963,-1.73456,0.22789500000000001,0.15287323943661973,0.11138229755178908,0.08702043233639324,0.225805,0.1603098591549296,0.11831073446327683,0.09450738916256157
D3YR,18.3105,17.968,17.8748,17.8388,18.2762,18.0116,17.8828,17.8327,43.7902,-0.857296,0.21431125,0.14387323943661973,0.105045197740113,0.08124962984897839,0.21236375,0.1513098591549296,0.1114406779661017,0.08850738916256158
D3YR,16.8044,16.3538,16.2318,16.1871,16.7727,16.3922,16.2427,16.2078,42.1303,-0.616381,0.12853125,0.08643661971830986,0.06335969868173258,0.049319218241042344,0.12734375,0.0901549295774648,0.067090395480226,0.0534039408866995
D3YR,17.1074,16.6511,16.5298,16.4727,17.1034,16.6881,16.523,16.4843,43.8239,-0.805518,0.21431125,0.1436338028169014,0.105045197740113,0.08124962984897839,0.21236375,0.15045070422535214,0.1114406779661017,0.08850738916256158
D3YR,18.6721,18.1273,17.9713,17.9009,18.6273,18.176,17.9924,17.9232,42.733,0.280012,0.225895,0.15163380281690142,0.11038229755178908,0.08609683150725496,0.223805,0.15845070422535215,0.11731073446327683,0.09350738916256157
D3YR,17.0897,16.6831,16.5728,16.5233,17.0406,16.7205,16.571,16.5374,42.389,-0.0744457,0.17628249999999998,0.1183943661971831,0.08637099811676083,0.06678442404501037,0.1746675,0.12459154929577468,0.09170056497175141,0.07290640394088671
D3YR,18.7039,17.9029,17.6031,17.4278,18.6698,17.9725,17.6431,17.4932,43.8667,-0.635043,0.2171725,0.14563380281690141,0.10604519774011299,0.08224962984897839,0.2151775,0.15245070422535215,0.1124406779661017,0.08950738916256158
D3YR,17.0327,16.4008,16.2054,16.1008,16.9827,16.4508,16.2181,16.1349,40.8185,-0.00112835,0.10808625,0.07243661971830986,0.053022598870056496,0.040624814924489196,0.10708875,0.0761549295774648,0.05622033898305085,0.04440394088669951
D3YR,18.2231,17.5373,17.3086,17.1792,18.1715,17.5991,17.3238,17.2281,40.6444,-0.104133,0.106225,0.07119718309859156,0.0520225988700565,0.040624814924489196,0.105275,0.07429577464788734,0.05522033898305085,0.04410344827586207
D3YR,18.1683,17.783,17.6744,17.6318,18.1403,17.8236,17.6929,17.6313,40.6486,-0.115259,0.106225,0.07119718309859156,0.0520225988700565,0.040624814924489196,0.105275,0.07429577464788734,0.05522033898305085,0.04410344827586207
