survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,17.7665,17.0608,16.8042,16.5642,17.2306,16.7362,16.5235,16.4496,306.551,2.88596,0.45218589743589743,0.35529,0.2909267605633803,0.21408474576271186,0.4128,0.2939014084507043,0.2178813559322034,0.1727142857142857
CFA4,17.4079,16.621,16.3295,16.0691,16.9094,16.2979,16.0417,15.9407,306.549,2.90096,0.45179807692307694,0.35519999999999996,0.2902028169014085,0.21337288135593221,0.412,0.2930422535211268,0.21701129943502825,0.1727142857142857
CFA4,16.7409,15.9959,15.7392,15.532,16.2323,15.6905,15.4985,15.4277,306.543,2.89315,0.45179807692307694,0.35519999999999996,0.2902028169014085,0.21337288135593221,0.412,0.2930422535211268,0.21701129943502825,0.1727142857142857
CFA4,17.7257,17.1231,16.889,16.563,17.4598,16.8364,16.5555,16.4337,306.536,2.91236,0.45179807692307694,0.35519999999999996,0.2902028169014085,0.21337288135593221,0.412,0.2930422535211268,0.21701129943502825,0.1727142857142857
CFA4,17.4872,16.889,16.6272,16.3657,17.1506,16.629,16.3986,16.3155,57.5122,-3.32703,0.46618589743589745,0.36646999999999996,0.2999267605633803,0.22008474576271186,0.4254,0.3029014084507043,0.2238813559322034,0.17801477832512316
CFA4,17.642,16.7118,16.2992,15.9326,17.1006,16.2878,15.9523,15.8057,57.5028,-3.30199,0.47157371794871794,0.37056,0.3029267605633803,0.22279661016949154,0.4302,0.3059014084507043,0.22675141242937855,0.18001477832512316
CFA4,17.6769,16.8053,16.4398,16.1315,17.171,16.4368,16.1578,16.0271,57.4976,-3.35484,0.45618589743589744,0.35838,0.2932028169014085,0.21608474576271186,0.41659999999999997,0.2960422535211268,0.2198813559322034,0.1747142857142857
CFA4,17.1253,16.4851,16.2439,16.0243,16.743,16.2417,16.0604,15.9948,57.4889,-3.19315,0.46457371794871793,0.36546999999999996,0.2989267605633803,0.21979661016949154,0.4244,0.3019014084507043,0.22375141242937854,0.1777142857142857
CFA4,16.4286,15.7822,15.5605,15.3532,16.0203,15.5467,15.3637,15.2968,57.4581,-3.2645,0.4789615384615385,0.37673999999999996,0.3086507042253522,0.22679661016949154,0.4378,0.31176056338028174,0.23075141242937855,0.1833152709359606
CFA4,16.9246,16.1857,15.9137,15.6605,16.4733,15.9086,15.6838,15.5846,57.4457,-3.2443,0.4789615384615385,0.37665,0.3079267605633803,0.22679661016949154,0.437,0.3109014084507043,0.23075141242937855,0.1833152709359606
CFA4,16.3067,15.7713,15.5978,15.4221,15.9935,15.5975,15.4412,15.4111,129.14,28.1484,0.14426602564102564,0.11334,0.09306760563380283,0.06869491525423728,0.1318,0.09401408450704227,0.06996045197740113,0.05500492610837438
CFA4,17.2507,16.538,16.2865,16.066,16.846,16.2864,16.0762,16.0013,129.134,28.0899,0.14326602564102564,0.11325,0.09206760563380283,0.06798305084745764,0.131,0.09301408450704227,0.069090395480226,0.054704433497536946
CFA4,16.985,16.2496,15.9704,15.7469,16.5549,15.9857,15.7685,15.7002,129.13,28.1519,0.14426602564102564,0.11334,0.09306760563380283,0.06798305084745764,0.1318,0.09401408450704227,0.069090395480226,0.05500492610837438
CFA4,16.1997,15.4451,15.1526,14.9188,15.7477,15.1544,14.9082,14.8321,129.099,28.0087,0.14426602564102564,0.11334,0.092343661971831,0.06798305084745764,0.1318,0.0931549295774648,0.069090395480226,0.054704433497536946
CFA4,17.4949,16.8093,16.527,16.2943,17.1001,16.5411,16.3302,16.2652,129.094,28.1409,0.14326602564102564,0.11325,0.09206760563380283,0.06769491525423729,0.131,0.09301408450704227,0.06896045197740114,0.054704433497536946
CFA4,17.2185,16.6648,16.4472,16.2859,16.901,16.4724,16.3023,16.2681,129.086,28.1464,0.14326602564102564,0.11325,0.09206760563380283,0.06769491525423729,0.131,0.09301408450704227,0.06896045197740114,0.054704433497536946
CFA4,18.2418,17.8008,17.6088,17.4455,17.9475,17.6181,17.4773,17.4544,129.069,28.1196,0.14326602564102564,0.11234,0.09206760563380283,0.06769491525423729,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
CFA4,16.2701,15.671,15.4883,15.329,15.8856,15.459,15.3017,15.2754,129.045,28.0344,0.14126602564102564,0.11125,0.09106760563380283,0.06669491525423729,0.129,0.09201408450704227,0.06796045197740114,0.053704433497536945
CFA4,17.5906,16.8011,16.4941,16.2379,17.0987,16.4603,16.2089,16.1268,129.032,28.0065,0.13926602564102564,0.10925,0.09006760563380282,0.06598305084745763,0.127,0.09101408450704226,0.067090395480226,0.053704433497536945
CFA4,16.1497,15.513,15.3015,15.1065,15.7612,15.3062,15.1271,15.0806,129.018,28.105,0.14287820512820512,0.11225,0.09206760563380283,0.06769491525423729,0.13,0.09301408450704227,0.06896045197740114,0.054704433497536946
CFA4,18.0611,17.5633,17.4257,17.3257,17.6728,17.3986,17.2774,17.2569,129.011,28.0573,0.14126602564102564,0.11125,0.09106760563380283,0.06698305084745763,0.129,0.09201408450704227,0.068090395480226,0.053704433497536945
CFA4,16.3052,15.554,15.2913,15.0452,15.8419,15.2635,15.0239,14.9443,129.001,28.0153,0.13687820512820512,0.10725,0.08806760563380282,0.06469491525423729,0.125,0.08901408450704226,0.06596045197740114,0.05240394088669951
