FGCM_ID,RA,DEC,FLAG,MAG_STD_G,MAG_STD_R,MAG_STD_I,MAG_STD_Z,MAG_STD_Y,MAGERR_STD_G,MAGERR_STD_R,MAGERR_STD_I,MAGERR_STD_Z,MAGERR_STD_Y,NGOOD_G,NGOOD_R,NGOOD_I,NGOOD_Z,NGOOD_Y,SOURCEID,GAIA_ATLAS-c,GAIA_ATLAS-o
7654290,197.609,-22.4644,0,18.1874,17.1797,16.7911,16.5739,16.528,0.000869538,0.000778081,0.000426682,0.000422116,0.000405597,8,4,12,14,30,-999,-999,-999
7653432,197.463,-22.4144,0,18.6791,18.3595,18.2482,18.2103,18.2412,0.00112162,0.00130311,0.000896346,0.00168015,0.0012675,8,4,11,6,28,-999,-999,-999
7654407,197.419,-22.4031,0,17.7644,17.1912,16.9784,16.8689,16.868,0.000722135,0.000781187,0.000497335,0.000459372,0.00049463,8,4,10,15,29,-999,-999,-999
7653857,197.484,-22.43,0,19.4595,18.6107,18.3324,18.1736,18.1523,0.00176663,0.00311511,0.00109399,0.000979322,0.00115696,8,1,8,15,29,-999,-999,-999
7654279,197.407,-22.4046,16,19.5906,18.7305,18.4339,18.2715,18.2492,0.00191921,0.00160726,0.000967142,0.00104867,0.00122495,8,4,12,15,30,-999,-999,-999
7654259,197.368,-22.3924,0,17.9932,17.1801,16.8636,16.6845,16.6643,0.000795801,0.000778227,0.000457125,0.000424941,0.000435397,8,4,11,15,30,-999,-999,-999
7654008,197.4,-22.4128,0,19.1288,18.5584,18.3345,18.2205,18.2173,0.00144611,0.00145451,0.000907538,0.00101174,0.0012644,8,4,12,15,27,-999,-999,-999
7653449,197.501,-22.4527,16,18.7214,18.0852,17.8529,17.7344,17.7186,0.00123345,0.00235242,0.000748298,0.000777775,0.000913695,7,1,10,13,25,-999,-999,-999
7653356,197.323,-22.3912,0,18.7991,18.6668,18.6448,18.6582,18.7236,0.00119962,0.00154884,0.00116641,0.00139197,0.00184279,8,4,11,15,27,-999,-999,-999
7654396,197.32,-22.398,0,18.8328,17.8658,17.4654,17.2423,17.2003,0.00121571,0.00101822,0.000557968,0.000551129,0.000594212,8,4,12,15,30,-999,-999,-999
7653405,197.588,-22.363,0,17.8682,17.4213,17.2786,17.2169,99,0.00120843,0.00118004,0.000625474,0.00116405,99,3,2,8,3,0,-999,-999,-999
7653285,197.538,-22.3685,0,19.0494,18.6418,18.499,18.4452,18.4724,0.00138152,0.00206356,0.0011266,0.00118831,0.00148682,8,2,10,15,28,-999,-999,-999
7654337,197.518,-22.3674,0,18.3027,17.852,17.7003,17.6413,17.665,0.000989621,0.00101219,0.000628033,0.000691471,0.000815336,7,4,12,15,29,-999,-999,-999
7654295,197.45,-22.3609,0,19.4035,18.604,18.3367,18.1746,18.1438,0.0025564,0.00221556,0.00228848,0.00228746,0.00258764,4,2,2,3,5,-999,-999,-999
7653516,197.318,-22.3612,16,18.5246,17.7319,17.429,17.2637,17.236,0.00150949,0.00138848,0.000984304,0.000918739,0.00334721,4,2,4,6,1,-999,-999,-999
