survey,DES5YR_AB_g,DES5YR_AB_r,DES5YR_AB_i,DES5YR_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,DES5YR_AB_g_AV,DES5YR_AB_r_AV,DES5YR_AB_i_AV,DES5YR_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
DES5YR_AB,18.8841,18.3152,18.1223,18.0345,18.8673,18.3512,18.1588,18.053,150.17,2.43899,0.05647375,0.03771830985915493,0.02734839924670433,0.021312407462244595,0.0558,0.0395774647887324,0.029480225988700565,0.02320197044334975
DES5YR_AB,20.0415,19.7647,19.7018,19.6964,20.0119,19.7663,19.7018,19.7038,149.347,2.3311,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,20.6741,20.4373,20.4241,20.3167,20.9682,20.7359,20.622,20.5764,150.83,2.4282,0.06819625,0.04595774647887324,0.03334839924670433,0.026083209949659462,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
DES5YR_AB,19.8072,19.1664,18.9698,18.871,19.7546,19.2335,19.0039,18.9012,149.186,2.3809,0.061335,0.04171830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0435774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,20.0878,19.8358,19.7793,19.7806,20.0894,19.8864,19.7623,19.8302,149.53,2.45423,0.06619625,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0654,0.04643661971830987,0.03448022598870057,0.02750246305418719
DES5YR_AB,19.1687,18.8534,18.7753,18.7697,19.1512,18.8937,18.8331,18.7953,149.338,2.55453,0.063335,0.04271830985915493,0.03101129943502825,0.024159609120521175,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
DES5YR_AB,20.9246,20.5609,20.4802,20.4665,21.0886,20.6503,20.506,20.483,150.392,2.32207,0.05647375,0.03771830985915493,0.02801129943502825,0.021312407462244595,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
DES5YR_AB,20.6885,20.0644,19.8689,19.7786,20.6999,20.0775,19.8878,19.7747,149.529,2.57559,0.062335,0.04171830985915493,0.030348399246704332,0.023236008291382886,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
DES5YR_AB,20.9773,20.2247,19.9569,19.8161,20.8853,20.2743,19.9949,19.8174,150.136,2.41166,0.05447375,0.03671830985915493,0.02701129943502825,0.020312407462244598,0.0538,0.0385774647887324,0.028610169491525426,0.022201970443349754
DES5YR_AB,18.1957,17.8579,17.7717,17.7575,18.1622,17.8804,17.7703,17.7741,149.383,2.36991,0.06719625,0.04495774647887324,0.03301129943502825,0.025159609120521172,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
DES5YR_AB,21.1446,20.6932,20.5465,20.493,21.1883,20.7518,20.5467,20.6928,150.498,2.84101,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,19.3617,18.747,18.5658,18.4837,19.3405,18.8021,18.5822,18.5296,149.926,2.58452,0.060335,0.04071830985915493,0.02934839924670433,0.023236008291382886,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
DES5YR_AB,18.213,17.5238,17.3041,17.1999,18.1699,17.5693,17.3276,17.2382,150.113,3.0526,0.0710575,0.047718309859154935,0.03434839924670433,0.027083209949659463,0.0702,0.0495774647887324,0.036480225988700564,0.029502463054187193
DES5YR_AB,21.1692,20.4626,20.2006,20.0854,21.1522,20.5377,20.2378,19.9958,149.264,2.24618,0.06919625,0.046718309859154934,0.03434839924670433,0.026159609120521173,0.06839999999999999,0.0485774647887324,0.036480225988700564,0.02850246305418719
DES5YR_AB,20.1281,19.7347,19.6225,19.5933,20.0275,19.7226,19.6142,19.5569,149.484,2.20309,0.060335,0.04071830985915493,0.02934839924670433,0.023236008291382886,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
DES5YR_AB,20.8667,20.1033,19.8613,19.7436,20.8875,20.1901,19.9487,19.6701,149.407,2.69169,0.061335,0.04071830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0425774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,17.9584,17.6639,17.593,17.5866,17.9544,17.6859,17.6009,17.5963,149.153,2.31602,0.060335,0.04071830985915493,0.02934839924670433,0.023236008291382886,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
DES5YR_AB,19.2937,19.0062,18.9386,18.9288,19.2721,19.0228,18.9433,18.9339,150.167,2.55161,0.05547375,0.03747887323943662,0.02701129943502825,0.021236008291382884,0.0548,0.038718309859154934,0.028610169491525426,0.02320197044334975
DES5YR_AB,19.5578,19.2318,19.1522,19.1432,19.4986,19.238,19.1266,19.1135,149.673,3.09457,0.06819625,0.04571830985915493,0.03334839924670433,0.026083209949659462,0.0674,0.0475774647887324,0.03548022598870056,0.028201970443349753
DES5YR_AB,18.6404,18.3573,18.2902,18.2881,18.6,18.384,18.3008,18.2939,149.516,2.55726,0.065335,0.04371830985915493,0.03234839924670433,0.025159609120521172,0.0646,0.0455774647887324,0.03448022598870057,0.02720197044334975
DES5YR_AB,17.3458,16.8584,16.7161,16.6662,17.3101,16.891,16.7344,16.6915,150.302,2.52121,0.06719625,0.04495774647887324,0.03334839924670433,0.025159609120521172,0.0664,0.04743661971830987,0.03548022598870056,0.02750246305418719
DES5YR_AB,20.0476,19.6357,19.5307,19.5039,20.0234,19.6922,19.5001,19.5359,150.281,2.63844,0.062335,0.04171830985915493,0.030348399246704332,0.023236008291382886,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
DES5YR_AB,20.931,20.443,20.3015,20.2485,20.9731,20.4268,20.2474,20.3104,150.36,2.90843,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,17.3672,16.7566,16.5858,16.5075,17.3107,16.7824,16.59,16.5359,150.009,2.23264,0.063335,0.04271830985915493,0.03101129943502825,0.024159609120521175,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
DES5YR_AB,22.2982,20.8078,19.4377,18.8661,20.3975,20.2927,19.6807,19.054,150.186,2.07757,0.0546125,0.03671830985915493,0.02701129943502825,0.021236008291382884,0.054,0.0385774647887324,0.028610169491525426,0.022901477832512316
DES5YR_AB,19.6863,19.1572,19.0181,18.9614,19.6394,19.2211,18.9877,18.9834,150.313,2.84379,0.06419625,0.04271830985915493,0.03134839924670433,0.024159609120521175,0.0634,0.0445774647887324,0.03348022598870057,0.026502463054187193
DES5YR_AB,20.8135,20.0087,19.7131,19.5558,20.7958,20.1365,19.8025,19.6856,150.92,2.64611,0.0720575,0.04795774647887324,0.03534839924670433,0.027083209949659463,0.0712,0.050436619718309865,0.037480225988700565,0.029502463054187193
DES5YR_AB,20.4161,20.1276,20.0628,20.0591,20.499,20.1121,20.0515,20.2961,151.182,2.29661,0.09064124999999999,0.06095774647887324,0.044685499058380415,0.03477761326621261,0.0896,0.06343661971830987,0.04735028248587571,0.03780295566502463
DES5YR_AB,20.8503,20.2431,20.0591,19.9745,20.7203,20.4007,20.2795,19.9492,150.796,1.56794,0.08091875000000001,0.05495774647887324,0.03968549905838041,0.03093041160793604,0.08,0.05743661971830987,0.042350282485875704,0.03380295566502463
DES5YR_AB,20.8314,20.4163,20.2896,20.2431,20.8667,20.472,20.4396,20.1686,150.166,2.16,0.0546125,0.03671830985915493,0.02701129943502825,0.020312407462244598,0.054,0.0385774647887324,0.028610169491525426,0.022201970443349754
DES5YR_AB,20.1659,19.5644,19.3877,19.3004,20.1338,19.6219,19.4015,19.454,150.737,1.92251,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,19.6031,19.2234,19.1168,19.0901,19.555,19.2231,19.1236,19.1203,150.637,2.23814,0.05647375,0.03771830985915493,0.02801129943502825,0.021312407462244595,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
DES5YR_AB,21.4754,21.0125,20.8831,20.8493,21.4338,21.1425,20.8151,21.0586,149.496,2.75712,0.063335,0.04271830985915493,0.03134839924670433,0.024159609120521175,0.0626,0.0445774647887324,0.03348022598870057,0.026201970443349754
DES5YR_AB,20.4375,20.0915,20.0096,20.0018,20.3603,20.1244,19.9657,20.0319,150.499,2.73787,0.06619625,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0654,0.04643661971830987,0.03448022598870057,0.02720197044334975
DES5YR_AB,20.7611,20.4652,20.3934,20.3975,20.7591,20.5524,20.3151,20.5,150.364,2.65959,0.06319625,0.041957746478873244,0.03101129943502825,0.024159609120521175,0.062400000000000004,0.04443661971830987,0.032610169491525426,0.026201970443349754
DES5YR_AB,17.8905,17.3214,17.1747,17.1133,17.8528,17.36,17.1915,17.1466,150.065,2.38874,0.05647375,0.03771830985915493,0.02801129943502825,0.021312407462244595,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
DES5YR_AB,20.918,20.5444,20.4423,20.4186,20.9703,20.6137,20.4541,20.4372,150.027,3.00834,0.07591875000000001,0.050957746478873245,0.03734839924670433,0.02900681077879775,0.075,0.05343661971830987,0.03948022598870057,0.03150246305418719
DES5YR_AB,20.1582,19.6921,19.551,19.5011,20.1498,19.7273,19.56,19.5402,149.603,2.63411,0.061335,0.04071830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0425774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,17.88,17.5037,17.407,17.3809,17.8575,17.5271,17.393,17.3882,149.8,3.04423,0.0720575,0.04795774647887324,0.03534839924670433,0.027083209949659463,0.0712,0.050436619718309865,0.037480225988700565,0.029502463054187193
DES5YR_AB,18.6332,18.1542,17.9973,17.9312,18.6095,18.1634,18.023,17.9548,150.27,2.56128,0.06519625,0.04371830985915493,0.03201129943502825,0.025159609120521172,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
DES5YR_AB,21.0066,20.4813,20.3299,20.2756,21.3821,20.725,20.4174,20.0642,150.206,2.44032,0.058335,0.038718309859154934,0.02834839924670433,0.022236008291382885,0.0576,0.0405774647887324,0.030480225988700566,0.024201970443349752
DES5YR_AB,18.718,18.2996,18.1854,18.1468,18.6658,18.3096,18.2093,18.1545,150.062,2.11357,0.05947375,0.039718309859154935,0.02934839924670433,0.022236008291382885,0.0588,0.0415774647887324,0.031480225988700566,0.02450246305418719
DES5YR_AB,20.2437,19.7971,19.6621,19.6155,20.2202,19.8497,19.6623,19.6549,150.26,2.65076,0.060335,0.04071830985915493,0.02934839924670433,0.023159609120521174,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
DES5YR_AB,20.7639,20.3928,20.29,20.2615,20.8094,20.4837,20.292,20.3359,150.812,2.80687,0.0750575,0.050957746478873245,0.03734839924670433,0.02900681077879775,0.0742,0.05343661971830987,0.03948022598870057,0.03150246305418719
DES5YR_AB,18.682,18.1644,18.0234,17.9686,18.648,18.2054,18.056,18.0006,150.205,2.63515,0.058335,0.038718309859154934,0.02834839924670433,0.022236008291382885,0.0576,0.0405774647887324,0.030480225988700566,0.024201970443349752
DES5YR_AB,20.6431,20.3701,20.3081,20.302,20.6688,20.4187,20.2961,20.2166,150.79,2.8704,0.0730575,0.04895774647887324,0.035685499058380414,0.028006810778797752,0.0722,0.051436619718309866,0.03835028248587571,0.030502463054187193
DES5YR_AB,20.7322,20.0059,19.7588,19.6383,20.7039,20.0095,19.8062,19.7009,149.303,2.64876,0.059335,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,20.1378,19.4736,19.2718,19.1757,20.1214,19.5015,19.3319,19.1626,150.083,2.14872,0.059335,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,20.8861,20.426,20.2788,20.221,20.7922,20.4693,20.3029,20.102,149.618,2.56466,0.063335,0.04271830985915493,0.03101129943502825,0.024159609120521175,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
DES5YR_AB,21.3435,20.6742,20.4825,20.3908,21.3882,20.751,20.5494,20.7258,150.62,2.09371,0.0546125,0.03671830985915493,0.02701129943502825,0.021236008291382884,0.054,0.0385774647887324,0.028610169491525426,0.022901477832512316
DES5YR_AB,19.5568,19.191,19.0869,19.0491,19.5303,19.2197,19.1026,19.1341,150.429,1.52094,0.06719625,0.04495774647887324,0.03301129943502825,0.025159609120521172,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
DES5YR_AB,17.3898,16.9807,16.8775,16.85,17.35,17.0094,16.8815,16.8568,150.177,2.47605,0.060335,0.04071830985915493,0.02934839924670433,0.023236008291382886,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
DES5YR_AB,20.1004,19.8603,19.6455,19.5572,19.9651,19.7982,19.6855,19.5949,150.125,2.86175,0.059335,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,19.5812,19.0592,18.8786,18.7939,19.4411,19.0685,18.8894,18.7255,150.361,2.15584,0.05347375,0.03571830985915493,0.02601129943502825,0.020312407462244598,0.0528,0.037577464788732404,0.027610169491525425,0.022201970443349754
DES5YR_AB,20.1017,19.5937,19.4536,19.3911,20.066,19.6463,19.4829,19.4539,150.423,1.83284,0.061335,0.04071830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0425774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,20.6196,19.9587,19.7259,19.6143,20.5644,19.9987,19.7263,19.6457,149.317,2.2388,0.0720575,0.04795774647887324,0.03534839924670433,0.027083209949659463,0.0712,0.050436619718309865,0.037480225988700565,0.029502463054187193
DES5YR_AB,20.7856,20.0574,19.8173,19.692,20.6247,20.0643,19.8486,19.7432,150.216,1.6541,0.064335,0.042957746478873245,0.03134839924670433,0.024159609120521175,0.0636,0.04543661971830987,0.03348022598870057,0.026502463054187193
DES5YR_AB,17.8813,17.352,17.2065,17.1465,17.848,17.3884,17.2112,17.1578,150.922,1.73481,0.0730575,0.04895774647887324,0.035685499058380414,0.028006810778797752,0.0722,0.051436619718309866,0.03835028248587571,0.030502463054187193
DES5YR_AB,20.048,19.756,19.6824,19.6737,20.0737,19.8105,19.6801,19.721,150.263,2.08286,0.0536125,0.03571830985915493,0.02601129943502825,0.020312407462244598,0.053,0.037577464788732404,0.027610169491525425,0.022201970443349754
DES5YR_AB,21.0532,20.5561,20.3987,20.3321,21.0406,20.59,20.3253,20.3386,150.231,2.16187,0.0516125,0.03447887323943662,0.02501129943502825,0.01938880663310631,0.051,0.03571830985915493,0.026610169491525424,0.021201970443349753
DES5YR_AB,19.5204,18.9611,18.7748,18.6864,19.496,19.0061,18.8152,18.703,150.421,1.41263,0.06719625,0.04495774647887324,0.03301129943502825,0.025159609120521172,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
DES5YR_AB,19.7696,19.354,19.2466,19.2157,19.7554,19.3856,19.2775,19.2224,150.162,2.58327,0.0546125,0.03671830985915493,0.02701129943502825,0.020312407462244598,0.054,0.0385774647887324,0.028610169491525426,0.022201970443349754
DES5YR_AB,19.8056,19.1537,18.9457,18.8432,19.742,19.2099,18.9372,18.8413,150.809,1.81139,0.06819625,0.04595774647887324,0.03334839924670433,0.026083209949659462,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
DES5YR_AB,18.3824,17.7437,17.5572,17.4711,18.3253,17.7792,17.576,17.5006,149.341,2.69529,0.05847375,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
