survey,CSPDR3nat-B,CSPDR3nat-V,CSPDR3nat-o,CSPDR3nat-m,CSPDR3nat-n,CSPDR3nat-g,CSPDR3nat-r,CSPDR3nat-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSPDR3nat-B_AV,CSPDR3nat-V_AV,CSPDR3nat-o_AV,CSPDR3nat-m_AV,CSPDR3nat-n_AV,CSPDR3nat-g_AV,CSPDR3nat-r_AV,CSPDR3nat-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSPDR3nat,18.9771,17.898,17.898,17.898,17.898,18.4201,17.4757,17.1137,18.2668,17.4445,17.1325,17.0006,77.9525,5.17899,0.4053557692307692,0.31636,0.31343125,0.31644875,0.31636,0.36916625,0.2559859154929578,0.18716195856873824,0.3618,0.25732394366197187,0.19040112994350283,0.15151231527093595
CSPDR3nat,18.5458,18.0179,18.0179,18.0179,18.0179,18.345,17.7735,17.4906,18.2852,17.7979,17.618,17.5542,77.9723,5.23289,0.4033557692307692,0.31436,0.31143125,0.31444875,0.31436,0.36716624999999997,0.2549859154929578,0.18616195856873824,0.3598,0.25632394366197186,0.18940112994350283,0.15051231527093595
CSPDR3nat,16.915,16.0412,16.0412,16.0412,16.0412,16.4638,15.6832,15.4175,16.3503,15.676,15.4252,15.33,47.2443,-7.07822,0.2513365384615385,0.19604,0.194225,0.19609500000000002,0.19604,0.22876500000000002,0.1584647887323944,0.11620527306967984,0.2242,0.1593098591549296,0.11831073446327683,0.09380788177339901
CSPDR3nat,17.7749,17.2408,17.2408,17.2408,17.2408,17.4944,17.0327,16.8613,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.2536346153846154,0.19804,0.19622499999999998,0.198095,0.19804,0.230765,0.1604647887323944,0.11720527306967984,0.22619999999999998,0.1613098591549296,0.11931073446327684,0.09480788177339901
CSPDR3nat,17.7722,17.1558,17.1558,17.1558,17.1558,17.468,16.8936,16.6674,17.3697,16.8881,16.6822,16.6277,45.3439,-0.503217,0.41975961538461537,0.32768,0.32466875,0.32777125,0.32768,0.38197375,0.2649859154929578,0.19387005649717515,0.3744,0.2663239436619719,0.19727118644067798,0.1568128078817734
CSPDR3nat,16.1158,15.5446,15.5446,15.5446,15.5446,15.8018,15.3845,15.2243,15.7263,15.3583,15.2271,15.212,29.201,-0.168877,0.1156153846153846,0.0902,0.089375,0.090225,0.0902,0.105075,0.072943661971831,0.05324858757062147,0.103,0.07329577464788734,0.05422033898305085,0.04310344827586207
CSPDR3nat,16.9418,16.2833,16.2833,16.2833,16.2833,16.5893,16.0637,15.8953,16.4974,16.0501,15.8932,15.8543,29.1691,-0.263528,0.11731730769230769,0.09136,0.09049375,0.09138625,0.09136,0.10697875,0.073943661971831,0.05424858757062147,0.1048,0.07429577464788734,0.05522033898305085,0.04410344827586207
CSPDR3nat,18.3591,17.5602,17.5602,17.5602,17.5602,17.9406,17.2467,17.0095,17.8327,17.2524,17.0118,16.945,29.1733,-0.264356,0.11731730769230769,0.09136,0.09049375,0.09138625,0.09136,0.10697875,0.073943661971831,0.05424858757062147,0.1048,0.07429577464788734,0.05522033898305085,0.04410344827586207
CSPDR3nat,16.1587,15.5419,15.5419,15.5419,15.5419,15.8226,15.3433,15.1983,15.744,15.3355,15.201,15.1684,21.7151,-1.27578,0.14401923076923076,0.112,0.11096875,0.11203125,0.112,0.13059375,0.09073239436619719,0.0666647834274953,0.128,0.0911549295774648,0.06796045197740114,0.053704433497536945
CSPDR3nat,16.7076,15.9441,15.9441,15.9441,15.9441,16.2927,15.6644,15.4494,16.1972,15.6533,15.4483,15.3863,21.6995,-1.27685,0.14201923076923076,0.11084,0.10985,0.11087,0.11084,0.12869,0.0895211267605634,0.0656647834274953,0.1262,0.09001408450704226,0.06696045197740114,0.052704433497536944
CSPDR3nat,16.8583,16.0898,16.0898,16.0898,16.0898,16.4589,15.8197,15.5825,16.3518,15.799,15.5995,15.518,7.0048,-1.19149,0.07721153846153846,0.06024,0.0596625,0.060257500000000006,0.06024,0.0706525,0.0491549295774648,0.03583239171374764,0.0692,0.04943661971830987,0.036480225988700564,0.02850246305418719
CSPDR3nat,18.1087,17.2382,17.2382,17.2382,17.2382,17.683,16.8226,16.4697,17.5464,16.8077,16.5153,16.3825,6.94924,-1.23336,0.08421153846153846,0.0654,0.06478125,0.06541875,0.0654,0.07655625,0.053154929577464795,0.038832391713747645,0.075,0.05343661971830987,0.03948022598870057,0.03150246305418719
CSPDR3nat,16.9549,16.0778,16.0778,16.0778,16.0778,16.5248,15.7503,15.4805,16.4165,15.746,15.4853,15.3859,359.578,-18.75,0.07350961538461538,0.05708,0.056543750000000004,0.05709625,0.05708,0.06674875000000001,0.0463661971830986,0.03383239171374765,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
CSPDR3nat,16.9788,16.4687,16.4687,16.4687,16.4687,16.6851,16.3191,16.1833,16.6009,16.3004,16.1913,16.1874,359.579,-18.7173,0.07821153846153846,0.061079999999999995,0.06054374999999999,0.06109625,0.061079999999999995,0.07074875,0.0491549295774648,0.03583239171374764,0.06939999999999999,0.04943661971830987,0.036480225988700564,0.029502463054187193
CSPDR3nat,17.9493,17.0313,17.0313,17.0313,17.0313,17.4723,16.7295,16.4426,17.3278,16.7122,16.4476,16.3374,359.698,-18.713,0.07450961538461538,0.05808,0.057543750000000005,0.05809625,0.05808,0.06774875000000001,0.047154929577464796,0.03412429378531074,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
