survey,ASASSN2-B,ASASSN2-V,ASASSN2-r,ASASSN2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ASASSN2-B_AV,ASASSN2-V_AV,ASASSN2-r_AV,ASASSN2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ASASSN2,19.043,18.1701,17.8883,17.619,18.4844,17.8786,17.6131,17.4872,149.825,3.06419,0.08449739130434783,0.063295,0.051692957746478876,0.03748587570621469,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
ASASSN2,19.4506,18.5279,18.2254,17.9654,18.8379,18.2056,17.9361,17.8234,37.4241,1.70991,0.10563304347826087,0.079665,0.0643661971830986,0.04710734463276836,0.0924,0.06529577464788734,0.04835028248587571,0.038802955665024626
ASASSN2,18.9632,18.2281,18.0037,17.7649,18.4946,17.9854,17.7478,17.6708,37.5479,1.75564,0.10558782608695652,0.078665,0.0643661971830986,0.04710734463276836,0.0914,0.06529577464788734,0.04835028248587571,0.03810344827586207
ASASSN2,19.1742,18.2785,17.9873,17.7218,18.6054,17.9694,17.697,17.5722,37.3985,1.76289,0.11063304347826088,0.0827575,0.06736619718309861,0.04910734463276836,0.09620000000000001,0.06829577464788734,0.050350282485875704,0.04010344827586207
ASASSN2,19.173,18.2663,17.9705,17.7149,18.6057,17.9629,17.7084,17.5747,150.358,1.94213,0.07040695652173914,0.05311,0.04301971830985916,0.031485875706214694,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ASASSN2,18.135,17.3971,17.1715,16.9881,17.6534,17.1585,16.9754,16.9132,150.515,2.16781,0.06236173913043478,0.046925,0.03801971830985916,0.027864406779661018,0.054,0.0385774647887324,0.028610169491525426,0.022901477832512316
ASASSN2,18.3288,17.4506,17.1666,16.8967,17.7753,17.1568,16.8775,16.7772,149.634,2.0871,0.07140695652173912,0.05311,0.04301971830985916,0.031485875706214694,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ASASSN2,19.3767,18.507,18.2265,17.9966,18.8246,18.2299,17.9838,17.9003,150.974,1.79986,0.08549739130434783,0.064295,0.05201971830985916,0.03810734463276837,0.0742,0.0525774647887324,0.03935028248587571,0.03150246305418719
ASASSN2,18.328,17.6125,17.3962,17.2228,17.848,17.3884,17.2112,17.1578,150.922,1.73481,0.08345217391304348,0.062294999999999996,0.050692957746478876,0.037107344632768366,0.0722,0.051436619718309866,0.03835028248587571,0.030502463054187193
ASASSN2,18.7915,17.8665,17.563,17.3043,18.2089,17.5534,17.2846,17.2037,150.872,1.76799,0.08149739130434783,0.061294999999999995,0.049692957746478875,0.03648587570621469,0.0712,0.050436619718309865,0.037480225988700565,0.029502463054187193
ASASSN2,19.0722,18.3193,18.0875,17.9148,18.5826,18.0879,17.8971,17.8572,149.919,1.66225,0.06736173913043479,0.05011,0.04101971830985916,0.029864406779661016,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
ASASSN2,19.0618,18.278,18.0333,17.8195,18.5542,18.0379,17.8056,17.7232,149.725,1.88441,0.07545217391304347,0.0562025,0.04601971830985916,0.03348587570621469,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
ASASSN2,18.5071,17.7553,17.5239,17.3664,18.0076,17.5221,17.3534,17.2748,150.384,2.1057,0.06436173913043479,0.0480175,0.03901971830985916,0.028485875706214688,0.0558,0.0395774647887324,0.029480225988700565,0.02320197044334975
ASASSN2,17.9688,17.2043,16.9676,16.7915,17.4732,16.9659,16.7838,16.7253,149.513,2.6678,0.06940695652173914,0.052017499999999994,0.04201971830985916,0.030864406779661017,0.0598,0.0425774647887324,0.031610169491525425,0.025201970443349753
