survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,SDSS_AB_g_AV,SDSS_AB_r_AV,SDSS_AB_i_AV,SDSS_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
SDSS_AB,17.7473,17.2949,17.1193,17.0636,17.6851,17.2883,17.1043,17.0568,308.505,1.24087,0.32492375,0.22394647887323949,0.16598305084745762,0.12413546798029557,0.3128,0.22260563380281695,0.16466101694915256,0.13061083743842364
SDSS_AB,18.824,18.4237,18.2671,18.2079,18.7638,18.4363,18.2855,18.2173,308.505,0.24871,0.38691000000000003,0.26682253521126764,0.1978135593220339,0.1481600985221675,0.3726,0.2653239436619719,0.19627118644067798,0.1558128078817734
SDSS_AB,17.9663,17.4418,17.2613,17.169,17.8905,17.4489,17.2648,17.1995,308.505,0.681141,0.32392375,0.2230084507042254,0.16598305084745762,0.12413546798029557,0.3118,0.22174647887323948,0.16466101694915256,0.13061083743842364
SDSS_AB,16.7476,16.182,16.0064,15.9016,16.6497,16.1849,16.0001,15.936,308.506,-0.0775507,0.41890125,0.2886985915492958,0.2137005649717514,0.16017241379310346,0.4032,0.2870422535211268,0.21201129943502825,0.16841379310344828
SDSS_AB,17.9798,17.378,17.1673,17.0655,17.9249,17.3796,17.1785,17.1042,308.506,1.12716,0.31492625,0.2170084507042254,0.16103954802259887,0.12013546798029556,0.3032,0.21574647887323947,0.1597909604519774,0.12661083743842363
SDSS_AB,17.809,17.2866,17.1207,17.0222,17.7465,17.2834,17.1074,17.0789,308.506,0.731802,0.32192375,0.22194647887323948,0.16403954802259887,0.12313546798029557,0.3098,0.22060563380281695,0.1627909604519774,0.12961083743842364
SDSS_AB,17.5423,16.7665,16.5317,16.3774,17.4253,16.7743,16.526,16.4266,308.507,-0.0902504,0.41890125,0.2886985915492958,0.2137005649717514,0.16017241379310346,0.4032,0.2870422535211268,0.21201129943502825,0.16841379310344828
SDSS_AB,16.3985,15.5902,15.3212,15.1628,16.2841,15.5909,15.3123,15.1978,308.507,-0.0513829,0.42090125,0.2906366197183099,0.21564406779661016,0.16117857142857145,0.4052,0.2889014084507043,0.2138813559322034,0.1697142857142857
SDSS_AB,18.9823,18.339,18.0955,17.9701,18.8846,18.3279,18.1124,18.0137,308.508,-0.900991,0.62285375,0.42907887323943666,0.31807909604519774,0.23826477832512313,0.5996,0.4266338028169015,0.3155819209039548,0.25092118226600985
SDSS_AB,17.5791,16.7601,16.4439,16.2636,17.4509,16.7547,16.4491,16.3025,308.508,0.331249,0.38790875,0.26682253521126764,0.1978135593220339,0.14816625615763546,0.3734,0.2653239436619719,0.19627118644067798,0.15611330049261082
