survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFD-g_AV,ZTFD-r_AV,ZTFD-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFD,16.0679,15.5579,15.364,16.0772,15.5408,15.3466,15.2847,239.696,78.0592,0.1258,0.08326760563380282,0.05974011299435029,0.1222,0.0871549295774648,0.06409039548022599,0.05140394088669951
ZTFD,17.5006,16.8884,16.6329,17.4977,16.8683,16.6054,16.5094,261.8,50.1078,0.103,0.06805633802816902,0.04924293785310734,0.09999999999999999,0.07129577464788733,0.052350282485875706,0.04210344827586207
ZTFD,15.748,15.4071,15.2733,15.7778,15.3806,15.2362,15.2038,236.259,37.3163,0.0555,0.03663380281690141,0.026745762711864407,0.054,0.0385774647887324,0.028610169491525426,0.022201970443349754
ZTFD,16.0647,15.7398,15.6163,16.0875,15.7161,15.5759,15.5486,237.477,27.346,0.10105,0.06605633802816901,0.04824293785310734,0.0982,0.06929577464788735,0.051350282485875705,0.04110344827586207
ZTFD,16.6514,16.3246,16.2164,16.6981,16.2942,16.1634,16.1401,253.15,58.9717,0.04755,0.03142253521126761,0.022497175141242935,0.0462,0.032718309859154936,0.023740112994350283,0.018901477832512316
ZTFD,16.2736,15.9641,15.8518,16.3083,15.9415,15.8171,15.7795,244.719,60.8099,0.040600000000000004,0.026422535211267605,0.01949717514124294,0.039400000000000004,0.027718309859154935,0.020740112994350284,0.015901477832512313
ZTFD,16.7694,16.1737,15.964,16.7792,16.1629,15.9447,15.8636,260.247,68.5762,0.0951,0.06284507042253522,0.045242937853107346,0.0924,0.06543661971830987,0.04835028248587571,0.038802955665024626
ZTFD,16.4369,16.1281,16.0067,16.4663,16.1057,15.9576,15.9275,236.288,20.6692,0.1605,0.10569014084507042,0.07623728813559322,0.156,0.11087323943661974,0.08183050847457628,0.06530541871921182
ZTFD,16.2349,15.7906,15.6415,16.251,15.7702,15.6114,15.5557,256.943,75.0798,0.13175,0.08647887323943662,0.06274011299435028,0.128,0.09101408450704226,0.067090395480226,0.053704433497536945
ZTFD,16.8578,16.5226,16.3946,16.8761,16.4855,16.3538,16.3282,263.9,70.5611,0.11789999999999999,0.07726760563380282,0.05649152542372882,0.1146,0.0811549295774648,0.06022033898305085,0.04770443349753695
ZTFD,16.2955,15.9372,15.79,16.3125,15.9133,15.7615,15.6979,251.527,78.3287,0.12085,0.07926760563380282,0.057740112994350286,0.1174,0.0831549295774648,0.06209039548022599,0.049403940886699506
ZTFD,17.8457,17.1993,16.9486,17.8227,17.1974,16.932,16.8118,249.492,16.6983,0.24965,0.16474647887323945,0.11948022598870058,0.2426,0.17316901408450705,0.12818079096045198,0.1014088669950739
