survey,KAIT4MO-B,KAIT4MO-V,KAIT4MO-R,KAIT4MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT4MO-B_AV,KAIT4MO-V_AV,KAIT4MO-R_AV,KAIT4MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT4MO,17.2835,16.7391,16.3701,15.9537,16.9439,16.5097,16.3677,16.3434,103.326,50.0255,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT4MO,18.5007,17.8846,17.3531,16.8817,18.0795,17.5711,17.3193,17.2478,103.283,50.0247,0.29698397435897433,0.23382375,0.18481126760563382,0.12905461393596987,0.26940000000000003,0.19202816901408454,0.14192090395480225,0.11270935960591133
KAIT4MO,16.2032,15.7118,15.3426,14.9494,15.8929,15.4953,15.362,15.3345,103.312,50.0191,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT4MO,17.4321,16.8485,16.4244,15.9936,17.0831,16.6219,16.457,16.405,103.223,50.0188,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT4MO,16.7787,16.1927,15.7881,15.3662,16.4157,15.9637,15.7715,15.7115,103.297,50.0182,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT4MO,17.7348,16.9915,16.4994,16.0468,17.3522,16.7612,16.5012,16.4087,103.249,50.0135,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT4MO,16.9284,16.2372,15.7395,15.2593,16.5116,15.9125,15.706,15.6131,103.341,50.0115,0.30050641025641023,0.23682375,0.18681126760563382,0.13105461393596987,0.2724,0.19402816901408454,0.14392090395480225,0.11370935960591133
KAIT4MO,16.1284,15.6076,15.2642,14.8306,15.8331,15.4411,15.2976,15.2474,15.8161,32.2644,0.257073717948718,0.2029225,0.16012394366197186,0.11192278719397364,0.2338,0.1663098591549296,0.12318079096045198,0.09780788177339901
KAIT4MO,16.6956,16.073,15.6241,15.1545,16.2978,15.7805,15.572,15.4887,15.8935,32.254,0.25007371794871797,0.19679375,0.15512394366197185,0.10885687382297551,0.22699999999999998,0.1613098591549296,0.11931073446327684,0.09480788177339901
KAIT4MO,18.4526,17.8478,17.409,16.8408,18.1294,17.602,17.3563,17.2438,15.8208,32.2482,0.2645512820512821,0.20805125000000002,0.16412394366197183,0.11492278719397364,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
KAIT4MO,18.0997,17.4045,16.9654,16.5101,17.6954,17.1261,16.9388,16.8968,15.8411,32.2197,0.263073717948718,0.20705125000000002,0.16346760563380283,0.11485687382297552,0.2386,0.17016901408450705,0.12531073446327684,0.10010837438423645
KAIT4MO,18.2572,17.474,16.8803,16.2102,17.8067,17.0664,16.7554,16.6323,15.9091,32.2027,0.2585512820512821,0.2039225,0.16046760563380283,0.11285687382297552,0.2348,0.16716901408450707,0.12331073446327684,0.09810837438423645
KAIT4MO,17.8912,17.3207,16.9162,16.4548,17.5556,17.1077,16.9257,16.8657,15.8521,32.1954,0.264073717948718,0.20805125000000002,0.16412394366197183,0.11492278719397364,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
KAIT4MO,16.3841,15.7036,15.2627,14.7273,15.9922,15.4546,15.2498,15.1732,15.8291,32.1945,0.264073717948718,0.20805125000000002,0.16412394366197183,0.11492278719397364,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
KAIT4MO,17.7048,17.0227,16.5085,16.0256,17.313,16.7073,16.4168,16.2921,339.92,8.63442,0.4158044871794872,0.3275275,0.2585295774647888,0.18145009416195856,0.37720000000000004,0.2683239436619719,0.19914124293785312,0.1578128078817734
KAIT4MO,18.8404,18.0034,17.4893,16.9975,18.4063,17.6891,17.4247,17.3099,339.848,8.61565,0.4148044871794872,0.32739875,0.25787323943661977,0.18138418079096044,0.3764,0.2681830985915494,0.19827118644067798,0.1578128078817734
