survey,NICKEL2MO-B,NICKEL2MO-V,NICKEL2MO-R,NICKEL2MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,NICKEL2MO-B_AV,NICKEL2MO-V_AV,NICKEL2MO-R_AV,NICKEL2MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
NICKEL2MO,17.4011,16.7598,16.3645,15.9095,16.9439,16.5097,16.3677,16.3434,103.326,50.0255,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
NICKEL2MO,18.6338,17.908,17.3448,16.825,18.0795,17.5711,17.3193,17.2478,103.283,50.0247,0.3117808695652174,0.23700375,0.18461408450704225,0.11041625615763546,0.26940000000000003,0.19202816901408454,0.14192090395480225,0.11270935960591133
NICKEL2MO,16.3093,15.7304,15.3369,14.9064,15.8929,15.4953,15.362,15.3345,103.312,50.0191,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
NICKEL2MO,17.5581,16.8707,16.4179,15.9455,17.0831,16.6219,16.457,16.405,103.223,50.0188,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
NICKEL2MO,16.9052,16.215,15.7819,15.3198,16.4157,15.9637,15.7715,15.7115,103.297,50.0182,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
NICKEL2MO,17.8953,17.0198,16.4919,15.9939,17.3522,16.7612,16.5012,16.4087,103.249,50.0135,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
NICKEL2MO,17.0776,16.2635,15.7318,15.2043,16.5116,15.9125,15.706,15.6131,103.341,50.0115,0.3148521739130435,0.24000375000000002,0.18661408450704225,0.11141625615763547,0.2724,0.19402816901408454,0.14392090395480225,0.11370935960591133
NICKEL2MO,16.2408,15.6274,15.259,14.7868,15.8331,15.4411,15.2976,15.2474,15.8161,32.2644,0.269495652173913,0.2056825,0.1599549295774648,0.09587684729064039,0.2338,0.1663098591549296,0.12318079096045198,0.09780788177339901
NICKEL2MO,16.8301,16.0966,15.6172,15.1028,16.2978,15.7805,15.572,15.4887,15.8935,32.254,0.2623530434782609,0.19949375,0.1549549295774648,0.09287684729064039,0.22699999999999998,0.1613098591549296,0.11931073446327684,0.09480788177339901
NICKEL2MO,18.5832,17.8708,17.4023,16.7837,18.1294,17.602,17.3563,17.2438,15.8208,32.2482,0.27749565217391303,0.21087125,0.1639549295774648,0.09805665024630542,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
NICKEL2MO,18.2498,17.4309,16.9588,16.46,17.6954,17.1261,16.9388,16.8968,15.8411,32.2197,0.27549565217391303,0.20987125,0.16328450704225353,0.09805665024630542,0.2386,0.17016901408450705,0.12531073446327684,0.10010837438423645
NICKEL2MO,18.4264,17.5038,16.8711,16.1388,17.8067,17.0664,16.7554,16.6323,15.9091,32.2027,0.271424347826087,0.2066825,0.16028450704225353,0.09605665024630541,0.2348,0.16716901408450707,0.12331073446327684,0.09810837438423645
NICKEL2MO,18.0144,17.3424,16.91,16.406,17.5556,17.1077,16.9257,16.8657,15.8521,32.1954,0.27649565217391303,0.21087125,0.1639549295774648,0.09805665024630542,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
NICKEL2MO,16.5311,15.7295,15.256,14.6723,15.9922,15.4546,15.2498,15.1732,15.8291,32.1945,0.27649565217391303,0.21087125,0.1639549295774648,0.09805665024630542,0.2396,0.1703098591549296,0.12618079096045198,0.10010837438423645
