survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,15.9023,15.3662,15.1921,15.1141,15.8319,15.3528,15.1878,15.1351,308.512,0.651612,0.328923,0.226946,0.167983,0.126135,0.317453,0.225606,0.166661,0.132611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.7978,16.1219,15.8806,15.7637,16.6984,16.1203,15.886,15.801,308.512,0.311652,0.387909,0.266823,0.197814,0.14816,0.374404,0.265324,0.196271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.6903,18.3514,18.2387,18.1932,18.6589,18.3581,18.2503,18.2006,308.512,1.10289,0.311926,0.215008,0.15904,0.119129,0.301011,0.213746,0.157791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.5062,16.8589,16.6276,16.5089,17.4113,16.8552,16.6317,16.5365,308.512,1.18271,0.317925,0.219008,0.16204,0.121135,0.306825,0.217746,0.160791,0.127611,17.5434,16.8614,16.6345,16.5108,17.5321,16.8614,16.6345,16.5108,4231496067438455424
SDSS,18.7489,17.9959,17.7359,17.6126,18.64,17.9829,17.7487,17.6564,308.512,0.786574,0.315926,0.218008,0.16104,0.121129,0.305011,0.216746,0.159791,0.12731,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.5979,15.6358,15.2996,15.1074,16.4446,15.6284,15.3062,15.1568,308.512,-0.567966,0.59786,0.412141,0.306136,0.229246,0.57714,0.409775,0.303712,0.24102,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.9308,17.256,17.0346,16.9069,17.8052,17.2585,17.0395,16.9556,308.513,-0.0803695,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.1028,17.5468,17.3603,17.2743,18.0311,17.5443,17.3598,17.2968,308.513,1.24807,0.324924,0.223946,0.165983,0.124135,0.313639,0.222606,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.5026,16.8854,16.6506,16.5224,17.4192,16.8628,16.6476,16.5533,308.514,-0.923408,0.622854,0.429079,0.318079,0.238265,0.601209,0.426634,0.315582,0.250921,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,15.7966,15.1797,14.9518,14.8374,15.6996,15.1749,14.947,14.8639,308.514,-0.569399,0.59786,0.412141,0.306136,0.229246,0.57714,0.409775,0.303712,0.24102,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.2497,17.6631,17.4681,17.3601,18.1829,17.6704,17.4658,17.395,308.514,1.06489,0.323924,0.223008,0.165983,0.124135,0.312639,0.221746,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.7371,18.1868,17.9761,17.8882,18.6705,18.1858,17.9913,17.9079,308.514,1.08901,0.317926,0.219008,0.162983,0.122129,0.307011,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.7809,17.9065,17.6029,17.4314,18.647,17.904,17.6038,17.4807,308.515,1.15599,0.319925,0.220008,0.16304,0.122135,0.308825,0.218746,0.161791,0.128611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.745,15.9703,15.6763,15.5133,16.63,15.9575,15.6608,15.5346,308.516,-0.936009,0.619854,0.427079,0.317023,0.237259,0.598209,0.424634,0.314452,0.249621,16.7759,15.9668,15.6768,15.4973,16.763,15.9668,15.6768,15.4973,4226471707319620096
