survey,ZTFS-g,ZTFS-r,ZTFS-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFS-g_AV,ZTFS-r_AV,ZTFS-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTF,16.0331,15.658,15.5149,16.0564,15.6448,15.4764,15.4366,254.739,61.8833,0.13175,0.08755492957746479,0.06303389830508474,0.128,0.0911549295774648,0.06796045197740114,0.053704433497536945
ZTF,17.5996,17.0627,16.8497,17.6444,17.0875,16.8732,16.7947,248.807,51.9428,0.09905,0.06529577464788733,0.047525423728813555,0.09620000000000001,0.06829577464788734,0.051220338983050846,0.04010344827586207
ZTF,16.8356,16.5927,16.4964,16.8564,16.5583,16.4571,16.4385,250.363,50.2905,0.0545,0.0357774647887324,0.02576271186440678,0.053,0.037577464788732404,0.027610169491525425,0.022201970443349754
ZTF,17.0268,16.5684,16.4039,17.0672,16.5509,16.3622,16.2997,238.794,37.8591,0.058449999999999995,0.038777464788732396,0.028016949152542374,0.056799999999999996,0.0405774647887324,0.030480225988700566,0.024201970443349752
ZTF,17.4257,17.044,16.9146,17.4385,17.0287,16.8645,16.8322,233.956,58.5825,0.040600000000000004,0.02651830985915493,0.019508474576271185,0.039400000000000004,0.027718309859154935,0.020740112994350284,0.01660098522167488
ZTF,16.5348,16.1987,16.0651,16.5542,16.1656,16.0285,15.9925,239.894,27.5728,0.13965,0.09181408450704226,0.06677966101694915,0.1356,0.09601408450704227,0.07109039548022598,0.05670443349753695
ZTF,17.2818,16.7832,16.5881,17.2918,16.7724,16.5718,16.4831,258.837,52.0298,0.06835000000000001,0.04503661971830986,0.03276271186440678,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
ZTF,15.9005,15.2542,15.0313,15.9088,15.2409,15.0018,14.9212,230.144,57.8142,0.0396,0.02651830985915493,0.01876271186440678,0.038400000000000004,0.027718309859154935,0.020610169491525426,0.015901477832512313
ZTF,17.1483,16.7755,16.6431,17.1363,16.7558,16.6011,16.5714,256.843,37.5621,0.0981,0.06529577464788733,0.047271186440677966,0.0954,0.06829577464788734,0.050350282485875704,0.04010344827586207
ZTF,17.851,17.1522,16.8904,17.835,17.142,16.8527,16.7361,262.579,42.0498,0.08814999999999999,0.05829577464788733,0.04227118644067797,0.0856,0.06129577464788734,0.045350282485875706,0.03580295566502463
