survey,ZTFS-g,ZTFS-r,ZTFS-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFS-g_AV,ZTFS-r_AV,ZTFS-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFS,16.2774,15.9321,15.8102,16.2975,15.9096,15.7573,15.7347,241.506,59.5051,0.0485,0.0317774647887324,0.02276271186440678,0.047,0.0335774647887324,0.024610169491525426,0.019901477832512313
ZTFS,16.4467,16.0903,15.9413,16.4504,16.0741,15.9281,15.89,242.317,72.6355,0.0872,0.05803661971830986,0.04127118644067797,0.0848,0.06043661971830987,0.044350282485875706,0.03580295566502463
ZTFS,17.8752,17.2991,17.1066,17.8745,17.2801,17.0714,16.9879,249.92,44.6414,0.04065,0.027518309859154932,0.019508474576271185,0.0396,0.028718309859154936,0.020740112994350284,0.016901477832512314
ZTFS,16.2194,15.7305,15.5515,16.2442,15.7167,15.5161,15.4439,219.28,58.5695,0.0218,0.014259154929577465,0.010254237288135593,0.0212,0.014859154929577467,0.01087005649717514,0.008600985221674877
ZTFS,17.553,16.9294,16.7014,17.5326,16.9128,16.6703,16.5669,235.756,79.5471,0.1278,0.0845549295774648,0.06077966101694915,0.1242,0.0881549295774648,0.065090395480226,0.05170443349753695
ZTFS,16.6962,16.1879,16.013,16.7028,16.1667,15.9715,15.9012,215.573,36.5447,0.02675,0.01751830985915493,0.012508474576271187,0.026,0.018718309859154934,0.013740112994350283,0.010600985221674877
ZTFS,16.2682,15.9797,15.8743,16.304,15.9425,15.8175,15.7907,221.776,21.6507,0.0852,0.05603661971830986,0.04027118644067797,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
ZTFS,17.2395,17.034,16.953,17.2649,17.0052,16.9016,16.8827,232.902,32.7948,0.09215,0.06103661971830986,0.04427118644067796,0.0896,0.06343661971830987,0.04735028248587571,0.03780295566502463
ZTFS,16.8435,16.1623,15.9144,16.8405,16.1571,15.8901,15.7756,253.716,53.2985,0.22785,0.15085070422535213,0.10905084745762711,0.2214,0.15745070422535215,0.11644067796610169,0.092807881773399
ZTFS,15.6948,15.3824,15.2643,15.7162,15.3525,15.2241,15.1991,248.038,73.7595,0.09905,0.06529577464788733,0.047271186440677966,0.09620000000000001,0.06829577464788734,0.050350282485875704,0.04010344827586207
ZTFS,17.4297,16.8907,16.6361,17.4348,16.8732,16.6371,16.5519,253.342,39.9176,0.060399999999999995,0.0397774647887324,0.02876271186440678,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTFS,16.1898,15.8827,15.7952,16.2077,15.856,15.7397,15.7349,230.222,59.0908,0.02775,0.01851830985915493,0.013508474576271187,0.027,0.019718309859154935,0.014740112994350282,0.011600985221674876
ZTFS,15.755,15.5242,15.4354,15.7822,15.4894,15.3838,15.3725,226.385,16.7447,0.08020000000000001,0.05303661971830986,0.03801694915254237,0.07780000000000001,0.05543661971830987,0.04048022598870057,0.03250246305418719
ZTFS,16.8894,16.2897,16.0717,16.886,16.2604,16.0308,15.9435,222.776,65.6677,0.04655,0.030777464788732396,0.022508474576271184,0.0452,0.0325774647887324,0.023740112994350283,0.018901477832512316
ZTFS,16.7185,16.4181,16.2986,16.7107,16.3967,16.2441,16.2066,249.691,79.7308,0.16545,0.10933239436619718,0.07928813559322034,0.1608,0.11473239436619721,0.08483050847457627,0.06730541871921182
ZTFS,16.3798,16.0636,15.9394,16.4118,16.0399,15.9054,15.8772,236.727,39.6839,0.0436,0.028777464788732398,0.02076271186440678,0.0424,0.0305774647887324,0.022610169491525424,0.017901477832512315
ZTFS,17.7853,17.1717,16.9628,17.7879,17.1347,16.9175,16.8359,217.408,78.5191,0.09905,0.06529577464788733,0.047525423728813555,0.09620000000000001,0.06829577464788734,0.051220338983050846,0.04010344827586207
ZTFS,16.6203,16.0979,15.9308,16.6255,16.078,15.8918,15.8197,223.491,30.1093,0.0624,0.0407774647887324,0.02976271186440678,0.0606,0.0425774647887324,0.031610169491525425,0.025201970443349753
ZTFS,16.9781,16.5352,16.3779,16.9823,16.5022,16.3372,16.2889,244.167,72.6328,0.10105,0.0665549295774648,0.04827118644067797,0.0982,0.0701549295774648,0.051350282485875705,0.04110344827586207
ZTFS,17.6875,17.1924,17.0172,17.6934,17.1624,16.9491,16.8719,228.961,71.4957,0.07429999999999999,0.04903661971830986,0.03501694915254237,0.0722,0.051436619718309866,0.037480225988700565,0.030502463054187193
ZTFS,16.6155,16.1917,16.0483,16.6178,16.1591,15.9943,15.9683,264.135,39.8879,0.1308,0.08681408450704226,0.06277966101694915,0.1272,0.09101408450704226,0.067090395480226,0.053704433497536945
ZTFS,17.3547,16.9472,16.7879,17.3616,16.9217,16.7488,16.6859,227.977,43.4974,0.0535,0.03551830985915493,0.02576271186440678,0.052,0.03671830985915493,0.027610169491525425,0.021901477832512315
ZTFS,16.8019,16.3887,16.2352,16.7927,16.3558,16.193,16.1222,224.676,74.4076,0.07529999999999999,0.05003661971830986,0.036016949152542374,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
ZTFS,16.8133,16.4473,16.3132,16.8049,16.4424,16.2998,16.2706,264.454,54.1311,0.1238,0.0815549295774648,0.058779661016949154,0.1202,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTFS,16.3283,16.0241,15.9113,16.3461,15.9988,15.8693,15.8447,240.441,50.9124,0.0644,0.0427774647887324,0.031016949152542373,0.0626,0.0445774647887324,0.03348022598870057,0.026201970443349754
