survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SWIFT-B_AV,SWIFT-V_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
swift,17.1641,16.2675,16.5794,15.9377,15.7106,15.6333,139.414,41.8908,0.07303846153846154,0.05541375,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
swift,17.4363,16.5674,16.8796,16.2149,15.979,15.8973,139.381,41.917,0.07219871794871795,0.05541375,0.0644,0.0455774647887324,0.03361016949152543,0.026502463054187193
swift,16.6892,16.0688,16.2657,15.8528,15.6948,15.6497,139.297,41.9315,0.07219871794871795,0.055305,0.0636,0.0455774647887324,0.03348022598870057,0.026502463054187193
swift,16.3008,15.4638,15.735,15.1017,14.8473,14.7512,185.71,15.8492,0.09487820512820513,0.07274,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
swift,16.3724,15.7417,15.8449,15.4666,15.3291,15.291,185.705,15.8441,0.09487820512820513,0.07274,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
swift,17.3062,16.5606,16.8088,16.28,16.091,16.0235,215.571,-0.4504,0.1453974358974359,0.1108275,0.1288,0.0911549295774648,0.06796045197740114,0.053704433497536945
swift,16.084,15.2587,15.5565,14.938,14.6903,14.5748,215.66,-0.3529,0.1403974358974359,0.10761,0.1242,0.0881549295774648,0.065090395480226,0.05170443349753695
swift,15.8273,15.1684,15.388,14.9489,14.8034,14.7639,171.327,-9.78407,0.1522371794871795,0.1168275,0.1348,0.09601408450704227,0.07096045197740113,0.05670443349753695
swift,16.0143,15.2518,15.5303,14.9992,14.8107,14.7338,171.324,-9.80321,0.1512371794871795,0.1148275,0.1328,0.09501408450704227,0.07009039548022598,0.05570443349753695
swift,15.9926,15.3073,15.5351,15.0431,14.8922,14.8439,171.326,-9.76904,0.1532371794871795,0.11693625,0.1356,0.09601408450704227,0.07109039548022598,0.05670443349753695
swift,16.009,15.4446,15.6561,15.284,15.1604,15.1352,171.239,-9.78175,0.1482371794871795,0.1128275,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
