survey,CFA4P1-B,CFA4P1-V,CFA4P1-r,CFA4P1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P1-B_AV,CFA4P1-V_AV,CFA4P1-r_AV,CFA4P1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA4P1-B,GAIA_CFA4P1-V,GAIA_CFA4P1-r,GAIA_CFA4P1-i
CFA4,18.1611,17.4947,17.2543,17.037,17.7364,17.2618,17.0607,16.9693,245.557,-1.44019,0.408981,0.312834,0.255755,0.187949,0.3628,0.258324,0.191271,0.151813,-999,-999,-999,-999,-999
CFA4,16.1224,15.4225,15.1875,14.9925,15.6898,15.1891,15.0012,14.9355,245.557,-1.52728,0.423747,0.324122,0.264755,0.194661,0.3762,0.267324,0.198141,0.157813,-999,-999,-999,-999,-999
CFA4,17.7822,17.0796,16.8104,16.5769,17.3569,16.8195,16.5823,16.4911,245.556,-1.52309,0.423747,0.324122,0.264755,0.194661,0.3762,0.267324,0.198141,0.157813,-999,-999,-999,-999,-999
CFA4,16.4671,15.7822,15.5364,15.3347,16.0783,15.5662,15.3694,15.2992,245.553,-1.42711,0.408981,0.312834,0.255755,0.187949,0.3628,0.258324,0.191271,0.151813,-999,-999,-999,-999,-999
CFA4,17.2315,16.4945,16.2455,16.004,16.7762,16.2425,16.0206,15.9169,245.548,-1.47222,0.416981,0.319026,0.260755,0.191949,0.3704,0.263324,0.195271,0.154813,4406928439050862976,17.1187,16.4983,16.2423,16.0158
CFA4,17.2351,16.4712,16.1677,15.9101,16.7726,16.1815,15.9379,15.8152,245.544,-1.56595,0.426747,0.327026,0.266479,0.195949,0.3784,0.269183,0.199271,0.158113,-999,-999,-999,-999,-999
CFA4,17.2109,16.4813,16.2249,15.9939,16.7676,16.2337,16.0182,15.9379,245.543,-1.48489,0.416981,0.319026,0.260755,0.191949,0.3704,0.263324,0.195271,0.154813,4406926961582112128,17.1422,16.4892,16.2289,16.0141
CFA4,17.11,16.4018,16.1304,15.8673,16.6689,16.1263,15.8681,15.7555,245.54,-1.59137,0.431747,0.330219,0.269479,0.198661,0.383,0.272183,0.202141,0.160113,-999,-999,-999,-999,-999
CFA4,18.2459,17.6929,17.4717,17.2843,17.8614,17.4671,17.2999,17.2222,245.53,-1.45296,0.417981,0.31993,0.261479,0.191949,0.3706,0.264183,0.195271,0.155113,-999,-999,-999,-999,-999
CFA4,18.1658,17.4353,17.1842,16.9756,17.6966,17.1837,16.9674,16.8757,245.514,-1.52016,0.430747,0.330219,0.269479,0.197949,0.383,0.272183,0.201271,0.160113,4406926716767440512,18.0578,17.4348,17.176,16.9703
CFA4,18.4346,17.7775,17.5585,17.372,18.0525,17.5851,17.3851,17.3011,245.504,-1.60404,0.443513,0.339411,0.277203,0.203661,0.3936,0.280042,0.207141,0.164414,-999,-999,-999,-999,-999
CFA4,17.8926,17.4725,17.324,17.1254,17.6848,17.3381,17.2005,17.1362,245.497,-1.42626,0.414981,0.31793,0.259755,0.190949,0.3686,0.262324,0.194271,0.153813,4406929744720922368,17.9405,17.5086,17.3419,17.1946
CFA4,18.007,17.0051,16.6087,16.3017,17.356,16.5881,16.284,16.1458,245.496,-1.5734,0.441513,0.337411,0.276203,0.202661,0.3916,0.279042,0.206141,0.164113,-999,-999,-999,-999,-999
CFA4,17.5173,16.5415,16.1536,15.8565,16.912,16.1339,15.8417,15.7041,245.49,-1.58028,0.441513,0.337411,0.276203,0.202661,0.3916,0.279042,0.206141,0.164113,-999,-999,-999,-999,-999
CFA4,17.8002,17.0186,16.7558,16.5261,17.299,16.766,16.5441,16.455,245.489,-1.49891,0.431747,0.331122,0.270479,0.198661,0.3832,0.273183,0.202141,0.160113,4406927064661086976,17.6902,17.0325,16.765,16.545
CFA4,17.6457,17.0694,16.9049,16.8565,17.5509,17.2106,17.0866,17.0241,245.483,-1.52239,0.436747,0.334315,0.273479,0.200661,0.3878,0.276183,0.204141,0.162113,-999,-999,-999,-999,-999
CFA4,17.1976,16.3639,16.0562,15.7967,16.7047,16.0834,15.8279,15.7167,245.482,-1.44312,0.423747,0.324122,0.264755,0.194661,0.3762,0.267324,0.198141,0.157113,-999,-999,-999,-999,-999
CFA4,18.3307,17.4803,17.1651,16.8691,17.7881,17.156,16.8968,16.7707,245.48,-1.45867,0.423747,0.324122,0.264755,0.194661,0.3762,0.267324,0.198141,0.157113,-999,-999,-999,-999,-999
CFA4,18.6997,17.7713,17.4208,17.1283,18.0888,17.393,17.1095,16.9915,245.479,-1.58956,0.444513,0.340411,0.278203,0.204373,0.3946,0.281042,0.208011,0.165414,-999,-999,-999,-999,-999
CFA4,16.1729,15.5233,15.3021,15.1107,15.7808,15.3242,15.1394,15.081,245.477,-1.44084,0.419747,0.321026,0.262479,0.192949,0.3724,0.265183,0.196271,0.155813,4406928232892195584,16.1091,15.5369,15.313,15.135
CFA4,16.8341,16.1297,15.8765,15.6576,16.4003,15.8926,15.6869,15.6064,245.469,-1.44845,0.423747,0.324122,0.264755,0.194661,0.3762,0.267324,0.198141,0.157113,4406928129812980352,16.7461,16.1349,15.8877,15.6817
CFA4,17.1677,16.611,16.4475,16.3284,16.7959,16.438,16.3221,16.2872,245.467,-1.53264,0.439513,0.336315,0.274479,0.201661,0.3898,0.277183,0.205141,0.163113,-999,-999,-999,-999,-999
CFA4,18.2615,17.8386,17.7136,17.599,18.0181,17.7118,17.6013,17.5697,209.647,-23.3049,0.251788,0.193235,0.157687,0.116254,0.2242,0.15931,0.118311,0.0938079,-999,-999,-999,-999,-999
CFA4,17.2745,16.676,16.4794,16.3105,16.8772,16.4919,16.33,16.2692,209.643,-23.4362,0.248788,0.191139,0.155687,0.114542,0.2214,0.15731,0.116441,0.0925074,-999,-999,-999,-999,-999
CFA4,18.164,17.5348,17.3072,16.9348,17.7776,17.3201,17.0199,17.0973,209.64,-23.3209,0.255788,0.196235,0.159687,0.117254,0.2272,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999
CFA4,17.5128,16.9004,16.7209,16.5543,17.1137,16.7179,16.5686,16.5293,209.638,-23.3453,0.255788,0.196235,0.159687,0.117254,0.2272,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999
CFA4,17.1833,16.4416,16.1531,15.9255,16.7254,16.1631,15.9466,15.857,209.637,-23.4341,0.248788,0.191139,0.155687,0.114542,0.2214,0.15731,0.116441,0.0925074,-999,-999,-999,-999,-999
CFA4,18.0229,17.4513,17.3124,17.1401,17.673,17.307,17.1557,17.119,209.621,-23.3142,0.253788,0.194235,0.158687,0.117254,0.2252,0.16031,0.119311,0.0948079,6275578618304227968,17.954,17.4712,17.302,17.1746
CFA4,16.312,15.4877,15.1725,14.9235,15.8316,15.1989,14.9664,14.8585,209.616,-23.336,0.256788,0.197235,0.160687,0.118254,0.2282,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA4,18.6446,17.968,17.766,17.5697,18.2007,17.7531,17.5988,17.5134,209.615,-23.4507,0.251788,0.193235,0.157687,0.116254,0.2242,0.15931,0.118311,0.0938079,-999,-999,-999,-999,-999
CFA4,17.4211,16.7147,16.4989,16.2939,16.9695,16.4956,16.3167,16.2398,209.612,-23.3555,0.256554,0.196331,0.160687,0.118254,0.228,0.16231,0.120311,0.0951084,-999,-999,-999,-999,-999
CFA4,17.1339,16.2277,15.8431,15.556,16.5822,15.8503,15.5724,15.4546,209.605,-23.4408,0.250788,0.192139,0.156687,0.115254,0.2224,0.15831,0.117311,0.0928079,-999,-999,-999,-999,-999
CFA4,17.5969,17.0058,16.7868,16.6352,17.2129,16.8009,16.657,16.6124,209.6,-23.2957,0.251554,0.192235,0.156963,0.115254,0.2232,0.158451,0.117311,0.0935074,6275578687023705984,17.5252,17.0041,16.7902,16.6615
CFA4,17.9965,17.1414,16.7782,16.5609,17.5039,16.7975,16.5536,16.4382,209.598,-23.3984,0.252554,0.193235,0.157687,0.116254,0.2242,0.15931,0.118311,0.0938079,-999,-999,-999,-999,-999
CFA4,18.28,17.5327,17.2913,17.0556,17.8374,17.3153,17.0948,17.0022,209.593,-23.3013,0.254788,0.195235,0.159687,0.117254,0.2262,0.16131,0.119311,0.0948079,6275578510930014848,18.2297,17.5638,17.3227,17.095
CFA4,18.4322,17.7677,17.5294,17.2834,18.0311,17.5193,17.3041,17.2156,209.588,-23.349,0.260554,0.199331,0.162687,0.119966,0.231,0.16431,0.122181,0.0968079,-999,-999,-999,-999,-999
CFA4,16.4744,15.7355,15.4716,15.2553,16.037,15.5,15.2851,15.2111,209.587,-23.3108,0.257554,0.197235,0.160687,0.118254,0.2282,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA4,18.4091,17.8422,17.6328,17.4542,17.9951,17.6439,17.4574,17.4057,209.579,-23.4354,0.253788,0.194235,0.158687,0.117254,0.2252,0.16031,0.119311,0.0948079,-999,-999,-999,-999,-999
CFA4,18.8804,18.0245,17.799,17.6313,18.2639,17.824,17.6438,17.5818,209.576,-23.4387,0.253788,0.194235,0.158687,0.117254,0.2252,0.16031,0.119311,0.0948079,-999,-999,-999,-999,-999
CFA4,15.9532,15.1901,14.922,14.7263,15.5385,14.9859,14.7841,14.7112,209.568,-23.4153,0.254554,0.195235,0.159687,0.117254,0.2262,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999
CFA4,16.6956,16.137,15.9543,15.8124,16.3507,15.9703,15.8403,15.8027,209.565,-23.317,0.253788,0.194235,0.158687,0.116254,0.2252,0.16031,0.118311,0.0945074,-999,-999,-999,-999,-999
CFA4,18.7147,18.1784,17.9466,17.8242,18.2765,17.9274,17.778,17.7264,209.56,-23.3986,0.258554,0.198331,0.161687,0.119254,0.23,0.16331,0.121311,0.0958079,-999,-999,-999,-999,-999
CFA4,17.5426,16.8669,16.6522,16.4533,17.096,16.6516,16.4653,16.3868,209.558,-23.4174,0.258554,0.198331,0.161687,0.119254,0.23,0.16331,0.121311,0.0958079,-999,-999,-999,-999,-999
CFA4,18.1756,17.618,17.4502,17.3487,17.907,17.5052,17.3241,17.254,209.553,-23.3852,0.260554,0.199428,0.162687,0.119966,0.2318,0.16431,0.122181,0.0968079,-999,-999,-999,-999,-999
CFA4,17.5031,16.9547,16.771,16.6435,17.1695,16.7839,16.6406,16.6159,209.552,-23.391,0.260554,0.199428,0.162687,0.119966,0.2318,0.16431,0.122181,0.0968079,-999,-999,-999,-999,-999
CFA4,16.3787,15.7244,15.5182,15.3271,15.9706,15.5273,15.3618,15.2933,209.544,-23.3334,0.259554,0.199331,0.162687,0.119254,0.231,0.16431,0.121311,0.0968079,-999,-999,-999,-999,-999
CFA4,18.4211,17.8132,17.5504,17.4293,17.9586,17.5474,17.4152,17.3697,209.534,-23.3516,0.258554,0.198235,0.161687,0.118966,0.2292,0.16331,0.121181,0.0958079,-999,-999,-999,-999,-999
CFA4,17.4018,16.6713,16.416,16.2259,16.9136,16.3861,16.1982,16.1245,209.509,-23.4548,0.259788,0.199331,0.162687,0.119254,0.231,0.16431,0.121311,0.0968079,6275201210938145152,17.2977,16.6388,16.3853,16.2035
CFA4,16.2942,15.5702,15.3191,15.1432,15.8221,15.3256,15.1576,15.0972,209.508,-23.3662,0.256788,0.196331,0.160687,0.118254,0.228,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA4,16.4582,15.8132,15.6027,15.4435,16.0506,15.6295,15.4799,15.429,209.504,-23.3207,0.252788,0.193235,0.157963,0.116254,0.2242,0.159451,0.118311,0.0938079,-999,-999,-999,-999,-999
CFA4,18.5531,17.9462,17.74,17.6421,18.1426,17.7496,17.5698,17.522,209.502,-23.3413,0.252788,0.193235,0.157963,0.116254,0.2242,0.159451,0.118311,0.0938079,-999,-999,-999,-999,-999
CFA4,18.0313,17.075,16.6957,16.4105,17.4057,16.7026,16.4111,16.2907,209.498,-23.3684,0.256788,0.196331,0.160687,0.118254,0.228,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA4,18.723,18.0343,17.7811,17.6564,18.2296,17.8092,17.6493,17.5998,209.497,-23.3517,0.256788,0.196331,0.160687,0.118254,0.228,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA4,16.005,15.3768,15.1716,15.0102,15.633,15.2122,15.057,15.0191,209.497,-23.2887,0.247022,0.189139,0.154687,0.113542,0.2194,0.15631,0.115441,0.0918079,-999,-999,-999,-999,-999
CFA4,17.6243,16.9821,16.8015,16.6319,17.2286,16.8198,16.6538,16.5835,209.488,-23.3196,0.248788,0.190139,0.155687,0.114254,0.2204,0.15731,0.116311,0.0925074,-999,-999,-999,-999,-999
CFA4,18.1991,17.5142,17.1862,16.9449,17.7469,17.2033,16.9673,16.8834,209.484,-23.442,0.260554,0.199331,0.162687,0.119966,0.231,0.16431,0.122181,0.0968079,6275200558103117312,18.1828,17.4767,17.1894,16.9625
CFA4,16.974,16.3448,16.1386,15.9516,16.5632,16.1305,15.958,15.9031,212.251,-21.5561,0.277321,0.21262,0.173411,0.126966,0.2464,0.175169,0.129181,0.103108,6277345499130318976,16.8719,16.3429,16.1268,15.9493
CFA4,16.6489,16.0178,15.8127,15.6584,16.2366,15.8183,15.6506,15.6162,212.248,-21.6589,0.287321,0.219812,0.180135,0.131966,0.255,0.182028,0.134181,0.106409,-999,-999,-999,-999,-999
CFA4,16.7995,16.2205,16.0154,15.8703,16.4214,16.0277,15.8807,15.8416,212.248,-21.6025,0.290087,0.221909,0.181411,0.133678,0.2578,0.183169,0.136051,0.107709,6277345052453787776,16.6959,16.2141,16.0255,15.8822
CFA4,17.316,16.7863,16.6324,16.4812,16.9796,16.6375,16.4803,16.4579,212.229,-21.5555,0.277321,0.21262,0.173411,0.126966,0.2464,0.175169,0.129181,0.103108,-999,-999,-999,-999,-999
CFA4,16.7468,15.8388,15.4755,15.2101,16.2038,15.4887,15.227,15.1294,212.221,-21.5279,0.266554,0.204428,0.166687,0.122966,0.2368,0.16831,0.125181,0.0991084,-999,-999,-999,-999,-999
CFA4,16.2394,15.5991,15.395,15.2243,15.8296,15.3975,15.23,15.1865,212.221,-21.5939,0.290087,0.222812,0.181411,0.133678,0.258,0.183169,0.136051,0.107709,6277339451816363648,16.135,15.5912,15.3844,15.2154
CFA4,18.3653,17.7611,17.5208,17.3311,17.9497,17.5527,17.371,17.3125,212.216,-21.5855,0.290087,0.222812,0.181411,0.133678,0.258,0.183169,0.136051,0.107709,-999,-999,-999,-999,-999
CFA4,18.3014,17.6406,17.4226,17.2361,17.825,17.3956,17.2241,17.1798,212.212,-21.6542,0.291087,0.222909,0.182135,0.133678,0.2588,0.184028,0.136051,0.108409,-999,-999,-999,-999,-999
