survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3K-U,GAIA_CFA3K-B,GAIA_CFA3K-V,GAIA_CFA3K-r,GAIA_CFA3K-i
CFA3K,16.9603,16.402,16.2242,16.0792,16.579,16.1979,16.0526,16.0139,38.9748,-17.337,0.0865962,0.067475,0.0540085,0.0394633,0.0772063,0.0544366,0.0404802,0.0325025,5132378853775846912,17.6592,16.8647,16.3855,16.2032,16.0576
CFA3K,16.8564,16.2722,16.0737,15.8997,16.5488,16.112,15.9442,15.9029,32.7981,35.0206,0.333385,0.25957,0.209282,0.151469,0.297198,0.210887,0.155791,0.12431,329376201503367040,17.8859,16.9102,16.3501,16.1324,15.9706
CFA3K,17.4404,16.6255,16.4232,16.1603,16.9501,16.4151,16.1972,16.1185,32.7965,34.9154,0.325619,0.253405,0.204282,0.148469,0.290384,0.205887,0.152791,0.12101,329374311717767808,18.401,17.3564,16.7077,16.4206,16.1956
CFA3K,17.1579,16.5662,16.3877,16.2015,16.767,16.3584,16.2017,16.1411,32.7266,34.9412,0.318619,0.248075,0.19953,0.144853,0.283756,0.201028,0.148921,0.11801,329375479948870784,17.9439,17.1108,16.5728,16.3583,16.1911
CFA3K,17.0107,16.52,16.3724,16.2183,16.7219,16.3907,16.249,16.2229,32.691,35.0495,0.321619,0.25024,0.201282,0.146469,0.28657,0.202887,0.150791,0.12001,329388948966300160,17.6928,16.9806,16.5538,16.3877,16.2632
CFA3K,16.2459,15.6587,15.4864,15.318,15.8445,15.4803,15.3087,15.2631,32.6339,34.9555,0.312619,0.24291,0.196282,0.141853,0.277942,0.197887,0.145921,0.11601,329381561622490368,16.8743,16.1367,15.6722,15.4642,15.3053
CFA3K,16.7961,16.0157,15.7334,15.503,16.3299,15.7569,15.5208,15.4373,32.6214,35.0207,0.317619,0.247075,0.199282,0.144469,0.282756,0.200887,0.148791,0.11801,329382794277653248,18.0084,16.7728,16.0636,15.7463,15.5196
CFA3K,16.6906,15.8647,15.5647,15.2877,16.2001,15.5719,15.3036,15.1971,32.6172,34.9996,0.317619,0.247075,0.199282,0.144469,0.282756,0.200887,0.148791,0.11801,329382558054898944,17.8601,16.6588,15.9083,15.564,15.2978
CFA3K,16.632,16.0289,15.8486,15.6885,16.2474,15.838,15.6879,15.6539,126.811,21.5914,0.150426,0.11729,0.0942648,0.0683107,0.134158,0.0950141,0.0700904,0.0557044,-999,-999,-999,-999,-999,-999
CFA3K,16.0096,15.3812,15.1939,15.0468,15.6357,15.1846,15.0378,15.0129,126.793,21.5567,0.149426,0.11629,0.0942648,0.0679266,0.133158,0.0950141,0.0699605,0.0557044,664207728731842816,16.8727,15.9465,15.3956,15.1784,15.0419
CFA3K,16.501,15.9419,15.777,15.6349,16.1617,15.7595,15.6201,15.5999,126.79,21.5656,0.149426,0.11629,0.0942648,0.0679266,0.133158,0.0950141,0.0699605,0.0557044,664207728731758976,17.2107,16.441,15.9568,15.7595,15.6298
CFA3K,15.9316,15.2705,15.0616,14.8745,15.5651,15.1015,14.9124,14.8768,126.778,21.7313,0.165192,0.12862,0.103265,0.0749266,0.146785,0.104014,0.0769605,0.0613054,664258374986101632,16.9412,15.934,15.3359,15.0904,14.9205
CFA3K,16.4983,15.9315,15.7736,15.6555,16.1012,15.7387,15.6292,15.6132,126.703,21.5642,0.153426,0.119455,0.0962648,0.0699266,0.136971,0.0970141,0.0719605,0.0570049,-999,-999,-999,-999,-999,-999
CFA3K,16.1193,15.6009,15.459,15.3282,15.8164,15.4651,15.3389,15.3319,126.696,21.6968,0.172958,0.13395,0.108017,0.0785424,0.153413,0.108873,0.0808305,0.0643054,-999,-999,-999,-999,-999,-999
CFA3K,15.6441,15.2384,15.127,15.0104,15.4066,15.1206,15.0211,15.0313,132.395,36.1584,0.118894,0.092465,0.0745127,0.0536949,0.106089,0.0751549,0.0552203,0.0441034,-999,-999,-999,-999,-999,-999
CFA3K,17.5591,16.9624,16.7646,16.5868,17.1931,16.7595,16.5908,16.5463,132.394,36.0781,0.116894,0.0913,0.0735127,0.0530791,0.104275,0.0741549,0.0543503,0.0434039,-999,-999,-999,-999,-999,-999
CFA3K,16.536,15.7377,15.4389,15.1691,16.0405,15.4335,15.1638,15.0849,132.339,36.0781,0.120128,0.093465,0.0755127,0.0546949,0.107089,0.0761549,0.0562203,0.0444039,717775385481035392,17.5858,16.4884,15.7765,15.4426,15.231
CFA3K,17.3971,16.8341,16.638,16.4661,17.0373,16.6332,16.4685,16.4203,132.333,36.1404,0.121128,0.094465,0.0757606,0.0553107,0.108089,0.0762958,0.0570904,0.0451034,-999,-999,-999,-999,-999,-999
CFA3K,16.6681,16.0581,15.8477,15.6465,16.3016,15.8473,15.66,15.6007,132.307,36.1752,0.121894,0.094465,0.0765127,0.0556949,0.108089,0.0771549,0.0572203,0.0454039,-999,-999,-999,-999,-999,-999
CFA3K,15.7617,15.0667,14.8283,14.6221,15.3702,14.8529,14.6625,14.6024,132.277,36.214,0.122894,0.095465,0.0767606,0.0556949,0.109089,0.0772958,0.0572203,0.0454039,717790228887962624,16.8554,15.7616,15.1272,14.847,14.6596
CFA3K,16.6204,16.1071,15.946,15.7995,16.3776,15.9999,15.8548,15.8345,132.256,36.2115,0.121894,0.094465,0.0765127,0.0556949,0.108089,0.0771549,0.0572203,0.0454039,-999,-999,-999,-999,-999,-999
